Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Market Capitalization,"2,988","1,812",995,851,932,"1,096",784,-,-,-
Market Cap Growth,59.60%,82.10%,16.89%,-8.64%,-15.02%,39.78%,-,-,-,-
Enterprise Value,"2,998","1,896","1,009",830,798,"1,045","1,040",-,-,-
PS Ratio,54.81,13.48,31.78,27.99,212.05,574.86,376.27,-,-,-
PB Ratio,31.67,48.23,99.87,14.36,4.79,8.45,6.13,-,-,-
P/TBV Ratio,37.54,80.87,-,19.59,5.15,9.47,6.88,-,-,-
EV/Sales Ratio,54.98,14.11,32.24,27.31,181.70,548.17,498.86,-,-,-
Debt / Equity Ratio,2.54,6.09,25.42,4.39,0.88,0.63,0.11,-2.09,-0.04,-0.06
Asset Turnover,0.13,0.38,0.08,0.07,0.01,0.01,0.01,0.01,0.01,-
Inventory Turnover,3.70,2.56,2.38,3.29,-,-,-,-,-,-
Quick Ratio,1.40,1.17,1.35,1.78,5.05,3.77,4.39,9.29,5.02,5.83
Current Ratio,1.54,1.26,1.44,1.86,5.22,3.91,4.50,9.41,5.21,5.97
Return on Equity (ROE),-159.65%,-235.32%,-386.28%,-107.45%,-75.18%,-78.02%,-,-,-,-
Return on Assets (ROA),-22.77%,-9.25%,-20.92%,-19.14%,-24.97%,-29.14%,-31.48%,-22.95%,-14.77%,-
Return on Capital (ROIC),-28.78%,-12.43%,-27.41%,-24.43%,-31.57%,-36.13%,-36.53%,-42.44%,-,-
Return on Capital Employed (ROCE),-62.00%,-26.10%,-57.00%,-45.30%,-36.20%,-47.00%,-61.10%,-29.60%,-27.60%,-22.70%
Earnings Yield,-5.41%,-3.07%,-13.12%,-15.04%,-13.22%,-9.47%,-27.12%,-,-,-
FCF Yield,-1.02%,-1.03%,-10.95%,-14.60%,-17.57%,-12.02%,-9.85%,-,-,-
Buyback Yield / Dilution,-12.40%,-7.00%,-7.07%,-3.56%,-17.93%,-84.97%,-40.52%,-78.31%,-,-
