Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021"
"Selling, General & Admin",18,11,11,-,-
Operating Expenses,18,11,11,-,-
Operating Income,-18,-11,-11,-,-
Interest Expense,-30,-29,-10,-8,-15
Earnings From Equity Investments,251,238,22,72,-206
Other Non Operating Income (Expenses),-570,-239,-181,419,-389
EBT Excluding Unusual Items,-367,-41,-180,483,-610
Gain (Loss) on Sale of Investments,-,-,-,-,152
Pretax Income,-367,-41,-180,483,-458
Income Tax Expense,-78,-8,-38,101,-100
Earnings From Continuing Operations,-289,-33,-142,382,-358
Earnings From Discontinued Operations,-,-,-,"1,120",-
Net Income to Company,-289,-33,-142,"1,502",-358
Minority Interest in Earnings,2,2,-,-210,-
Net Income,-287,-31,-142,"1,292",-358
Net Income to Common,-287,-31,-142,"1,292",-358
Shares Outstanding (Basic),92,92,-,-,-
Shares Outstanding (Diluted),92,92,-,-,-
EPS (Basic),-3.12,-0.34,-,-,-
EPS (Diluted),-3.12,-0.34,-,-,-
EBIT,-18,-11,-11,-,-
Effective Tax Rate,-,-,-,20.91%,-
Advertising Expenses,-,-,-,-,6.2
