Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,82.2,163.69,126.72,160.29,190.24,152.56,66.3,64.63,71.47,60.91,54.35
Short-Term Investments,-,52.5,75.4,20,20,30,-,-,-,18.22,8.78
Cash & Short-Term Investments,82.2,216.19,202.12,180.29,210.24,182.56,66.3,64.63,71.47,79.13,63.13
Cash Growth,-55.79%,6.96%,12.11%,-14.25%,15.16%,175.38%,2.58%,-9.57%,-9.68%,25.35%,33.18%
Accounts Receivable,138.19,99.6,90.27,93.38,76.26,65.41,50.22,59.16,53.23,34.68,29.76
Other Receivables,31.36,19.35,22.51,11.53,13.65,19.39,7.82,6.22,6.28,6.39,4.09
Receivables,169.55,118.95,112.79,104.91,89.91,84.8,58.04,65.38,59.51,41.07,33.85
Restricted Cash,-,-,-,-,-,-,-,-,-,-,1.37
Other Current Assets,-,-,-,0.11,0.19,-,22.89,-,-,-,-
Total Current Assets,251.75,335.14,314.9,285.31,300.35,267.36,147.22,130.01,130.97,120.2,98.34
"Property, Plant & Equipment",31.47,31.4,36.22,45.71,58.12,71.36,66.14,8.52,10.7,9.81,5.68
Long-Term Investments,-,-,-,-,-,-,-,-,-,17.23,30.88
Goodwill,-,251.53,256.31,252.23,261.14,264.28,170.7,166.09,158.56,73.6,70.04
Other Intangible Assets,430.9,50.94,61.04,67.43,82.14,99.32,57.99,65.25,65.17,28.35,27.54
Long-Term Accounts Receivable,-,4.67,3.99,1.9,1.64,0.77,0.36,-,-,-,-
Long-Term Deferred Tax Assets,-,13.06,11.05,9.42,3.12,1.87,2.81,2.97,2.62,2.26,2.78
Other Long-Term Assets,29.57,4.96,6.11,6.35,8.48,9.2,7.2,6.03,5.6,6.4,7.02
Total Assets,743.69,691.71,689.62,668.34,714.99,714.16,452.42,378.87,373.62,257.85,242.27
Accounts Payable,13.22,8.41,6.29,9.42,5.01,5.39,5.11,6.15,7.04,6.56,4.72
Accrued Expenses,91.65,74.13,76.61,76.96,76.45,74.41,60.51,47,46.61,32.05,32.01
Current Portion of Long-Term Debt,19.81,19.8,19.8,19.8,19.8,19.8,9.9,9.9,-,-,-
Current Portion of Leases,6.35,6.44,6.62,9.06,10.83,9.92,8.31,-,-,-,-
