Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,564.33,542.38,514.58,474.74,461.04,382.9,325.67,289.71,269.19,216.19,185.64
Revenue Growth (YoY),4.71%,5.40%,8.39%,2.97%,20.41%,17.57%,12.41%,7.62%,24.52%,16.46%,17.90%
Cost of Revenue,314.32,304.27,294.99,274.57,273.19,226.93,196.15,180.14,175.68,130.4,111.19
Gross Profit,250.01,238.11,219.59,200.16,187.84,155.97,129.52,109.57,93.52,85.79,74.44
"Selling, General & Admin",99.74,85.96,76.65,75.02,76.34,68.03,54.27,52.13,59.21,44.46,39.86
Research & Development,72.81,66.3,63.48,58.66,54.01,41.36,37.38,34.41,31.96,16.49,10.24
Operating Expenses,172.56,152.26,140.13,133.67,130.36,109.39,91.65,86.55,91.17,60.95,50.09
Operating Income,77.45,85.85,79.47,66.49,57.49,46.58,37.87,23.02,2.35,24.84,24.35
Interest Expense,-,-,-,-1.43,-2.91,-3.92,-3.03,-3.23,-1.69,-0.27,-0.16
Interest & Investment Income,5.19,5.47,2.95,-,-,-,0.38,0.18,0.53,0.78,0.66
Currency Exchange Gain (Loss),-1.09,-1.09,-4.36,-0.83,3,0.34,-0.12,-1.06,-1.98,0.02,-0.34
Other Non Operating Income (Expenses),-0.4,-0.4,-0.34,-0.15,-0.29,-0.22,-,0.11,0.13,-,-
EBT Excluding Unusual Items,81.15,89.83,77.72,64.09,57.29,42.78,35.1,19.03,-0.66,25.37,24.51
Merger & Restructuring Charges,-,-,-0.6,-,-,-1.58,-,-,-1.35,-,-
Other Unusual Items,-,-,-,1.47,-,-,-,-,-,-,-
Pretax Income,81.15,89.83,77.12,65.55,57.29,41.2,35.1,19.03,-2.01,25.37,24.51
Income Tax Expense,16.49,17.51,14.25,12.62,9.96,7.04,8.61,5.03,-2.56,5.77,4.21
Earnings From Continuing Operations,64.67,72.32,62.87,52.93,47.32,34.16,26.49,14,0.56,19.6,20.3
Minority Interest in Earnings,-0.33,-0.14,-0.42,-0.34,-0.15,-0.38,-0.24,-0.22,-0.2,-0.27,-0.28
Net Income,64.34,72.18,62.44,52.6,47.17,33.78,26.25,13.79,0.35,19.34,20.02
Net Income to Common,64.34,72.18,62.44,52.6,47.17,33.78,26.25,13.79,0.35,19.34,20.02
Net Income Growth,-9.75%,15.59%,18.73%,11.50%,39.66%,28.68%,90.40%,3816.19%,-98.18%,-3.40%,38.40%
Shares Outstanding (Basic),56,56,55,55,55,51,50,50,49,49,48
Shares Outstanding (Diluted),56,56,56,56,56,52,51,50,50,50,49
Shares Change (YoY),0.21%,0.78%,0.27%,-0.04%,6.58%,2.97%,1.09%,0.36%,0.29%,0.92%,1.42%
EPS (Basic),1.15,1.29,1.13,0.95,0.86,0.66,0.52,0.28,0.01,0.40,0.42
EPS (Diluted),1.15,1.29,1.12,0.95,0.85,0.65,0.52,0.28,0.01,0.39,0.41
EPS Growth,-9.45%,15.18%,17.89%,11.77%,30.77%,25.00%,87.96%,3765.00%,-98.16%,-5.26%,36.67%
Free Cash Flow,77.54,79.35,76.85,41.02,76.76,55.62,54.68,25.79,6.63,21.38,37.63
Free Cash Flow Per Share,1.38,1.41,1.38,0.74,1.38,1.07,1.08,0.52,0.13,0.43,0.76
Dividend Per Share,0.300,0.590,0.540,0.480,0.470,0.510,-,-,-,-,-
Dividend Growth,-47.37%,9.26%,12.50%,2.13%,-7.84%,-,-,-,-,-,-
Gross Margin,44.30%,43.90%,42.67%,42.16%,40.74%,40.73%,39.77%,37.82%,34.74%,39.68%,40.10%
Operating Margin,13.72%,15.83%,15.44%,14.01%,12.47%,12.16%,11.63%,7.95%,0.87%,11.49%,13.12%
Profit Margin,11.40%,13.31%,12.13%,11.08%,10.23%,8.82%,8.06%,4.76%,0.13%,8.94%,10.78%
Free Cash Flow Margin,13.74%,14.63%,14.94%,8.64%,16.65%,14.53%,16.79%,8.90%,2.46%,9.89%,20.27%
EBITDA,93.46,99.8,95.13,82.89,78.48,63.41,51.34,38.03,13.4,29.93,28.54
EBITDA Margin,16.56%,18.40%,18.49%,17.46%,17.02%,16.56%,15.76%,13.13%,4.98%,13.84%,15.37%
D&A For EBITDA,16.01,13.95,15.66,16.4,20.99,16.83,13.47,15,11.05,5.09,4.19
EBIT,77.45,85.85,79.47,66.49,57.49,46.58,37.87,23.02,2.35,24.84,24.35
EBIT Margin,13.72%,15.83%,15.44%,14.01%,12.47%,12.16%,11.63%,7.95%,0.87%,11.49%,13.12%
Effective Tax Rate,20.32%,19.49%,18.48%,19.25%,17.39%,17.09%,24.53%,26.44%,-,22.75%,17.19%
