Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,417","1,502","1,613","1,019","1,888","1,673","1,151",550,567,702,497
Market Cap Growth,17.44%,-6.90%,58.28%,-46.03%,12.88%,45.31%,109.20%,-2.94%,-19.29%,41.25%,41.52%
Enterprise Value,"2,379","1,379","1,528",970,"1,856","1,715","1,203",565,566,606,413
Last Close Price,43.25,26.18,27.73,17.35,31.39,27.58,20.60,9.76,10.03,12.27,8.58
PE Ratio,37.61,20.81,25.83,19.37,40.03,49.53,43.86,39.92,1610.69,36.33,24.85
Forward PE,28.12,18.15,20.56,14.48,28.18,30.53,27.45,18.49,19.14,27.45,20.82
PS Ratio,4.29,2.77,3.13,2.15,4.10,4.37,3.54,1.90,2.11,3.25,2.68
PB Ratio,4.71,3.13,3.59,2.53,4.62,4.35,5.11,2.72,2.80,3.60,2.73
P/TBV Ratio,29.28,8.48,12.42,12.61,29.85,92.45,-,-,-,7.67,5.97
P/FCF Ratio,31.18,18.93,20.99,24.84,24.60,30.07,21.05,21.34,85.57,32.86,13.22
P/OCF Ratio,30.23,18.26,20.31,23.28,23.44,28.71,17.40,19.87,61.31,26.98,12.30
PEG Ratio,-,5.50,5.50,5.50,5.50,6.11,2.75,3.70,3.83,2.20,1.19
EV/Sales Ratio,4.22,2.54,2.97,2.04,4.03,4.48,3.69,1.95,2.10,2.80,2.22
EV/EBITDA Ratio,25.46,13.82,16.06,11.70,23.65,27.04,23.42,14.85,42.22,20.25,14.46
EV/EBIT Ratio,30.72,16.06,19.23,14.58,32.29,36.81,31.76,24.53,240.69,24.40,16.95
EV/FCF Ratio,30.68,17.38,19.88,23.64,24.19,30.83,21.99,21.90,85.36,28.36,10.97
Debt / Equity Ratio,0.08,0.13,0.19,0.29,0.36,0.46,0.53,0.39,0.39,-,-
Debt / EBITDA Ratio,0.43,0.59,0.85,1.24,1.63,2.33,1.98,2.06,5.84,-,-
Debt / FCF Ratio,0.56,0.80,1.13,2.84,1.93,3.19,2.20,3.04,11.81,-,-
Asset Turnover,0.79,0.79,0.76,0.69,0.65,0.66,0.78,0.77,0.85,0.87,0.78
Quick Ratio,1.52,2.24,2.11,1.95,1.98,1.85,1.19,1.60,1.87,2.52,2.06
Current Ratio,1.52,2.24,2.11,1.96,1.98,1.85,1.40,1.60,1.87,2.52,2.09
Return on Equity (ROE),12.95%,15.56%,14.74%,13.04%,11.93%,11.20%,12.38%,6.92%,0.28%,10.38%,11.26%
Return on Assets (ROA),6.78%,7.77%,7.32%,6.01%,5.03%,4.99%,5.69%,3.82%,0.46%,6.21%,6.40%
Return on Capital (ROIC),8.76%,9.93%,9.40%,7.72%,6.42%,6.42%,7.55%,5.13%,0.62%,8.22%,8.44%
Return on Capital Employed (ROCE),13.40%,15.80%,14.70%,12.70%,10.20%,8.20%,10.90%,7.70%,0.80%,11.80%,12.50%
Earnings Yield,2.66%,4.81%,3.87%,5.16%,2.50%,2.02%,2.28%,2.50%,0.06%,2.75%,4.03%
FCF Yield,3.21%,5.28%,4.76%,4.03%,4.06%,3.33%,4.75%,4.69%,1.17%,3.04%,7.57%
Dividend Yield,1.39%,2.25%,1.95%,2.77%,1.50%,1.85%,-,-,-,-,-
Payout Ratio,57.39%,44.09%,45.07%,73.35%,-,-,-,-,-,-,-
Buyback Yield / Dilution,-0.21%,-0.78%,-0.27%,0.04%,-6.58%,-2.97%,-1.09%,-0.36%,-0.29%,-0.92%,-1.42%
Total Shareholder Return,1.18%,1.48%,1.68%,2.80%,-5.08%,-1.13%,-1.09%,-0.36%,-0.29%,-0.92%,-1.42%
