Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Operating Revenue,"1,016","1,016",981,975,988,51,15,22.26,13.09,30.46,86.5
Other Revenue,-,-,-,-,-,-,-,-,-,0.13,4.68
Revenue,"1,016","1,016",981,975,988,51,15,22.26,13.09,30.59,91.18
Revenue Growth (YoY),306.40%,3.57%,0.61%,-1.32%,1837.26%,240.00%,-32.60%,70.00%,-57.20%,-66.46%,32.06%
Cost of Revenue,257,257,245,253,282,20,9,7.99,10.74,2.8,6.1
Gross Profit,759,759,736,722,706,31,6,14.26,2.36,27.79,85.09
"Selling, General & Admin",462,460,433,432,442,76,33,23.5,24.07,34.7,42.79
Research & Development,-,-,-,-,-,-,-,-,-,10.24,17.03
Operating Expenses,669,667,663,694,709,91,35,26.28,27.84,48.95,65.91
Operating Income,90,92,73,28,-3,-60,-29,-12.01,-25.48,-21.16,19.17
Interest Expense,-167,-194,-206,-133,-117,-28,-25,-23.3,-19.57,-14.96,-7.42
Interest & Investment Income,-,-,-,-,-,-,-,-,-,5.02,3.8
Earnings From Equity Investments,"1,358","1,323","1,155","1,326","1,194",713,286,166.15,"2,509",641.54,-120.96
Other Non Operating Income (Expenses),21,-107,-74,264,61,-80,2,4.62,4.53,1.47,0.16
EBT Excluding Unusual Items,"1,302","1,114",948,"1,485","1,135",545,234,135.45,"2,468",611.92,-105.26
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-20.67
Gain (Loss) on Sale of Investments,-42,-32,-60,-63,-102,-184,-79,-43.58,-17.87,863.76,-4.58
Gain (Loss) on Sale of Assets,-,-,-,179,12,-,-,-,-,-,-
Legal Settlements,-,-,-,-67,-95,-,-,-,-,-,60.45
Pretax Income,"1,260","1,082",888,"1,534",950,361,155,91.88,"2,451","1,476",-70.06
Income Tax Expense,69,213,200,277,218,-37,38,21.92,416.93,558.37,-19.87
Net Income,788,869,688,"1,257",732,398,117,69.95,"2,034",917.3,-50.19
Net Income to Common,788,869,688,"1,257",732,398,117,69.95,"2,034",917.3,-50.19
Net Income Growth,0.64%,26.31%,-45.27%,71.72%,83.92%,240.17%,67.25%,-96.56%,121.70%,-,-
Shares Outstanding (Basic),143,143,146,157,185,182,182,181,182,152,103
Shares Outstanding (Diluted),143,143,147,158,186,183,183,183,183,153,103
Shares Change (YoY),-0.69%,-2.72%,-6.96%,-15.05%,1.64%,0.12%,0.11%,-0.30%,19.82%,48.40%,16.31%
EPS (Basic),5.51,6.08,4.71,8.01,3.96,2.19,0.64,0.39,11.19,6.03,-0.49
EPS (Diluted),5.51,6.08,4.68,7.96,3.93,2.17,0.64,0.38,11.10,6.00,-0.49
EPS Growth,1.38%,29.85%,-41.21%,102.55%,81.11%,239.06%,68.42%,-96.58%,85.00%,-,-
Free Cash Flow,-95,-143,-206,-237,-131,-98,-38,-26.3,-30.1,-12.17,34.56
Free Cash Flow Per Share,-0.66,-1.00,-1.40,-1.50,-0.70,-0.54,-0.21,-0.14,-0.16,-0.08,0.34
Gross Margin,74.70%,74.70%,75.02%,74.05%,71.46%,60.78%,40.00%,64.08%,18.00%,90.85%,93.31%
Operating Margin,8.86%,9.05%,7.44%,2.87%,-0.30%,-117.65%,-193.33%,-53.98%,-194.61%,-69.18%,21.03%
Profit Margin,77.56%,85.53%,70.13%,128.92%,74.09%,780.39%,780.00%,314.31%,15533.66%,2999.09%,-55.04%
Free Cash Flow Margin,-9.35%,-14.07%,-21.00%,-24.31%,-13.26%,-192.16%,-253.33%,-118.18%,-229.92%,-39.77%,37.90%
EBITDA,296,299,303,290,264,-45,-27,-9.24,-21.71,-17.16,25.26
EBITDA Margin,29.13%,29.43%,30.89%,29.74%,26.72%,-88.23%,-180.00%,-41.49%,-165.81%,-56.09%,27.71%
D&A For EBITDA,206,207,230,262,267,15,2,2.78,3.77,4.01,6.09
EBIT,90,92,73,28,-3,-60,-29,-12.01,-25.48,-21.16,19.17
EBIT Margin,8.86%,9.05%,7.44%,2.87%,-0.30%,-117.65%,-193.33%,-53.98%,-194.61%,-69.18%,21.03%
Effective Tax Rate,5.48%,19.69%,22.52%,18.06%,22.95%,-,24.52%,23.86%,17.01%,37.84%,-
Revenue as Reported,-,-,-,-,-,-,-,22.26,13.09,30.59,91.18
Advertising Expenses,-,7,5,4,5,-,-,-,-,-,-
