Period Ending,"Aug '25Aug 31, 2025","Aug '24Aug 31, 2024","Aug '23Aug 31, 2023","Aug '22Aug 31, 2022","Aug '21Aug 31, 2021","Aug '20Aug 31, 2020","Aug '19Aug 31, 2019","Aug '18Aug 31, 2018","Aug '17Aug 31, 2017","Aug '16Aug 31, 2016"
Revenue,619.99,590.56,537.26,518.82,488.11,408.5,423.35,408.52,380.51,380.67
Revenue Growth (YoY),4.98%,9.92%,3.55%,6.29%,19.49%,-3.51%,3.63%,7.36%,-0.04%,0.67%
Cost of Revenue,278.64,275.33,263.04,264.06,224.37,185.48,191.01,183.26,166.62,166.3
Gross Profit,341.34,315.23,274.22,254.77,263.74,223.02,232.34,225.26,213.89,214.37
"Selling, General & Admin",237.37,217.77,183.49,166,173.45,143.59,147.25,143.71,135.1,140.05
Amortization of Goodwill & Intangibles,0.18,1.11,1.01,1.43,1.45,2.21,2.71,2.95,2.88,2.98
Operating Expenses,237.55,218.88,184.5,167.44,174.9,145.8,149.96,146.66,137.98,143.02
Operating Income,103.79,96.35,89.72,87.33,88.84,77.22,82.38,78.6,75.91,71.35
Interest Expense,-3.44,-4.29,-5.61,-2.74,-2.4,-2.44,-2.54,-4.22,-2.58,-1.7
Interest & Investment Income,0.52,0.47,0.23,0.1,0.08,0.09,0.16,0.45,0.51,0.68
Currency Exchange Gain (Loss),0.7,-1.3,0.5,-1.1,-,0.4,0.6,0.1,0.4,2.4
Other Non Operating Income (Expenses),0.06,0.27,0.32,0.52,-0.03,0.24,0.17,0.24,0.39,0.06
Pretax Income,101.63,91.51,85.16,84.11,86.5,75.52,80.77,75.18,74.62,72.79
Income Tax Expense,10.63,21.86,19.17,16.78,16.27,14.81,24.86,9.96,21.69,20.16
Net Income,90.99,69.64,65.99,67.33,70.23,60.71,55.91,65.22,52.93,52.63
Preferred Dividends & Other Adjustments,0.26,0.25,0.27,0.25,0.28,0.29,0.33,0.42,0.32,0.33
Net Income to Common,90.73,69.4,65.72,67.08,69.95,60.42,55.58,64.79,52.61,52.29
Net Income Growth,30.66%,5.53%,-1.98%,-4.13%,15.68%,8.59%,-14.27%,23.21%,0.57%,17.46%
Shares Outstanding (Basic),14,14,14,14,14,14,14,14,14,14
Shares Outstanding (Diluted),14,14,14,14,14,14,14,14,14,14
Shares Change (YoY),-0.10%,-0.18%,-0.67%,-0.27%,0.10%,-0.80%,-0.95%,-1.14%,-1.78%,-1.84%
EPS (Basic),6.70,5.12,4.84,4.91,5.11,4.41,4.03,4.65,3.73,3.65
EPS (Diluted),6.69,5.11,4.83,4.90,5.09,4.40,4.02,4.64,3.72,3.64
EPS Growth,30.92%,5.80%,-1.43%,-3.73%,15.68%,9.45%,-13.36%,24.73%,2.20%,19.74%
Free Cash Flow,83.4,87.83,91.52,-5.7,69.66,53.36,49.57,52.47,35.42,60.95
Free Cash Flow Per Share,6.15,6.47,6.73,-0.42,5.07,3.89,3.58,3.76,2.51,4.24
Dividend Per Share,3.760,3.520,3.320,3.120,2.830,2.680,2.440,2.160,1.960,1.680
Dividend Growth,6.82%,6.02%,6.41%,10.25%,5.60%,9.84%,12.96%,10.20%,16.67%,10.53%
Gross Margin,55.06%,53.38%,51.04%,49.10%,54.03%,54.59%,54.88%,55.14%,56.21%,56.31%
Operating Margin,16.74%,16.31%,16.70%,16.83%,18.20%,18.90%,19.46%,19.24%,19.95%,18.74%
Profit Margin,14.64%,11.75%,12.23%,12.93%,14.33%,14.79%,13.13%,15.86%,13.83%,13.74%
Free Cash Flow Margin,13.45%,14.87%,17.04%,-1.10%,14.27%,13.06%,11.71%,12.84%,9.31%,16.01%
EBITDA,111.98,105.81,97.88,95.62,95.86,84.92,89.98,86.4,82.68,77.81
EBITDA Margin,18.06%,17.92%,18.22%,18.43%,19.64%,20.79%,21.25%,21.15%,21.73%,20.44%
D&A For EBITDA,8.19,9.46,8.15,8.29,7.02,7.7,7.59,7.8,6.77,6.47
EBIT,103.79,96.35,89.72,87.33,88.84,77.22,82.38,78.6,75.91,71.35
EBIT Margin,16.74%,16.31%,16.70%,16.83%,18.20%,18.90%,19.46%,19.24%,19.95%,18.74%
Effective Tax Rate,10.46%,23.89%,22.51%,19.95%,18.81%,19.61%,30.78%,13.25%,29.07%,27.70%
Advertising Expenses,71.73,66.61,28.81,27.34,27.96,21.61,42.21,22.31,20.54,38.38
