Period Ending,"Aug '25Aug 31, 2025","Aug '24Aug 31, 2024","Aug '23Aug 31, 2023","Aug '22Aug 31, 2022","Aug '21Aug 31, 2021","Aug '20Aug 31, 2020","Aug '19Aug 31, 2019","Aug '18Aug 31, 2018","Aug '17Aug 31, 2017","Aug '16Aug 31, 2016"
Cash & Equivalents,58.13,46.7,48.14,37.84,85.96,56.46,27.23,48.87,37.08,50.89
Short-Term Investments,-,-,-,-,-,-,-,0.22,80.17,57.63
Cash & Short-Term Investments,58.13,46.7,48.14,37.84,85.96,56.46,27.23,49.09,117.25,108.52
Cash Growth,24.48%,-3.00%,27.22%,-55.98%,52.25%,107.33%,-44.52%,-58.14%,8.04%,5.88%
Accounts Receivable,120.59,117.49,98.04,89.93,89.56,80.67,72.86,69.03,64.26,64.68
Other Receivables,4.9,0.5,1.1,5,-,-,-,-,-,-
Receivables,125.49,117.99,99.14,94.93,89.56,80.67,72.86,69.03,64.26,64.68
Inventory,79.87,79.09,86.52,104.1,55.75,41.26,40.68,36.54,35.34,31.79
Other Current Assets,21.47,11.66,14.72,12.77,9.95,6.76,7.22,13.34,8.01,4.48
Total Current Assets,284.96,255.44,248.53,249.64,241.22,185.15,148,167.98,224.85,209.47
"Property, Plant & Equipment",67.1,66.9,64.03,73.54,78.97,68.93,45.08,36.36,29.44,11.55
Goodwill,97.15,96.99,95.51,95.18,95.87,95.73,95.35,95.62,95.6,95.65
Other Intangible Assets,9.24,13.92,15.25,5.59,7.24,8.63,10.65,13.51,16.24,19.19
Long-Term Deferred Tax Assets,1.03,0.99,1.2,0.68,0.86,0.46,0.4,0.51,0.5,0.62
Long-Term Deferred Charges,-,13.4,11,6.5,-,-,-,-,-,-
Other Long-Term Assets,16.33,1.4,2.45,3.17,6.04,3.73,3.19,3.07,3.09,3.19
Total Assets,475.81,449.04,437.97,434.3,430.2,362.64,302.66,317.06,369.72,339.67
Accounts Payable,37.96,35.96,30.83,32.85,33.5,21.68,18.73,19.12,20.9,18.69
Accrued Expenses,55.63,50.75,40.03,32.05,45.72,33.14,32.11,34.17,33.22,36.62
Short-Term Debt,-,-,-,-,-,-,20.41,22.8,20,-
Current Portion of Long-Term Debt,0.8,8.66,10.8,39.17,0.8,0.8,0.8,0.8,-,-
Current Portion of Leases,2.28,2.29,2.14,1.7,1.9,1.84,-,-,-,-
Current Income Taxes Payable,0.86,1.55,0.49,0.05,0.32,1.21,0.84,2.13,1.31,3.38
Current Unearned Revenue,4.73,4.29,4.55,4.99,3.7,1.45,-,-,-,-
Other Current Liabilities,-,-,-,-,-,-,1.7,6.89,-,-
Total Current Liabilities,102.26,103.5,88.84,110.82,85.94,60.12,74.59,85.9,75.42,58.69
Long-Term Debt,86.2,85.98,109.74,107.14,114.94,113.1,60.22,62.8,134,122
Long-Term Leases,8.42,5.9,5.83,6,7.06,6.52,-,-,-,-
Long-Term Deferred Tax Liabilities,9.38,9.07,10.31,10.53,10.4,11.29,11.69,11.05,18.95,16.37
Other Long-Term Liabilities,1.41,14.07,13.07,11.19,11.48,11.3,10.69,1.82,1.96,2.21
Total Liabilities,207.66,218.51,227.79,245.67,229.82,202.32,157.19,161.57,230.33,199.27
Common Stock,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Additional Paid-In Capital,180.07,175.64,171.55,165.97,163.74,157.85,155.13,153.47,150.69,145.94
Retained Earnings,540.67,499.93,477.49,456.08,430.74,398.73,374.06,351.27,315.76,289.64
Treasury Stock,-428.11,-415.8,-407.67,-397.24,-368.08,-368.08,-351.26,-321.63,-299.01,-267.91
Comprehensive Income & Other,-24.49,-29.27,-31.21,-36.21,-26.03,-28.21,-32.48,-27.64,-28.08,-27.3
Shareholders' Equity,268.15,230.53,210.18,188.62,200.38,160.31,145.48,155.49,139.39,140.4
Total Liabilities & Equity,475.81,449.04,437.97,434.3,430.2,362.64,302.66,317.06,369.72,339.67
Total Debt,97.7,102.83,128.52,154.01,124.71,122.26,81.43,86.4,154,122
Net Cash (Debt),-39.57,-56.14,-80.38,-116.17,-38.74,-65.8,-54.19,-37.32,-36.75,-13.48
Net Cash Per Share,-2.92,-4.13,-5.91,-8.48,-2.82,-4.80,-3.92,-2.67,-2.60,-0.94
Filing Date Shares Outstanding,13.53,13.54,13.56,13.58,13.71,13.66,13.7,13.84,13.96,14.18
Total Common Shares Outstanding,13.53,13.55,13.56,13.6,13.71,13.66,13.72,13.85,13.98,14.21
Working Capital,182.7,151.94,159.68,138.82,155.28,125.04,73.41,82.08,149.43,150.78
Book Value Per Share,19.82,17.01,15.50,13.87,14.62,11.73,10.60,11.23,9.97,9.88
Tangible Book Value,161.76,119.62,99.43,87.86,97.27,55.95,39.48,46.36,27.55,25.56
Tangible Book Value Per Share,11.96,8.83,7.33,6.46,7.10,4.09,2.88,3.35,1.97,1.80
Land,4.29,4.26,4.22,4.24,4.41,4.37,3.44,3.45,3.45,0.25
Buildings,29.7,28.43,27.56,27.96,29.7,28.27,17.39,17.1,16.95,4.22
Machinery,65.02,63.66,58.98,52.96,31.04,28.5,26.72,24.71,23.65,19.78
Construction In Progress,3.58,3.34,7.94,10.14,31.02,21.94,16.75,8.04,0.86,2.2
