Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,795","4,653","4,629","4,293","3,761","3,175","3,213","4,585","8,416","8,447","11,912"
Market Cap Growth,12.64%,0.52%,7.82%,14.15%,18.46%,-1.20%,-29.92%,-45.52%,-0.36%,-29.09%,39.10%
Enterprise Value,"3,755","4,111","4,125","4,119","3,621","2,991","2,919","4,398","8,248","8,183","11,493"
Last Close Price,29.04,28.76,27.74,25.71,22.89,19.63,20.07,29.04,53.85,54.69,78.11
PE Ratio,14.43,12.68,13.01,-,-,-,-,-,-,-,-
Forward PE,14.36,14.06,11.75,-,-,56.53,18.03,147.55,118.41,-,-
PS Ratio,3.13,2.99,2.78,3.86,3.20,3.06,2.74,4.19,9.32,11.33,18.96
PB Ratio,2.77,3.18,3.85,4.11,3.38,2.98,2.96,3.92,7.00,6.98,9.06
P/TBV Ratio,2.91,3.37,4.14,4.65,3.98,3.68,3.82,5.17,9.86,10.58,14.14
P/FCF Ratio,9.77,11.47,13.10,-,51.04,78.16,-,153.61,-,-,-
P/OCF Ratio,8.86,10.60,11.53,204.02,36.98,38.33,44.58,46.19,438.57,-,-
PEG Ratio,-,1.05,0.14,39.58,-,2.36,0.64,-,-,-,-
EV/Sales Ratio,2.47,2.64,2.48,3.71,3.09,2.88,2.49,4.02,9.13,10.97,18.29
EV/EBITDA Ratio,9.66,9.15,8.44,57.39,20.53,-,-,970.46,-,-,-
EV/EBIT Ratio,10.47,9.77,9.96,-,37.04,-,-,-,-,-,-
EV/FCF Ratio,7.65,10.13,11.68,-,49.13,73.63,-,147.34,-,-,-
Debt / Equity Ratio,0.04,0.05,0.31,0.36,0.37,0.38,0.27,0.24,0.23,0.24,0.27
Debt / EBITDA Ratio,0.18,0.16,0.74,4.51,2.22,-,-,61.63,-,-,-
Debt / FCF Ratio,0.15,0.19,1.05,-,5.65,10.10,-,9.36,-,-,-
Asset Turnover,0.68,0.74,0.81,0.56,0.59,0.55,0.65,0.60,0.51,0.42,0.33
Inventory Turnover,1.11,1.33,1.38,1.32,1.43,1.57,1.88,1.92,1.98,2.61,3.10
Quick Ratio,3.09,2.45,2.13,1.82,1.83,2.11,2.05,2.47,2.29,3.25,2.92
Current Ratio,3.67,3.04,2.86,2.27,2.25,2.54,2.46,2.89,2.78,3.73,3.20
Return on Equity (ROE),22.35%,27.90%,46.22%,-3.08%,7.01%,-10.30%,-17.42%,-11.74%,-13.10%,-16.52%,-16.76%
Return on Assets (ROA),9.99%,12.54%,12.63%,-0.19%,3.07%,-3.74%,-5.58%,-3.42%,-5.25%,-7.28%,-7.43%
Return on Capital (ROIC),12.94%,16.88%,17.27%,-0.26%,4.06%,-4.92%,-7.17%,-4.22%,-6.21%,-8.26%,-8.21%
Return on Capital Employed (ROCE),19.30%,26.40%,25.60%,-,6.30%,-,-,-,-,-,-
Earnings Yield,7.07%,7.89%,7.69%,-3.69%,-1.28%,-3.49%,-6.12%,-3.04%,-1.88%,-2.47%,-1.91%
FCF Yield,10.24%,8.72%,7.63%,-0.40%,1.96%,1.28%,-0.59%,0.65%,-0.38%,-1.27%,-0.78%
Buyback Yield / Dilution,0.74%,0.31%,-3.66%,0.61%,-3.75%,-1.12%,-1.25%,-1.11%,-1.27%,-1.53%,-2.71%
