Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020"
Revenue,"61,738,598","44,019,015","27,883,821","13,927,746","16,028,182","13,690,348"
Revenue Growth (YoY),86.03%,57.87%,100.20%,-13.11%,17.08%,-
Cost of Revenue,"90,312,259","69,296,654","41,594,732","26,974,525","25,283,958","20,385,478"
Gross Profit,"-28,573,661","-25,277,639","-13,710,911","-13,046,779","-9,255,776","-6,695,130"
"Selling, General & Admin","17,145,159","16,888,031","11,273,285","9,433,465","4,628,399","2,553,102"
Research & Development,"9,120,806","10,025,329","15,414,442","21,196,862","9,255,376","3,929,797"
Other Operating Expenses,"976,708","1,870,773","959,554","74,718","-77,098","120,065"
Operating Expenses,"27,242,673","28,784,133","27,647,281","30,705,045","13,806,677","6,602,964"
Operating Income,"-55,816,334","-54,061,772","-41,358,192","-43,751,824","-23,062,453","-13,298,094"
Interest Expense,"-17,616,806","-15,661,165","-10,129,306","-6,527,870","-3,442,117","-3,701,736"
Interest & Investment Income,"475,145","621,345","570,007","158,641","1,396,872","473,514"
Earnings From Equity Investments,"-144,211","-48,836","36,422",32,"-36,786","-41,973"
Currency Exchange Gain (Loss),"-1,035,914","-1,035,914","-695,050","-804,423","448,769","79,264"
Other Non Operating Income (Expenses),"-7,012,097","-6,628,252","-8,516,139","-970,918","-2,860,292","-2,346,766"
EBT Excluding Unusual Items,"-81,150,217","-76,814,594","-60,092,258","-51,896,362","-27,556,007","-18,835,791"
Gain (Loss) on Sale of Assets,"-570,050","-570,050","-81,165",-,"-113,395","-26,686"
Other Unusual Items,-,-,-,-,"-4,340,322",-
Pretax Income,"-81,720,267","-77,384,644","-60,173,423","-51,896,362","-32,009,724","-18,862,477"
Income Tax Expense,"161,862","-29,695","76,925","1,062,335","209,237","87,766"
Earnings From Continuing Operations,"-81,882,129","-77,354,949","-60,250,348","-52,958,697","-32,218,961","-18,950,243"
Minority Interest in Earnings,"91,396","89,585","82,222","70,885","35,234",358
Net Income,"-81,790,733","-77,265,364","-60,168,126","-52,887,812","-32,183,727","-18,949,885"
Net Income to Common,"-81,790,733","-77,265,364","-60,168,126","-52,887,812","-32,183,727","-18,949,885"
Shares Outstanding (Basic),"2,339","2,338","2,311","2,299","1,579",-
Shares Outstanding (Diluted),"2,339","2,338","2,311","2,299","1,579",-
Shares Change (YoY),0.38%,1.19%,0.51%,45.62%,-,-
EPS (Basic),-34971.46,-33041.76,-26037.53,-23004.62,-20385.88,-
EPS (Diluted),-34971.70,-33042.00,-26038.00,-23005.00,-20386.00,-
Free Cash Flow,"-55,090,237","-47,157,756","-74,798,563","-71,205,439","-34,977,013","-19,021,380"
Free Cash Flow Per Share,-23555.06,-20166.54,-32368.80,-30972.24,-22155.21,-
Gross Margin,-46.28%,-57.42%,-49.17%,-93.67%,-57.75%,-48.90%
Operating Margin,-90.41%,-122.82%,-148.32%,-314.13%,-143.89%,-97.14%
Profit Margin,-132.48%,-175.53%,-215.78%,-379.73%,-200.80%,-138.42%
Free Cash Flow Margin,-89.23%,-107.13%,-268.25%,-511.25%,-218.22%,-138.94%
EBITDA,"-45,064,477","-44,185,295","-34,376,273","-37,362,069","-18,171,081","-8,995,885"
EBITDA Margin,-72.99%,-100.38%,-123.28%,-268.26%,-113.37%,-65.71%
D&A For EBITDA,"10,751,857","9,876,477","6,981,919","6,389,755","4,891,372","4,302,209"
EBIT,"-55,816,334","-54,061,772","-41,358,192","-43,751,824","-23,062,453","-13,298,094"
EBIT Margin,-90.41%,-122.81%,-148.32%,-,-143.89%,-97.14%
Revenue as Reported,"61,738,598","44,019,015","27,883,821","13,927,746","16,028,182",-
Advertising Expenses,-,"2,236,900","1,266,400","1,839,100","614,805",-
