Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020"
Market Capitalization,"7,858","9,425","19,521",211,205,-
Market Cap Growth,-14.72%,-51.72%,9140.50%,3.20%,-,-
Enterprise Value,"13,533","15,596","25,592","4,065",531,-
Last Close Price,3.36,4.03,8.37,10.00,9.69,-
PS Ratio,3.33,5.46,16.99,0.36,0.29,-
PB Ratio,-,-2.53,-7.24,-0.14,-0.06,-
EV/Sales Ratio,5.73,9.03,22.27,6.89,0.76,-
Debt / Equity Ratio,-1.64,-1.54,-1.94,-1.87,-1.01,9.05
Asset Turnover,0.37,0.29,0.21,0.14,0.18,-
Inventory Turnover,2.80,2.39,1.61,1.91,4.18,-
Quick Ratio,0.12,0.07,0.04,0.11,0.05,0.09
Current Ratio,0.47,0.38,0.33,0.68,0.31,1.02
Return on Assets (ROA),-21.10%,-22.32%,-19.85%,-27.49%,-16.18%,-
Return on Capital (ROIC),-54.89%,-59.95%,-55.55%,-167.56%,-45.81%,-
Earnings Yield,-39.84%,-32.17%,-12.70%,-1060.15%,-687.46%,-
FCF Yield,-26.63%,-19.63%,-15.79%,-1427.33%,-747.13%,-
Buyback Yield / Dilution,-0.38%,-1.19%,-0.51%,-45.62%,-,-
