Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020"
Cash & Equivalents,"13,772,585","3,306,793","4,095,472","4,271,442","3,024,916","827,742"
Short-Term Investments,"2,511,888","818,975","4,105","3,902",-,-
Trading Asset Securities,-,"185,787","548,010","532,718",-,-
Cash & Short-Term Investments,"16,284,473","4,311,555","4,647,587","4,808,062","3,024,916","827,742"
Cash Growth,399.65%,-7.23%,-3.34%,58.95%,265.44%,-
Accounts Receivable,"2,930,721","5,739,777","557,470","658,370","428,761","299,986"
Other Receivables,"3,207,490","1,565,871","601,804","1,867,658","1,266,764","714,046"
Receivables,"6,138,211","7,305,648","1,159,274","3,071,428","3,258,824","9,482,530"
Inventory,"34,976,865","27,907,030","30,141,381","21,607,277","6,683,685","5,416,770"
Prepaid Expenses,"15,860,194","844,098","370,403","333,488","195,603","339,890"
Restricted Cash,"1,639,530","3,616,844","607,052","808,518","348,644","115,999"
Other Current Assets,"11,148,603","20,796,454","13,657,792","14,209,847","13,180,830","4,266,530"
Total Current Assets,"86,047,876","64,781,629","50,583,489","44,838,620","26,692,502","20,449,461"
"Property, Plant & Equipment","88,975,760","83,829,740","86,204,212","61,747,650","54,120,096","52,815,201"
Long-Term Investments,"1,956,865","2,084,142","2,199,102","696,332","5,291","11,578,129"
Goodwill,-,-,-,"272,203","272,203","235,105"
Other Intangible Assets,"1,028,919","1,164,635","1,346,324","1,461,071","3,163,588","4,296,221"
Long-Term Accounts Receivable,"847,264","1,640,390","730,977","82,062","182,304","383,702"
Long-Term Deferred Tax Assets,-,-,-,-,"50,219","53,376"
Other Long-Term Assets,"2,607,048","2,465,960","5,793,617","4,507,361","818,503","2,147,655"
Total Assets,"181,463,732","155,966,496","146,857,721","113,605,299","85,321,456","92,905,850"
Accounts Payable,"22,043,372","21,028,563","12,261,820","27,491,387","3,723,623","3,094,437"
Accrued Expenses,"11,974,801","19,717,892","14,602,106","11,159,626","4,457,028","4,716,200"
Short-Term Debt,"113,142,588","79,120,519","68,651,930","6,988,196","1,269,542","2,060,340"
Current Portion of Long-Term Debt,-,"14,884,657","18,586,841","8,311,277","15,963,582","6,136,651"
Current Portion of Leases,"1,516,020","1,498,472","1,524,356","768,883","375,293","216,098"
Current Income Taxes Payable,-,"2,041,629","635,967","1,756,860","626,370","884,464"
Current Unearned Revenue,"2,019,403","1,165,392","1,014,113","107,448","1,334,809","564,275"
Other Current Liabilities,"33,746,128","32,051,784","34,758,889","9,641,525","59,555,018","2,368,291"
Total Current Liabilities,"184,442,312","171,508,908","152,036,022","66,225,202","87,305,265","20,040,756"
Long-Term Debt,"43,440,663","46,816,171","32,555,846","49,172,305","58,846,452","47,156,532"
Long-Term Leases,"6,412,257","4,076,654","5,330,344","3,256,351","1,298,354","363,411"
Long-Term Unearned Revenue,"2,875,884","2,722,698","1,569,733","499,395","25,945",-
Long-Term Deferred Tax Liabilities,"1,168,012","938,643","1,025,264","947,981","51,462","2,163,885"
Other Long-Term Liabilities,"43,356,546","24,808,165","19,752,227","30,174,524","14,735,176","17,001,174"
Total Liabilities,"281,695,674","250,871,239","212,269,436","150,275,758","162,262,654","86,725,758"
Common Stock,"9,867,220","9,867,167","9,847,536","871,021","553,892",-
Additional Paid-In Capital,"116,648,995","93,673,976","38,258,499","12,311,667",-,"38,707,336"
Retained Earnings,"-305,780,046","-267,792,169","-190,502,556","-127,188,455","-77,416,918","-44,356,242"
Comprehensive Income & Other,"-727,557","-460,644","-385,873","-104,065","-63,494","11,799,030"
Total Common Equity,"-179,991,388","-164,711,670","-142,782,394","-114,109,832","-76,926,520","6,150,124"
Minority Interest,"79,759,446","69,806,927","77,370,679","77,439,373","-14,678","29,968"
Shareholders' Equity,"-100,231,942","-94,904,743","-65,411,715","-36,670,459","-76,941,198","6,180,092"
Total Liabilities & Equity,"181,463,732","155,966,496","146,857,721","113,605,299","85,321,456","92,905,850"
Total Debt,"164,511,528","146,396,473","126,649,317","68,497,012","77,753,223","55,933,032"
Net Cash (Debt),"-148,227,055","-142,084,918","-122,001,730","-63,688,950","-74,728,307","-55,105,290"
Net Cash Per Share,-63377.80,-60761.20,-52795.79,-27702.79,-47334.55,-
Filing Date Shares Outstanding,"2,339","2,339","2,338","2,413","2,412",-
Total Common Shares Outstanding,"2,339","2,339","2,338","2,413","2,412",-
Working Capital,"-98,394,436","-106,727,279","-101,452,533","-21,386,582","-60,612,763","408,705"
Book Value Per Share,-76958.45,-70425.34,-61075.84,-47292.50,-31896.36,-
Tangible Book Value,"-181,020,307","-165,876,305","-144,128,718","-115,843,106","-80,362,311","1,618,798"
Tangible Book Value Per Share,-77398.38,-70923.30,-61651.74,-48010.85,-33320.96,-
Land,-,"2,048,104","1,952,618","1,854,095",-,"105,446"
Buildings,-,"26,303,728","23,466,382","18,212,817","14,435,845","15,308,214"
Machinery,-,"74,131,295","66,659,951","44,638,763","45,923,408","41,964,118"
