Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,804.72,740.02,342.57,127.83,134.61,102.02,40.17,10.39,51.32,20.64,0.45
Trading Asset Securities,-,-,-,-,-,-,-,3.32,-,0.82,-
Cash & Short-Term Investments,804.72,740.02,342.57,127.83,134.61,102.02,40.17,13.71,51.32,21.46,0.45
Cash Growth,7.45%,116.02%,167.98%,-5.03%,31.94%,154.00%,193.07%,-73.30%,139.20%,4710.76%,45.28%
Accounts Receivable,210.55,185.82,163.71,166.36,135.06,129.59,154.76,148.92,155.52,164.21,162.84
Other Receivables,1.06,41.87,25.34,18.97,5.38,5.84,1.24,0.6,2.34,2.43,4.82
Receivables,222.91,227.69,189.05,185.33,140.45,135.42,156.01,149.51,157.86,166.64,167.66
Prepaid Expenses,50.15,51.54,47.66,54.02,49.21,32.99,45,42.97,26.17,27.62,38.99
Other Current Assets,-,-,-,-,-,-,-,2.5,-,2.2,-
Total Current Assets,"1,078","1,019",579.28,367.18,324.26,270.42,241.17,208.69,235.35,217.91,229.37
"Property, Plant & Equipment","1,456","1,335","1,200","1,169","1,069",883,813.27,345.73,244.3,247.73,256.72
Long-Term Investments,129.13,104.06,92.71,57.89,42.23,34.53,34.47,37.97,52.44,43.51,33.58
Goodwill,827.53,710.66,679.46,677.67,513.82,472.88,441.97,418.09,256.78,239.55,239.41
Other Intangible Assets,124.91,81.35,90.62,106.23,56.6,52.39,42.99,40.59,40.42,42.68,45.25
Long-Term Deferred Tax Assets,5.26,-,-,-,14.85,34.69,34.55,31.51,30.85,50.36,24.69
Long-Term Deferred Charges,1.83,2.27,1.64,2.28,2.14,1.77,1.56,1.35,1.9,2,2.84
Other Long-Term Assets,40.21,34.57,46.33,53.17,36.03,36.98,37,25.39,6.95,5.73,4.57
Total Assets,"3,665","3,287","2,690","2,434","2,058","1,787","1,647","1,109",868.98,849.48,836.43
Accounts Payable,419.21,96.45,122.89,102.68,86.46,70.07,64.3,68.04,28.54,40.95,52.3
Accrued Expenses,-,255.01,220.05,266.92,177.48,166.61,143.29,112.99,107.27,70.49,61.68
Current Portion of Long-Term Debt,25.45,24.69,17.97,12.4,11.16,39.79,39.69,33.65,30.22,22.03,22.38
Current Portion of Leases,60.34,56.62,55.98,57.61,65.45,68.37,64.49,5.61,3.87,4.53,10.04
Current Unearned Revenue,8.17,3.29,4.65,4.02,10.7,39.26,1.32,2.4,2.61,1.52,1.6
Other Current Liabilities,61.75,43.65,15.91,23.1,23.53,14.01,14.35,16.82,19.1,15.83,8.97
Total Current Liabilities,574.91,479.71,437.45,466.72,374.78,398.11,327.43,239.52,191.61,155.34,156.96
Long-Term Debt,"1,071",991.57,812.07,839.34,743.5,612.91,652.7,626.51,572.37,609.45,599.91
Long-Term Leases,690.94,655.98,605.1,604.12,577.68,463.84,424.19,6.51,2.67,2.73,6.39
Long-Term Deferred Tax Liabilities,-,22.23,15.78,9.26,-,-,-,-,-,-,-
