Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"5,798","5,170","2,361","1,080","1,609","1,011","1,021",497,481,300,285
Market Cap Growth,17.42%,119.00%,118.56%,-32.87%,59.22%,-0.98%,105.35%,3.32%,60.49%,5.15%,-21.86%
Enterprise Value,"6,840","6,382","3,734","2,569","2,954","2,176","2,254","1,077","1,099",951,899
Last Close Price,75.15,69.84,34.77,18.83,30.11,19.57,20.30,10.17,10.10,6.45,6.18
PE Ratio,-,1851.07,775.53,101.42,65.07,-,69.16,15.41,9075.50,41.45,36.97
Forward PE,114.73,115.76,84.87,61.08,48.76,40.63,44.13,21.49,23.49,21.50,7.45
PS Ratio,2.85,2.83,1.46,0.76,1.22,0.92,0.88,0.51,0.52,0.34,0.35
PB Ratio,5.47,4.56,2.90,2.20,4.65,3.91,4.38,2.48,6.88,5.76,7.82
P/TBV Ratio,54.64,46.88,-,-,-,-,-,-,-,-,-
P/FCF Ratio,111.37,115.01,53.33,40.05,138.50,7.24,33.83,11.15,5.95,9.25,11.84
P/OCF Ratio,22.54,22.19,10.69,7.38,10.76,4.32,9.78,4.26,3.38,3.27,4.25
PEG Ratio,7.65,9.65,7.07,4.07,3.25,2.71,2.94,1.43,2.00,1.72,3.50
EV/Sales Ratio,3.47,3.49,2.31,1.80,2.23,1.98,1.95,1.11,1.19,1.08,1.11
EV/EBITDA Ratio,29.59,25.49,16.57,15.50,14.70,16.46,14.59,10.01,9.17,8.75,8.98
EV/EBIT Ratio,81.54,56.71,38.51,51.55,28.34,47.93,30.51,31.04,20.72,22.59,22.07
EV/FCF Ratio,131.40,141.98,84.35,95.27,254.24,15.59,74.71,24.17,13.58,29.37,37.34
Debt / Equity Ratio,1.41,1.53,1.83,3.08,4.04,4.59,5.07,3.36,8.71,12.27,17.52
Debt / EBITDA Ratio,5.15,4.65,4.35,5.54,4.33,4.93,4.53,6.25,5.08,5.87,6.38
Debt / FCF Ratio,35.49,38.46,33.69,56.13,120.32,8.49,39.15,15.08,7.53,19.72,26.53
Asset Turnover,0.57,0.61,0.63,0.64,0.69,0.64,0.84,0.99,1.07,1.05,1.03
Quick Ratio,1.77,2.02,1.22,0.67,0.73,0.60,0.60,0.68,1.09,1.21,1.07
Current Ratio,1.88,2.13,1.32,0.79,0.87,0.68,0.74,0.87,1.23,1.40,1.46
Return on Equity (ROE),1.76%,3.99%,4.65%,8.03%,14.66%,-0.71%,10.82%,28.23%,3.40%,18.09%,39.12%
Return on Assets (ROA),1.51%,2.35%,2.37%,1.39%,3.39%,1.65%,3.35%,2.19%,3.86%,3.12%,3.23%
Return on Capital (ROIC),1.74%,2.72%,2.81%,1.66%,4.09%,1.99%,4.04%,2.80%,4.84%,3.85%,3.98%
Return on Capital Employed (ROCE),2.70%,4.00%,4.30%,2.50%,6.20%,3.30%,5.60%,4.00%,7.80%,6.10%,6.00%
Earnings Yield,-0.22%,0.05%,0.13%,0.99%,1.54%,-1.47%,1.45%,6.49%,0.01%,2.41%,2.71%
FCF Yield,0.90%,0.87%,1.88%,2.50%,0.72%,13.81%,2.96%,8.97%,16.82%,10.81%,8.45%
Buyback Yield / Dilution,-4.46%,-15.63%,-12.80%,-7.30%,-4.97%,-1.29%,-3.21%,-2.69%,-1.60%,-3.28%,-4.69%
