Period Ending,"Sep '25Sep 30, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Revenue,"1,217","1,220","1,159","1,137","1,106",931.03,738.69,714.01,642.99,563,499.02
Revenue Growth (YoY),3.85%,5.23%,1.97%,2.81%,18.75%,26.04%,3.46%,11.04%,14.21%,12.82%,10.34%
Cost of Revenue,403.53,408.52,385.26,366.49,347.51,296.62,255.5,236.78,208.4,185.43,156.93
Gross Profit,813.21,811.12,773.8,770.22,758.09,634.42,483.19,477.23,434.6,377.58,342.09
"Selling, General & Admin",456.96,446.38,428.53,396.61,391.89,312.41,267.24,262.08,215.83,174.65,138.12
Research & Development,99.87,99.5,96.66,92.49,87.14,70.6,65.19,62.41,55.33,53.51,45.19
Operating Expenses,556.83,545.88,525.19,489.11,479.03,383.02,332.43,324.49,271.16,228.17,183.31
Operating Income,256.38,265.24,248.61,281.11,279.06,251.4,150.76,152.74,163.44,149.41,158.79
Interest Expense,-9.27,-8.51,-15.74,-11.22,-11.31,-13.95,-19.2,-21.71,-10.19,-7.36,-1.75
Interest & Investment Income,3.93,3.89,3.32,3.41,0.79,0.47,0.61,0.57,0.41,0.3,0.25
Earnings From Equity Investments,0.86,0.94,-6.84,-1.14,-,-,-,-,-,-,-
Currency Exchange Gain (Loss),1.45,1.45,-0.73,0.68,0.7,-6.65,1.7,-0.46,-0.23,-0.64,-1.08
Other Non Operating Income (Expenses),0.45,-0.49,-0.72,-0.52,-0.19,-0.57,-1.18,-0.37,-0.27,-0.93,-0.53
EBT Excluding Unusual Items,253.8,262.51,227.91,272.31,269.06,230.7,132.69,130.78,153.16,140.79,155.67
Merger & Restructuring Charges,-31.99,-41.72,-20.54,4.92,15.46,-9.18,-1.78,-8.4,-7.51,-10.43,-8.19
Gain (Loss) on Sale of Investments,-,-,0.28,49.33,15.19,-68.05,137.51,-12.37,0.4,-,-
Asset Writedown,-73.7,-80.5,-21.96,-,-18.72,-,-,-,-,-,-
Legal Settlements,-41.83,-41.83,-3.51,-,-,-,7.16,-,-,-,-
Other Unusual Items,-,-,3.5,12.1,20.4,-5.3,0.91,2,-20.1,-18.4,-
Pretax Income,106.28,98.46,185.69,338.66,301.39,148.18,276.48,112.02,125.95,111.96,147.48
Income Tax Expense,28.3,25.06,17.58,53.22,38.29,8.59,47.18,15.94,-0.2,35.88,43.01
Earnings From Continuing Operations,77.99,73.4,168.11,285.44,263.1,139.59,229.3,96.07,126.15,76.09,104.48
Minority Interest in Earnings,-,-,-,-0.18,8.95,0.83,-,-,-,-,-
Net Income,77.99,73.4,168.11,285.26,272.05,140.41,229.3,96.07,126.15,76.09,104.48
Preferred Dividends & Other Adjustments,0.04,0.04,0.03,0.07,0.12,0.09,0.22,0.11,0.11,0.07,0.05
Net Income to Common,77.95,73.36,168.07,285.19,271.93,140.32,229.07,95.97,126.04,76.02,104.42
Net Income Growth,-48.26%,-56.34%,-41.07%,4.86%,93.75%,-38.77%,138.67%,-23.84%,65.80%,-27.17%,-3.02%
Shares Outstanding (Basic),157,158,158,157,157,155,153,151,150,149,149
Shares Outstanding (Diluted),159,160,161,162,164,162,158,156,152,150,149
Shares Change (YoY),-1.27%,-0.66%,-0.67%,-1.38%,1.35%,2.75%,1.31%,2.20%,1.48%,0.47%,0.26%
EPS (Basic),0.50,0.47,1.07,1.81,1.73,0.91,1.50,0.64,0.84,0.51,0.70
EPS (Diluted),0.49,0.46,1.05,1.76,1.66,0.87,1.46,0.62,0.83,0.51,0.70
EPS Growth,-48.73%,-56.19%,-40.34%,6.02%,90.81%,-40.21%,135.63%,-25.38%,63.05%,-27.50%,-3.11%
Free Cash Flow,224.06,256.55,236.1,216.15,280.36,307.86,153.47,156.21,149.43,128.54,127.26
Free Cash Flow Per Share,1.41,1.61,1.47,1.33,1.71,1.90,0.97,1.00,0.98,0.86,0.85
Dividend Per Share,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320,0.320
Gross Margin,66.83%,66.51%,66.76%,67.76%,68.57%,68.14%,65.41%,66.84%,67.59%,67.06%,68.55%
Operating Margin,21.07%,21.75%,21.45%,24.73%,25.24%,27.00%,20.41%,21.39%,25.42%,26.54%,31.82%
Profit Margin,6.41%,6.02%,14.50%,25.09%,24.60%,15.07%,31.01%,13.44%,19.60%,13.50%,20.93%
Free Cash Flow Margin,18.41%,21.04%,20.37%,19.02%,25.36%,33.07%,20.78%,21.88%,23.24%,22.83%,25.50%
EBITDA,318.48,331.14,313.72,344.05,339.53,302.65,199,197.61,202.6,186.35,190.45
EBITDA Margin,26.17%,27.15%,27.07%,30.27%,30.71%,32.51%,26.94%,27.68%,31.51%,33.10%,38.16%
D&A For EBITDA,62.11,65.9,65.11,62.94,60.47,51.25,48.24,44.87,39.16,36.94,31.66
EBIT,256.38,265.24,248.61,281.11,279.06,251.4,150.76,152.74,163.44,149.41,158.79
EBIT Margin,21.07%,21.75%,21.45%,24.73%,25.24%,27.00%,20.41%,21.39%,25.42%,26.54%,31.82%
Effective Tax Rate,26.63%,25.45%,9.47%,15.71%,12.70%,5.80%,17.07%,14.23%,-,32.04%,29.16%
Advertising Expenses,-,3.2,4.1,4.8,4.6,4.7,4.2,4.1,3.8,4.5,5.2
