Period Ending,"Nov '25Nov 13, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Market Capitalization,"9,466","8,066","11,291","12,852","13,600","17,511","10,094","7,896","5,559","4,387","4,197"
Market Cap Growth,-15.20%,-28.57%,-12.14%,-5.50%,-22.34%,73.49%,27.83%,42.04%,26.73%,4.53%,14.71%
Enterprise Value,"9,715","8,349","11,640","13,168","13,697","17,536","10,350","8,247","5,775","4,631","4,274"
Last Close Price,60.75,51.37,71.19,80.74,85.38,110.57,64.59,50.69,35.73,28.10,26.64
PE Ratio,124.81,109.94,67.18,45.06,50.01,124.79,44.06,82.28,44.11,57.70,40.19
Forward PE,29.99,25.74,36.72,36.57,39.55,61.93,57.82,39.98,30.55,30.36,30.06
PS Ratio,7.83,6.61,9.74,11.31,12.30,18.81,13.66,11.06,8.65,7.79,8.41
PB Ratio,4.81,4.20,5.46,6.54,8.00,11.15,7.31,6.77,5.15,4.62,4.77
P/TBV Ratio,14.86,14.09,19.17,22.99,39.06,168.48,74.03,-,159.56,-,30.44
P/FCF Ratio,42.25,31.44,47.82,59.46,48.51,56.88,65.77,50.55,37.20,34.13,32.98
P/OCF Ratio,37.67,28.05,37.77,50.52,41.81,49.73,49.19,43.48,32.63,30.52,29.11
PEG Ratio,2.57,2.39,6.48,3.10,2.47,2.90,5.93,3.22,2.10,2.94,2.40
EV/Sales Ratio,7.98,6.85,10.04,11.59,12.39,18.84,14.01,11.55,8.98,8.23,8.56
EV/EBITDA Ratio,30.50,25.21,37.10,38.28,40.34,57.94,52.01,41.73,28.51,24.85,22.44
EV/EBIT Ratio,37.89,31.48,46.82,46.84,49.08,69.75,68.65,54.00,35.34,31.00,26.91
EV/FCF Ratio,43.36,32.54,49.30,60.92,48.85,56.96,67.44,52.80,38.65,36.03,33.58
Debt / Equity Ratio,0.20,0.23,0.20,0.23,0.19,0.27,0.33,0.44,0.31,0.36,0.11
Debt / EBITDA Ratio,1.16,1.25,1.25,1.25,0.91,1.27,2.09,2.62,1.67,1.84,0.50
Debt / FCF Ratio,1.76,1.73,1.78,2.11,1.16,1.39,2.94,3.31,2.27,2.67,0.75
Asset Turnover,0.46,0.46,0.43,0.46,0.49,0.43,0.38,0.41,0.41,0.42,0.46
Inventory Turnover,2.08,2.21,2.19,2.34,2.70,2.70,2.63,2.68,2.86,3.16,2.94
Quick Ratio,2.28,2.10,2.47,3.29,2.51,2.48,3.69,2.98,3.80,2.03,3.50
Current Ratio,4.22,3.46,3.87,4.84,3.44,3.35,4.88,4.05,5.01,2.57,4.69
Return on Equity (ROE),3.80%,3.68%,8.33%,15.57%,16.08%,9.46%,18.01%,8.56%,12.44%,8.32%,12.11%
Return on Assets (ROA),6.09%,6.30%,5.82%,7.12%,7.65%,7.32%,4.82%,5.49%,6.48%,6.95%,9.05%
Return on Capital (ROIC),6.54%,6.83%,6.33%,7.90%,8.66%,8.20%,5.36%,6.16%,7.54%,8.24%,10.46%
Return on Capital Employed (ROCE),10.80%,11.10%,9.80%,11.20%,13.20%,11.90%,7.80%,8.60%,10.80%,10.50%,14.80%
Earnings Yield,0.82%,0.91%,1.49%,2.22%,2.00%,0.80%,2.27%,1.22%,2.27%,1.73%,2.49%
FCF Yield,2.37%,3.18%,2.09%,1.68%,2.06%,1.76%,1.52%,1.98%,2.69%,2.93%,3.03%
Dividend Yield,0.53%,0.62%,0.45%,0.40%,0.38%,0.29%,0.50%,0.63%,0.90%,1.14%,1.20%
Payout Ratio,65.74%,68.65%,29.99%,17.63%,18.45%,35.34%,21.33%,50.34%,38.03%,62.20%,45.57%
Buyback Yield / Dilution,1.27%,0.66%,0.67%,1.38%,-1.35%,-2.75%,-1.31%,-2.20%,-1.48%,-0.47%,-0.26%
Total Shareholder Return,1.80%,1.28%,1.12%,1.77%,-0.97%,-2.46%,-0.81%,-1.57%,-0.58%,0.67%,0.95%
