Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 30, 2024","Jan '24Jan 1, 2024","Jan '23Jan 2, 2023","Jan '22Jan 3, 2022","Dec '20Dec 28, 2020","Dec '19Dec 30, 2019","Dec '18Dec 31, 2018","Jan '18Jan 1, 2018","Jan '17Jan 2, 2017","Dec '15Dec 28, 2015"
Market Capitalization,"7,025","2,519","1,616","1,541","1,580","1,468","1,570","1,009","1,595","1,368",675
Market Cap Growth,249.44%,55.81%,4.88%,-2.45%,7.65%,-6.50%,55.61%,-36.77%,16.60%,102.69%,7.29%
Enterprise Value,"7,559","3,071","2,175","2,170","2,017","2,186","2,764","2,358","2,281","2,167","1,739"
Last Close Price,67.99,24.70,15.81,15.08,15.14,13.75,14.88,9.73,15.67,13.63,6.81
PE Ratio,53.89,44.74,-,16.30,29.04,8.27,38.01,5.81,12.84,39.25,-
Forward PE,24.63,13.37,10.96,9.47,11.52,11.90,13.61,5.73,9.10,9.81,7.26
PS Ratio,2.50,1.03,0.72,0.62,0.70,0.70,0.74,0.45,0.60,0.54,0.32
PB Ratio,4.13,1.61,1.07,1.00,1.09,1.02,1.23,0.82,1.58,1.65,0.82
P/TBV Ratio,10.96,3.59,2.83,3.16,2.73,2.79,6.36,11.99,2.98,4.26,2.10
P/FCF Ratio,196.24,49.24,59.78,9.07,16.69,7.98,9.27,8.20,8.80,6.42,4.91
P/OCF Ratio,22.30,10.63,8.63,5.65,8.95,5.11,5.03,3.69,4.80,4.59,2.84
PEG Ratio,-,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
EV/Sales Ratio,2.72,1.26,0.97,0.87,0.90,1.04,1.30,1.05,0.86,0.86,0.83
EV/EBITDA Ratio,19.96,9.91,8.01,7.32,7.83,7.82,8.15,6.80,5.87,5.92,6.87
EV/EBIT Ratio,32.44,19.21,19.64,13.34,15.49,19.16,22.67,19.07,10.66,11.66,17.27
EV/FCF Ratio,211.13,60.02,80.43,12.77,21.30,11.89,16.32,19.17,12.57,10.16,12.64
Debt / Equity Ratio,0.60,0.65,0.68,0.63,0.67,0.61,1.18,1.22,0.97,1.23,1.42
Debt / EBITDA Ratio,2.57,3.11,3.62,3.15,3.63,3.05,4.33,4.32,2.52,2.78,4.63
Debt / FCF Ratio,28.66,19.86,37.80,5.67,10.23,4.80,8.92,12.17,5.40,4.78,8.51
Asset Turnover,0.78,0.72,0.67,0.79,0.76,0.65,0.61,0.72,1.01,0.99,0.99
Inventory Turnover,9.22,8.97,9.48,13.66,15.43,15.23,15.74,9.09,7.91,7.84,8.62
Quick Ratio,1.59,1.65,1.66,1.68,2.24,2.13,1.20,1.59,1.24,1.00,0.96
Current Ratio,1.94,1.99,2.03,1.96,2.52,2.41,1.42,1.79,1.70,1.47,1.37
Return on Equity (ROE),8.12%,3.66%,-1.23%,6.33%,3.75%,-1.20%,2.55%,12.10%,13.55%,4.30%,-3.32%
Return on Assets (ROA),4.08%,2.94%,2.08%,3.20%,2.75%,2.21%,2.17%,2.48%,5.06%,4.52%,2.97%
Return on Capital (ROIC),5.50%,3.91%,2.75%,4.13%,3.43%,2.79%,2.76%,3.28%,6.96%,6.04%,3.91%
Return on Capital Employed (ROCE),8.30%,6.00%,4.20%,6.30%,5.30%,4.80%,4.70%,4.40%,10.40%,10.30%,5.30%
Earnings Yield,1.88%,2.23%,-1.16%,6.14%,3.44%,12.10%,2.63%,17.21%,7.79%,2.55%,-3.83%
FCF Yield,0.51%,2.03%,1.67%,11.03%,5.99%,12.53%,10.79%,12.19%,11.37%,15.58%,20.37%
Buyback Yield / Dilution,-1.36%,-1.32%,1.08%,3.96%,-1.68%,-0.03%,20.67%,-1.18%,-30.54%,-9.50%,-10.41%
