Period Ending,"Sep '25Sep 29, 2025","Dec '24Dec 30, 2024","Jan '24Jan 1, 2024","Jan '23Jan 2, 2023","Jan '22Jan 3, 2022","Dec '20Dec 28, 2020","Dec '19Dec 30, 2019","Dec '18Dec 31, 2018","Jan '18Jan 1, 2018","Jan '17Jan 2, 2017","Dec '15Dec 28, 2015"
Cash & Equivalents,491.12,503.93,450.21,402.75,537.68,451.57,379.82,256.36,409.33,256.28,259.1
Trading Asset Securities,1.67,1.8,3.3,-,-,-,-,-,-,-,-
Cash & Short-Term Investments,492.79,505.73,453.51,402.75,537.68,451.57,379.82,256.36,409.33,256.28,259.1
Cash Growth,4.78%,11.52%,12.60%,-25.09%,19.07%,18.89%,48.16%,-37.37%,59.72%,-1.09%,-7.15%
Accounts Receivable,947.11,829.99,705.61,809.01,711.21,654.36,758.2,810.91,483.9,432.79,456
Other Receivables,-,-,6.74,69.24,-,-,-,-,-,-,-
Receivables,947.11,829.99,712.34,878.25,711.21,654.36,758.2,810.91,483.9,432.79,456
Inventory,253.69,224.99,213.08,170.64,127.61,115.65,113.75,109.38,294.59,269.21,268.92
Prepaid Expenses,62.03,46.03,50.76,41.42,30.62,27.15,23.34,30.27,33.38,31.17,34.97
Restricted Cash,-,-,-,-,-,-,-,-,-,-,3.53
Other Current Assets,-,-,-,-,0.3,0.03,67.57,-,0.11,23.4,-
Total Current Assets,"1,756","1,607","1,430","1,493","1,407","1,249","1,343","1,207","1,221","1,013","1,023"
"Property, Plant & Equipment",847.09,948.21,893.95,743.07,686.56,674.78,700.37,"1,052","1,057",966.64,"1,103"
Long-Term Investments,-,1.3,-,-,-,-,-,-,-,-,-
Goodwill,670.14,670.14,702.74,760.44,637.32,637.32,706.52,767.05,372.57,372.61,346.99
Other Intangible Assets,390.15,191.82,236.71,288.04,239.92,281.31,325.68,375.92,102.95,126.61,150.87
Long-Term Accounts Receivable,-,5.44,11.26,7.1,-,-,-,-,-,-,-
Long-Term Deferred Tax Assets,-,-,-,-,6.9,16.65,24.14,-,-,-,-
Long-Term Deferred Charges,0.97,-,-,0.79,1.36,1.92,2.51,1.42,2.42,3.42,4.3
Other Long-Term Assets,56.57,48.85,49.32,31.12,46.08,35.21,459.02,54.18,25.79,17.95,12.38
Total Assets,"3,721","3,472","3,324","3,324","3,026","2,896","3,561","3,458","2,782","2,500","2,640"
Accounts Payable,506.39,406.22,334.61,361.79,361.48,327.1,329.87,431.29,497.46,371.61,377.22
Accrued Expenses,149.17,129.73,121.41,139.06,111.29,104.43,94.01,104.21,195.69,194.37,196.15
Current Portion of Long-Term Debt,3.81,3.8,3.5,50,4.3,-,249.98,30,4.58,110.65,157.38
Current Portion of Leases,8.33,8.37,9.21,8.1,7.06,8.14,7.11,-,-,-,-
Current Income Taxes Payable,22.4,15.92,5.47,28.06,7.16,2.43,13.04,11.35,21.99,-,-
Current Unearned Revenue,149.37,170.92,126.51,103.98,14.19,4.25,3.84,3.22,-,-,-
Other Current Liabilities,65.75,74.1,103.28,70.33,52.66,71.69,248.83,93.15,0.64,12.43,14.25
Total Current Liabilities,905.2,809.05,703.98,761.33,558.15,518.05,946.67,673.21,720.36,689.07,744.99
Long-Term Debt,913.26,914.36,915.81,879.41,927.82,857.82,"1,238","1,467",973.56,909.03,"1,013"
Long-Term Leases,100.45,89.49,93.59,25.83,29.57,17.21,15.41,-,1.92,-,-
Pension & Post-Retirement Benefits,-,-,-,2.47,5.28,9.99,9.31,9.41,-,-,-
Long-Term Deferred Tax Liabilities,42.84,41.36,44.24,54.27,28.36,23.7,25.44,-,-,-,-
Other Long-Term Liabilities,57.33,54.4,55.01,64.73,20.96,25.17,47.04,80.63,74.67,72.86,55.06
Total Liabilities,"2,019","1,909","1,813","1,788","1,570","1,452","2,282","2,230","1,771","1,671","1,813"
Common Stock,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1
Additional Paid-In Capital,940.33,910.74,880.96,858.08,840.11,830.97,814.71,797.9,777.03,758.44,745.61
Retained Earnings,965.19,838.42,782.12,800.84,706.26,651.84,474.31,433.01,230.85,106.64,71.78
Treasury Stock,-175.45,-157.57,-123.09,-98.66,-63.81,-,-,-,-,-,-
Comprehensive Income & Other,-28.73,-27.88,-29.07,-24.79,-27.26,-38.91,-10.09,-3.92,3.4,-44.33,1.62
Total Common Equity,"1,701","1,564","1,511","1,536","1,455","1,444","1,279","1,227","1,011",820.85,819.11
Minority Interest,-,-,-,-,-,-,-,-,-,8.28,7.56
Shareholders' Equity,"1,701","1,564","1,511","1,536","1,455","1,444","1,279","1,227","1,011",829.13,826.67
Total Liabilities & Equity,"3,721","3,472","3,324","3,324","3,026","2,896","3,561","3,458","2,782","2,500","2,640"
Total Debt,"1,026","1,016","1,022",963.34,968.74,883.18,"1,511","1,497",980.06,"1,020","1,171"
Net Cash (Debt),-533.06,-510.29,-568.6,-560.59,-431.06,-431.61,"-1,131","-1,241",-570.73,-763.41,-911.69
Net Cash Per Share,-5.08,-4.90,-5.53,-5.40,-3.99,-4.06,-10.63,-9.26,-4.31,-7.52,-9.84
Filing Date Shares Outstanding,103.33,102.11,101.91,102.58,102.77,106.77,105.51,104.38,102.34,100.41,99.43
Total Common Shares Outstanding,103.33,102,102.11,102.23,103.53,106.77,105.51,103.69,101.82,100.4,99.14
Working Capital,850.41,797.69,725.7,731.73,849.27,730.71,396.02,533.7,500.95,323.78,277.53
Book Value Per Share,16.47,15.33,14.80,15.02,14.06,13.52,12.12,11.83,9.93,8.18,8.26
Tangible Book Value,641.16,701.87,571.59,487.11,578.18,525.38,246.83,84.12,535.86,321.63,321.24
Tangible Book Value Per Share,6.20,6.88,5.60,4.76,5.58,4.92,2.34,0.81,5.26,3.20,3.24
Land,70.08,69.79,71.13,76.81,62.02,61.78,62.01,75.43,70.68,69.49,91.57
Buildings,554.68,515.77,512.15,443.35,429.34,398.54,381.98,534.12,506.39,436.82,446.76
Machinery,"1,193","1,128",996.68,"1,001",902.29,843.03,788.25,"1,357","1,243","1,053","1,059"
Construction In Progress,156.98,75.5,90.94,27.77,25.55,33.19,58.2,42.71,51.87,54.52,39.55
