Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"1,051","1,265",949.27,"1,437","1,427",693.24,821.37,651.56,331.98,222.11,234.29
Revenue Growth (YoY),-13.87%,33.31%,-33.95%,0.68%,105.91%,-15.60%,26.06%,96.27%,49.47%,-5.20%,58.96%
Cost of Revenue,690.4,682.82,554.52,616.45,497.18,450.48,582.69,362.15,180.68,177.59,206.37
Gross Profit,360.43,582.64,394.75,820.71,930.25,242.76,238.67,289.41,151.3,44.52,27.92
"Selling, General & Admin",72.23,70.78,54.41,56.83,39.5,31.88,34.82,33.97,30.96,24.3,23.62
Other Operating Expenses,-1.18,6.69,5.19,-2.58,2.74,0.39,-0.23,1.7,2.78,2.94,3.68
Operating Expenses,242.76,241.83,198.33,211.66,195.51,174.93,160.48,139.24,116.35,109.18,109.37
Operating Income,117.67,340.8,196.41,609.05,734.74,67.83,78.19,150.17,34.95,-64.66,-81.45
Interest Expense,-78.07,-92.75,-73.27,-51.41,-54.32,-67.04,-85.97,-70.77,-49.66,-42.73,-32.31
Interest & Investment Income,16.38,16.38,15.23,7.05,0.32,0.27,1.3,3.38,3,0.88,1.09
Earnings From Equity Investments,-0.1,-0,0.06,0.11,0.12,0.04,0.05,0.05,0.09,0.13,0.21
Currency Exchange Gain (Loss),0.1,0.1,-,-,-,-,-,-3.16,-,-,-
Other Non Operating Income (Expenses),5.74,-5.07,-2.92,-2.62,1.84,13.64,2.76,-1.04,-1.4,-0.19,-0.62
EBT Excluding Unusual Items,61.73,259.46,135.51,562.18,682.7,14.74,-3.66,78.63,-13.02,-106.58,-113.08
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,0.55
Gain (Loss) on Sale of Assets,-2.67,43.29,29.4,-,-,-,-5.49,-,2.6,-44.47,-20.59
Asset Writedown,-1.8,-1.8,-17.84,-,-,-,-3.41,-17.78,-,-,-321.98
Other Unusual Items,-0.54,-1.14,-7.25,4.06,-2.16,-4.92,-3.53,-2.38,0.88,-4.48,-3.09
Pretax Income,61.47,304.54,173.74,566.24,680.55,9.81,-16.09,58.46,-9.54,-153.96,-458.18
Income Tax Expense,-,-0.12,0.18,0.24,0.02,0.15,0.11,0.06,0.24,0.27,-
Net Income,61.47,304.65,173.56,566,680.53,9.66,-16.2,58.4,-9.77,-154.23,-458.18
Net Income to Common,61.47,304.65,173.56,566,680.53,9.66,-16.2,58.4,-9.77,-154.23,-458.18
Net Income Growth,-79.64%,75.54%,-69.34%,-16.83%,6944.82%,-,-,-,-,-,-
Shares Outstanding (Basic),116,107,98,102,101,96,94,77,63,48,39
Shares Outstanding (Diluted),116,109,99,103,101,96,94,77,63,48,39
Shares Change (YoY),15.36%,9.88%,-3.52%,1.04%,5.40%,2.72%,21.22%,22.67%,32.50%,21.60%,234.74%
EPS (Basic),0.53,2.85,1.76,5.54,6.73,0.10,-0.17,0.76,-0.16,-3.24,-11.71
EPS (Diluted),0.53,2.80,1.75,5.52,6.71,0.10,-0.17,0.76,-0.16,-3.24,-11.71
EPS Growth,-82.40%,60.00%,-68.30%,-17.73%,6610.00%,-,-,-,-,-,-
Free Cash Flow,-,416.06,317.69,744.5,636.92,98.49,-258.62,-159.63,-60.88,-429.39,-488.5
Free Cash Flow Per Share,-,3.83,3.21,7.26,6.28,1.02,-2.76,-2.06,-0.97,-9.03,-12.49
Dividend Per Share,0.090,2.140,1.420,5.100,4.250,-,0.100,-,-,-,-
Dividend Growth,-96.40%,50.70%,-72.16%,20.00%,-,-,-,-,-,-,-
Gross Margin,34.30%,46.04%,41.58%,57.11%,65.17%,35.02%,29.06%,44.42%,45.58%,20.04%,11.92%
Operating Margin,11.20%,26.93%,20.69%,42.38%,51.47%,9.79%,9.52%,23.05%,10.53%,-29.11%,-34.76%
Profit Margin,5.85%,24.07%,18.28%,39.38%,47.67%,1.39%,-1.97%,8.96%,-2.94%,-69.44%,-195.56%
Free Cash Flow Margin,-,32.88%,33.47%,51.80%,44.62%,14.21%,-31.49%,-24.50%,-18.34%,-193.32%,-208.50%
EBITDA,289.53,504.86,334.84,765.78,887.19,208.94,200.46,251.2,117.57,17.53,10.16
EBITDA Margin,27.55%,39.90%,35.27%,53.29%,62.15%,30.14%,24.40%,38.55%,35.42%,7.89%,4.34%
D&A For EBITDA,171.86,164.06,138.43,156.73,152.45,141.11,122.27,101.03,82.62,82.19,91.61
EBIT,117.67,340.8,196.41,609.05,734.74,67.83,78.19,150.17,34.95,-64.66,-81.45
EBIT Margin,11.20%,26.93%,20.69%,42.38%,51.47%,9.79%,9.52%,23.05%,10.53%,-29.11%,-34.76%
Effective Tax Rate,-,-,0.10%,0.04%,0.00%,1.55%,-,0.10%,-,-,-
Revenue as Reported,-,-,-,-,-,-,-,-,-,222.11,234.29
