Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,148","1,762","1,783","1,975","2,315",848,"1,116",841,722,287,133
Market Cap Growth,-5.11%,-1.15%,-9.71%,-14.71%,172.94%,-24.02%,32.70%,16.47%,152.12%,116.11%,-77.80%
Enterprise Value,"2,923","2,785","2,545","3,004","3,534","2,262","2,601","2,081","1,524","1,062",912
Last Close Price,19.05,14.78,18.72,15.70,14.47,5.07,6.74,5.19,6.40,2.90,1.72
PE Ratio,36.28,5.79,10.27,3.49,3.40,87.81,-,14.41,-,-,-
Forward PE,8.38,7.77,10.13,5.62,3.14,25.59,6.12,6.45,22.86,-,-
PS Ratio,2.10,1.39,1.88,1.37,1.62,1.22,1.36,1.29,2.18,1.29,0.57
PB Ratio,0.90,0.71,1.07,0.98,1.11,0.55,0.72,0.55,0.66,0.28,0.12
P/TBV Ratio,0.90,0.71,1.07,0.98,1.11,0.55,0.72,0.55,0.66,0.28,0.12
P/FCF Ratio,-,4.24,5.61,2.65,3.64,8.61,-,-,-,-,-
P/OCF Ratio,-,3.74,5.31,2.57,3.02,4.97,12.61,4.98,8.72,-,-
PEG Ratio,-,0.04,0.04,0.04,0.02,1.99,-,-,-,-,-
EV/Sales Ratio,2.78,2.20,2.68,2.09,2.48,3.26,3.17,3.19,4.59,4.78,3.89
EV/EBITDA Ratio,10.10,5.52,7.60,3.92,3.98,10.82,12.97,8.28,12.96,60.61,89.69
EV/EBIT Ratio,24.84,8.17,12.96,4.93,4.81,33.34,33.26,13.86,43.61,-,-
EV/FCF Ratio,-,6.69,8.01,4.04,5.55,22.96,-,-,-,-,-
Debt / Equity Ratio,0.50,0.59,0.76,0.66,0.77,1.01,1.02,0.95,0.95,0.92,0.87
Debt / EBITDA Ratio,3.57,2.73,3.62,1.70,1.77,6.49,5.07,5.74,8.74,54.47,96.79
Debt / FCF Ratio,-,3.50,3.98,1.78,2.50,15.89,-,-,-,-,-
Asset Turnover,0.26,0.36,0.29,0.40,0.41,0.22,0.26,0.25,0.16,0.11,0.11
Inventory Turnover,-,9.69,8.56,8.67,8.13,9.15,14.83,15.48,10.67,12.34,14.42
Quick Ratio,1.22,1.27,0.84,1.33,1.86,0.83,0.57,1.10,1.26,7.00,1.32
Current Ratio,1.73,1.65,1.26,1.78,2.35,1.15,0.86,1.34,1.43,8.13,1.51
Return on Equity (ROE),2.50%,14.71%,9.43%,27.61%,37.50%,0.63%,-1.06%,4.48%,-0.92%,-14.20%,-40.02%
Return on Assets (ROA),1.85%,5.99%,3.80%,10.59%,13.22%,1.32%,1.56%,3.63%,1.05%,-1.94%,-2.42%
Return on Capital (ROIC),1.93%,6.21%,3.92%,10.86%,13.54%,1.36%,1.60%,3.70%,1.06%,-1.97%,-2.46%
Return on Capital Employed (ROCE),3.40%,9.20%,7.40%,19.30%,21.20%,2.30%,2.70%,5.40%,1.80%,-3.30%,-4.10%
Earnings Yield,2.83%,17.29%,9.73%,28.66%,29.39%,1.14%,-1.45%,6.94%,-1.35%,-53.83%,-345.58%
FCF Yield,-,23.61%,17.82%,37.70%,27.51%,11.61%,-23.16%,-18.97%,-8.43%,-149.86%,-368.45%
Dividend Yield,1.06%,14.48%,7.59%,32.49%,29.38%,-,1.48%,-,-,-,-
Payout Ratio,57.13%,90.92%,91.07%,118.14%,33.83%,49.73%,-,-,-,-,-
Buyback Yield / Dilution,-15.36%,-9.88%,3.52%,-1.04%,-5.40%,-2.72%,-21.22%,-22.67%,-32.50%,-21.60%,-234.74%
Total Shareholder Return,-14.31%,4.60%,11.11%,31.45%,23.98%,-2.72%,-19.74%,-22.67%,-32.50%,-21.60%,-234.74%
