Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,452.54,425.07,227.48,269.75,450.29,183.21,117.82,204.92,257.91,181.76,208.06
Short-Term Investments,-,-,-,-,-,-,-,0.05,0.02,-,-
Trading Asset Securities,-,2.05,6.04,21.71,0.55,-,-,-,-,-,-
Cash & Short-Term Investments,452.54,427.12,233.52,291.46,450.83,183.21,117.82,204.97,257.93,181.76,208.06
Cash Growth,-0.79%,82.90%,-19.88%,-35.35%,146.07%,55.50%,-42.52%,-20.53%,41.91%,-12.64%,141.93%
Accounts Receivable,-,79.3,68.62,84.03,81.06,38.09,58.79,38.4,18.57,12.57,10.89
Other Receivables,-,0.15,0.06,0.41,9.66,0.84,1.11,1.46,0.11,2.35,1.21
Receivables,-,79.45,68.69,84.44,90.73,38.93,59.9,39.86,18.67,14.92,12.1
Inventory,-,78.59,62.36,67.16,75.08,47.29,51.15,27.44,19.35,14.53,14.25
Prepaid Expenses,-,18.87,19.3,25.67,28.66,17.69,17.75,6.5,4.22,5.64,8.6
Restricted Cash,-,11.22,32.25,14.57,20.97,7.3,7.42,6.44,7.17,5.12,3.77
Other Current Assets,185.89,43.73,38.29,18.79,16.66,12.99,12.01,13.63,5.29,6.49,5.28
Total Current Assets,638.43,658.97,454.4,502.09,682.92,307.41,266.04,298.84,312.63,228.47,252.06
"Property, Plant & Equipment","2,946","3,393","2,568","2,919","3,061","2,878","2,967","2,656","1,775","1,707","1,758"
Long-Term Investments,-,2.06,4.27,10.34,8.33,1.32,1.29,1.11,1.06,0.97,0.84
Other Intangible Assets,-,-,-,-,-,-,-,-,-,-,0.25
Other Long-Term Assets,205.25,32.48,2.02,2.02,2.17,5.06,4.6,66.09,56.99,75.06,138.14
Total Assets,"3,790","4,086","3,028","3,434","3,755","3,192","3,239","3,022","2,146","2,012","2,149"
Accounts Payable,-,51.59,39.32,32.14,21.84,32.85,42.78,20.96,9.94,5.2,9.44
Accrued Expenses,-,65.88,32.96,35.24,32.18,22.25,50.78,17.97,10.51,11.78,15.11
Current Portion of Long-Term Debt,198.17,221.15,249.13,166.59,157.14,146.63,150.35,101.01,174.58,2.55,133.07
Current Portion of Leases,-,30.96,7.98,25.32,50.43,44.87,52.15,65.84,15.35,6.24,4.49
Current Income Taxes Payable,-,-,0.07,0.25,0.06,0.13,-,0.23,0.24,0.27,-
Current Unearned Revenue,-,17.3,16.74,16.68,24.96,11.68,7.37,10.86,7.23,2.06,2.47
Other Current Liabilities,171.97,12.94,13.17,6.34,4.18,8.03,7.51,5.86,1.42,0.03,2.37
Total Current Liabilities,370.14,399.81,359.36,282.56,290.8,266.43,310.93,222.72,219.27,28.12,166.95
Long-Term Debt,868.17,"1,035",970.04,928,932.55,990.2,"1,009",734.23,623.14,793.27,771.08
Long-Term Leases,136.36,168.81,37.78,202.9,450.3,383.3,371.05,540.93,214.74,152.61,75.03
Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,0.05,0.13
Other Long-Term Liabilities,-,0.85,1,0.83,1.06,2.34,3.24,4.22,0.56,0.42,0.31
Total Liabilities,"1,375","1,605","1,368","1,414","1,675","1,642","1,695","1,502","1,058",974.47,"1,013"
Common Stock,"2,415",1.14,0.84,1.03,1.02,0.97,0.96,0.93,0.64,0.57,0.44
Additional Paid-In Capital,-,"3,084","2,287","2,646","2,618","2,549","2,544","2,502","2,123","2,063","2,008"
Retained Earnings,-,-605.57,-633.22,-648.72,-546.26,-996.31,"-1,001",-980.17,"-1,036","-1,027",-872.3
Treasury Stock,-,-,-,-,-,-0.09,-0.09,-3.15,-,-,-
Comprehensive Income & Other,-,2.3,5.39,20.96,6.93,-3.99,-,-,0.61,-0.29,-1.22
Shareholders' Equity,"2,415","2,482","1,660","2,019","2,080","1,550","1,544","1,520","1,088","1,037","1,135"
Total Liabilities & Equity,"3,790","4,086","3,028","3,434","3,755","3,192","3,239","3,022","2,146","2,012","2,149"
Total Debt,"1,203","1,456","1,265","1,323","1,590","1,565","1,583","1,442","1,028",954.67,983.67
Net Cash (Debt),-750.15,"-1,029","-1,031","-1,031","-1,140","-1,382","-1,465","-1,237",-769.88,-772.91,-775.61
Net Cash Per Share,-6.44,-9.47,-10.43,-10.06,-11.23,-14.35,-15.63,-16.00,-12.21,-16.25,-19.82
Filing Date Shares Outstanding,113.52,117.13,84.02,102.86,102.29,99.23,96.07,93.09,64.16,63.07,43.82
Total Common Shares Outstanding,113.52,117.63,84.02,102.86,102.29,97.14,96.07,92.29,64.16,56.63,43.82
Working Capital,268.29,259.16,95.03,219.54,392.13,40.98,-44.89,76.12,93.35,200.35,85.11
Book Value Per Share,21.28,21.10,19.76,19.63,20.33,15.95,16.07,16.47,16.96,18.32,25.91
Tangible Book Value,"2,415","2,482","1,660","2,019","2,080","1,550","1,544","1,520","1,088","1,037","1,135"
Tangible Book Value Per Share,21.28,21.10,19.76,19.63,20.33,15.95,16.07,16.47,16.96,18.32,25.90
Machinery,-,-,-,-,-,-,"3,411","3,105","2,185","2,038","2,026"
