Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Market Capitalization,"4,000","4,046","1,356",468,872,"1,632",391,580,-,-
Market Cap Growth,53.05%,198.32%,190.08%,-46.39%,-46.58%,317.34%,-32.52%,-,-,-
Enterprise Value,"3,770","3,974","1,201",196,679,"1,549",221,476,-,-
Last Close Price,36.47,43.22,18.80,9.05,24.84,48.53,13.18,22.97,-,-
PS Ratio,-,-,-,14.09,46.35,105.99,19.09,-,-,-
PB Ratio,14.76,10.98,6.02,1.80,5.07,6.26,3.47,5.44,-,-
P/TBV Ratio,16.45,10.98,6.02,1.80,5.07,6.26,3.47,5.44,-,-
P/FCF Ratio,-,-,-,-,-,-,-,25.12,-,-
P/OCF Ratio,-,-,-,-,-,-,-,23.59,-,-
EV/Sales Ratio,-,-,-,5.91,36.11,100.57,10.77,-,-,-
EV/FCF Ratio,-,-,-,-,-,-,-,20.64,-,-
Debt / Equity Ratio,0.45,0.18,0.27,0.27,0.45,0.22,0.05,0.00,0.02,0.06
Debt / FCF Ratio,-,-,-,-,-,-,-,0.02,-,-
Asset Turnover,-,-,-,0.10,0.05,0.05,0.11,-,-,-
Quick Ratio,6.02,9.36,8.58,8.74,3.94,8.01,5.56,5.64,11.54,9.36
Current Ratio,6.31,9.61,8.80,9.01,4.13,8.09,5.64,5.72,11.78,9.48
Return on Equity (ROE),-218.04%,-82.95%,-68.30%,-62.22%,-60.90%,-46.29%,-46.46%,-60.77%,-59.70%,-
Return on Assets (ROA),-76.61%,-40.09%,-32.00%,-24.99%,-23.44%,-18.57%,-18.05%,-26.08%,-33.13%,-
Return on Capital (ROIC),-90.37%,-43.71%,-34.72%,-28.61%,-28.64%,-24.90%,-30.27%,-38.69%,-36.19%,-
Return on Capital Employed (ROCE),-103.50%,-58.90%,-61.60%,-41.20%,-54.10%,-25.10%,-33.30%,-33.70%,-44.20%,-54.40%
Earnings Yield,-8.77%,-6.09%,-12.22%,-28.77%,-15.11%,-5.30%,-13.04%,-8.51%,-,-
FCF Yield,-6.82%,-4.97%,-10.71%,-28.61%,-15.14%,-3.94%,-16.93%,3.98%,-,-
Buyback Yield / Dilution,-23.84%,-23.49%,-27.46%,-62.38%,-19.45%,-11.61%,-75.90%,-858.04%,-1.93%,-
