Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Cash & Equivalents,286.77,177.88,101.86,103.28,212.84,160.36,36.31,115.07,56.46,10.03
Short-Term Investments,82.86,259.4,178.08,212.09,40.16,180.67,121.14,60.58,1.5,18
Cash & Short-Term Investments,369.63,437.28,279.94,315.36,252.99,341.03,157.45,175.65,57.96,28.04
Cash Growth,165.80%,56.21%,-11.23%,24.65%,-25.81%,116.60%,-10.36%,203.05%,106.74%,-
Accounts Receivable,-,-,-,-,-,-,25,-,-,-
Other Receivables,3.55,2.15,1.08,2.74,-,-,-,-,-,0.1
Receivables,3.55,2.15,1.08,2.74,-,-,25,-,-,0.1
Prepaid Expenses,17.53,11.74,7.18,9.93,12.33,3.37,2.72,2.3,1.24,0.37
Total Current Assets,390.71,451.17,288.19,328.02,265.32,344.4,185.17,177.94,59.2,28.5
"Property, Plant & Equipment",13.88,18.41,16.02,25.93,35.01,40.38,8.62,3.19,2.18,2.43
Long-Term Investments,-,-,-,-,-,-,-,-,-,1.5
Other Long-Term Assets,7.12,5.35,6.82,4.22,4.12,3.52,2.6,0.21,0.26,0.36
Total Assets,411.72,474.92,311.04,358.17,304.45,388.31,196.38,181.34,61.64,32.78
Accounts Payable,6.77,10.1,3.47,3.99,4.43,3.41,1.13,3.3,1.36,0.66
Accrued Expenses,49.88,31.07,20.45,24.32,17.46,13.67,9.61,7.16,2.8,1.49
Short-Term Debt,-,-,1.33,-,1.58,-,-,-,-,-
Current Portion of Long-Term Debt,-,-,-,-,-,-,-,0.42,0.64,0.65
Current Portion of Leases,5.33,5.77,7.41,7.85,7.41,5.37,1.14,-,-,-
Current Unearned Revenue,-,-,-,-,33.19,18.82,20.92,20.21,-,-
Other Current Liabilities,-,-,0.09,0.22,0.23,1.31,0.02,0.03,0.23,0.21
Total Current Liabilities,61.97,46.94,32.74,36.39,64.3,42.56,32.81,31.12,5.02,3.01
Long-Term Debt,99.61,50.15,48.68,49.74,48.42,24.68,-,-,0.4,1.02
Long-Term Leases,5.14,9.21,4.39,11.8,19.65,27.09,4.17,-,-,-
Long-Term Unearned Revenue,-,-,-,-,-,33.19,46.49,42.7,-,-
Other Long-Term Liabilities,-,-,-,-,-,0.01,0.01,0.9,0.51,0.72
Total Liabilities,166.72,106.29,85.82,97.93,132.37,127.54,83.48,74.71,5.93,4.75
Common Stock,0.1,0.09,0.08,0.05,0.04,0.03,0.03,0.03,0,1.47
Additional Paid-In Capital,"1,454","1,291",901.47,771.7,548.2,505.07,270.68,213.45,4,1.05
Retained Earnings,"-1,210",-922.72,-676.42,-510.63,-376.13,-244.33,-157.85,-106.85,-57.53,-32.53
Comprehensive Income & Other,0.12,0.16,0.09,-0.88,-0.04,-0,0.04,-0.01,-0,-0.02
Total Common Equity,245,368.63,225.22,260.24,172.07,260.77,112.9,106.62,-53.52,-30.03
Shareholders' Equity,245,368.63,225.22,260.24,172.07,260.77,112.9,106.62,55.71,28.03
Total Liabilities & Equity,411.72,474.92,311.04,358.17,304.45,388.31,196.38,181.34,61.64,32.78
Total Debt,110.08,65.13,61.82,69.4,77.06,57.14,5.3,0.42,1.04,1.67
Net Cash (Debt),259.55,372.15,218.12,245.97,175.94,283.89,152.15,175.22,56.92,27.86
Net Cash Growth,258.21%,70.62%,-11.32%,39.80%,-38.03%,86.59%,-13.17%,207.84%,104.30%,-
Net Cash Per Share,2.62,3.97,2.87,4.13,4.79,9.24,5.52,11.19,34.83,17.38
Filing Date Shares Outstanding,102.01,94.68,77.87,51.99,35.3,34.26,29.81,26.22,3.97,4.58
Total Common Shares Outstanding,99.17,93.82,75.98,51.67,35.21,34.15,29.79,26.22,3.97,4.58
Working Capital,328.74,404.23,255.45,291.64,201.02,301.84,152.35,146.82,54.18,25.49
Book Value Per Share,2.47,3.93,2.96,5.04,4.89,7.64,3.79,4.07,-13.48,-6.56
Tangible Book Value,245,368.63,225.22,260.24,172.07,260.77,112.9,106.62,-53.52,-30.03
Tangible Book Value Per Share,2.47,3.93,2.96,5.04,4.89,7.64,3.79,4.07,-13.48,-6.56
Machinery,-,12.37,12.35,12.46,11.65,6.12,6.15,3.88,2.23,1.81
Construction In Progress,-,-,-,-,0.05,5.28,-,0.09,-,-
Leasehold Improvements,-,3.61,3.58,5.16,5.16,1.58,1.58,1.58,1.5,1.5
