Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Revenue,-,-,-,33.19,18.82,15.4,20.49,-,-,0.38
Revenue Growth (YoY),-,-,-,76.41%,22.16%,-24.83%,-,-,-,-
Cost of Revenue,211.93,184.55,121.9,123.04,108.47,74.06,54.22,36.31,19.94,12.48
Gross Profit,-211.93,-184.55,-121.9,-89.85,-89.65,-58.66,-33.73,-36.31,-19.94,-12.1
"Selling, General & Admin",150.18,67.5,49.4,42.62,40.27,28.22,20.82,14.38,5.09,4.11
Operating Expenses,150.18,67.5,49.4,42.62,40.27,28.22,20.82,14.38,5.09,4.11
Operating Income,-362.11,-252.05,-171.3,-132.47,-129.92,-86.88,-54.54,-50.69,-25.03,-16.21
Interest Expense,-6.01,-6.84,-6.74,-4.7,-,-,-,-,-,-0.04
Interest & Investment Income,14.94,12.68,12.1,-,-,-,-,-,0.04,0.02
Other Non Operating Income (Expenses),-0.25,-0.09,0.15,4.57,-1.88,0.4,3.54,1.37,-0.01,0.02
EBT Excluding Unusual Items,-353.43,-246.29,-165.79,-132.6,-131.8,-86.48,-51,-49.33,-25,-16.21
Merger & Restructuring Charges,-,-,-,-1.9,-,-,-,-,-,-
Pretax Income,-353.43,-246.29,-165.79,-134.5,-131.8,-86.48,-51,-49.33,-25,-16.21
Net Income,-353.43,-246.29,-165.79,-134.5,-131.8,-86.48,-51,-49.33,-25,-16.21
Net Income to Common,-353.43,-246.29,-165.79,-134.5,-131.8,-86.48,-51,-49.33,-25,-16.21
Shares Outstanding (Basic),99,94,76,60,37,31,28,16,2,2
Shares Outstanding (Diluted),99,94,76,60,37,31,28,16,2,2
Shares Change (YoY),23.84%,23.49%,27.46%,62.38%,19.45%,11.61%,75.90%,858.04%,1.93%,-
EPS (Basic),-3.56,-2.63,-2.18,-2.26,-3.59,-2.81,-1.85,-3.15,-15.30,-10.11
EPS (Diluted),-3.56,-2.63,-2.18,-2.26,-3.59,-2.81,-1.85,-3.15,-15.30,-10.11
Free Cash Flow,-274.64,-201.05,-145.3,-133.76,-132.04,-64.36,-66.23,23.08,-22.1,-15.94
Free Cash Flow Per Share,-2.77,-2.14,-1.91,-2.24,-3.60,-2.09,-2.40,1.47,-13.52,-9.94
Gross Margin,-,-,-,-270.69%,-,-,-164.58%,-,-,-
Operating Margin,-,-,-,-399.09%,-690.48%,-564.03%,-266.16%,-,-,-4277.05%
Profit Margin,-,-,-,-405.21%,-700.46%,-561.47%,-248.88%,-,-,-4276.25%
Free Cash Flow Margin,-,-,-,-402.97%,-701.73%,-417.83%,-323.20%,-,-,-4204.48%
EBITDA,-360.48,-250.12,-168.45,-129.48,-127.29,-85.39,-53.24,-49.89,-24.36,-15.64
EBITDA Margin,-,-,-,-,-,-,-259.80%,-,-,-
D&A For EBITDA,1.63,1.94,2.84,2.99,2.63,1.49,1.3,0.81,0.67,0.58
EBIT,-362.11,-252.05,-171.3,-132.47,-129.92,-86.88,-54.54,-50.69,-25.03,-16.21
EBIT Margin,-,-,-,-,-,-,-266.16%,-,-,-
