Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,24.75,7.19,15.69,2.13,2.91,2.16,0.32,0.19,0.27,0.64,0.71
Revenue Growth (YoY),208.40%,-54.16%,638.14%,-26.87%,34.34%,575.35%,68.60%,-30.75%,-57.17%,-9.33%,-64.93%
Cost of Revenue,16.44,6.85,9.31,1.02,1.81,1.24,0.08,0.04,0.08,0.17,0.4
Gross Profit,8.31,0.35,6.38,1.11,1.1,0.93,0.24,0.15,0.19,0.47,0.3
"Selling, General & Admin",36.54,22.48,27.47,27.08,13.27,8.87,10.2,5.51,1.59,1.65,0.6
Research & Development,15.35,12.48,17.15,24.04,5.8,3.59,5.42,3.08,1,1.38,1.11
Operating Expenses,51.89,34.95,44.61,51.12,19.07,12.45,15.61,8.59,2.59,3.03,1.71
Operating Income,-43.58,-34.61,-38.23,-50.01,-17.97,-11.52,-15.37,-8.44,-2.39,-2.56,-1.4
Interest Expense,-7.14,-3.62,-4.15,-3.76,-0.58,-1.94,-2.93,-2.66,-0.64,-0.62,-0.29
Interest & Investment Income,2.37,0.23,0.12,0.03,0.01,0,0,0.02,-,-,-
Currency Exchange Gain (Loss),-0.22,-0.09,-0.43,-,-,-,-,-,-,-,-
Other Non Operating Income (Expenses),-0.74,0.06,-0.61,-0.08,-0.07,-0.02,0.01,-0.97,0.01,-0,-
EBT Excluding Unusual Items,-49.3,-38.02,-43.29,-53.82,-18.61,-13.48,-18.29,-12.05,-3.02,-3.18,-1.69
Impairment of Goodwill,-,-,-,-19.42,-,-,-,-,-,-,-
Gain (Loss) on Sale of Investments,6.89,-,-1.5,-,-,-,-,-,-,-,-
Gain (Loss) on Sale of Assets,-0,-0,-0.05,-,-,-,-0.18,-,-,-,-
Other Unusual Items,0.01,0.01,-,-,0.67,-,-0.92,-0.04,-,-,-
Pretax Income,-42.4,-38.01,-44.84,-73.24,-17.95,-13.48,-19.39,-12.1,-3.02,-3.18,-1.69
Income Tax Expense,0.31,-,-,-,-2.92,-,-,-,-,-,-
Net Income,-42.69,-38.01,-44.84,-73.24,-15.02,-13.48,-19.39,-12.1,-3.02,-3.18,-1.69
Preferred Dividends & Other Adjustments,4.97,4.41,1.51,-,-,-,-,-,-,-,-
Net Income to Common,-47.66,-42.42,-46.36,-73.24,-15.02,-13.48,-19.39,-12.1,-3.02,-3.18,-1.69
Shares Outstanding (Basic),149,70,53,42,34,20,18,10,5,1,2
Shares Outstanding (Diluted),149,70,53,42,34,20,18,10,5,1,2
Shares Change (YoY),130.95%,32.57%,24.85%,23.59%,67.32%,16.00%,85.20%,76.19%,285.01%,-9.00%,0.81%
EPS (Basic),-0.32,-0.61,-0.88,-1.73,-0.44,-0.66,-1.10,-1.27,-0.56,-2.27,-1.10
EPS (Diluted),-0.32,-0.61,-0.88,-1.73,-0.44,-0.66,-1.10,-1.27,-0.56,-2.27,-1.10
Free Cash Flow,-34.59,-35.11,-34.23,-40.84,-17.82,-7.54,-14.74,-9.06,-2.63,-1.28,-0.73
Free Cash Flow Per Share,-0.23,-0.50,-0.65,-0.97,-0.52,-0.37,-0.84,-0.95,-0.49,-0.92,-0.47
Gross Margin,33.57%,4.80%,40.67%,52.18%,37.70%,42.87%,75.30%,79.29%,70.93%,73.47%,43.14%
Operating Margin,-176.09%,-481.17%,-243.63%,-2352.50%,-618.34%,-532.60%,-4797.99%,-4439.08%,-872.56%,-398.76%,-198.48%
Profit Margin,-192.59%,-589.76%,-295.44%,-3445.35%,-516.86%,-622.90%,-6052.17%,-6365.80%,-1101.38%,-495.81%,-239.39%
Free Cash Flow Margin,-139.78%,-488.08%,-218.15%,-1921.33%,-613.02%,-348.61%,-4601.47%,-4768.48%,-958.62%,-200.12%,-102.97%
EBITDA,-38.58,-29.79,-33.24,-45.99,-16.46,-11.41,-15.23,-8.38,-2.38,-2.54,-1.38
EBITDA Margin,-155.87%,-,-211.82%,-,-,-,-,-,-,-,-195.75%
D&A For EBITDA,5.01,4.82,4.99,4.02,1.51,0.12,0.14,0.06,0.01,0.02,0.02
EBIT,-43.58,-34.61,-38.23,-50.01,-17.97,-11.52,-15.37,-8.44,-2.39,-2.56,-1.4
EBIT Margin,-176.09%,-,-243.63%,-,-,-,-,-,-,-,-198.48%
Advertising Expenses,-,0.08,0.18,0.08,0.03,-,-,-,-,-,-
