Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,432.82,29.96,14.98,29.78,40.82,26.06,2.15,1.13,0.46,0.05,0.03
Short-Term Investments,18.81,-,-,-,-,-,0.03,0.03,0.02,-,-
Cash & Short-Term Investments,451.63,29.96,14.98,29.78,40.82,26.06,2.18,1.16,0.48,0.05,0.03
Cash Growth,15844.21%,100.00%,-49.69%,-27.05%,56.62%,1094.82%,87.73%,144.07%,952.02%,62.99%,-
Accounts Receivable,5.22,5.43,4.25,0.1,1.21,0.05,0.02,0.03,0.03,-,0.08
Other Receivables,-,-,0.04,-,-,-,-,0.04,0.01,-,-
Receivables,5.22,5.43,4.29,2.1,1.21,0.05,0.02,0.07,0.04,-,0.08
Inventory,12.52,9.82,2.19,2.17,1.18,1.15,0.88,0.35,0.17,0.02,0.23
Prepaid Expenses,-,1.22,1.43,1.28,1.45,0.63,0.22,0.27,0.01,0.14,0.04
Restricted Cash,0.58,0.04,0.04,-,-,-,-,-,-,-,-
Other Current Assets,8.93,1.05,0.67,0.47,-,-,-,0.19,-,-,-
Total Current Assets,478.88,47.52,23.61,35.8,44.66,27.89,3.3,2.04,0.7,0.2,0.37
"Property, Plant & Equipment",7.13,6.51,8.88,5.95,1.87,0.21,0.58,0.5,0.01,0.03,0.05
Long-Term Investments,0.59,-,-,1.5,0.5,-,-,-,-,-,-
Goodwill,34.77,27.75,27.75,25.61,45.03,-,-,-,-,-,-
Other Intangible Assets,28.12,27.18,31.33,28.86,25.17,0.38,0.33,0.05,-,-,-
Long-Term Deferred Charges,-,-,-,-,-,-,-,0.01,-,-,0.04
Other Long-Term Assets,0.66,0.66,0.6,0.22,0.22,0.03,0.05,0.05,-,0.02,0.02
Total Assets,550.15,109.62,92.16,97.95,117.44,28.51,4.26,2.66,0.72,0.25,0.48
Accounts Payable,8.38,5.66,5.18,2.97,2.41,2.37,2.32,1.11,0.8,0.85,0.23
Accrued Expenses,7.37,4.39,3.59,2.61,0.43,2.35,2.73,2.12,0.84,1.31,1.67
Short-Term Debt,6.91,6.74,-,0.52,0.72,7,10.11,13.95,4.02,2.95,0.39
Current Portion of Long-Term Debt,4.11,31.95,25.69,15.85,-,0.06,-,-,-,-,-
Current Portion of Leases,1.64,1.12,0.69,0.58,0.55,0.06,0.49,-,-,-,-
Current Unearned Revenue,2.9,0.72,0.8,0.06,0.51,0.17,0.38,0.02,0.03,-,0.06
Other Current Liabilities,-,-,-,0.15,-,0.48,0.03,0.05,0.18,0.04,0.05
Total Current Liabilities,31.31,50.58,35.94,22.73,4.62,12.49,16.06,17.25,5.86,5.15,2.39
Long-Term Debt,0.3,15.87,3.11,14.5,0.3,0.91,0.54,0.3,2.78,-,1.31
Long-Term Leases,5.01,4.96,5.8,2.46,0.24,-,0.05,-,-,-,-
Long-Term Unearned Revenue,2.17,2.17,2.23,-,-,-,-,-,-,-,-
Other Long-Term Liabilities,23.27,19.46,11.95,0.04,0.04,0.04,0.04,-,-,-,0.34
Total Liabilities,62.93,93.04,59.03,39.72,5.21,13.43,16.69,17.55,8.64,5.15,4.04
Common Stock,0.03,0.01,0.01,0,0,0,0,0.01,0,0,0
Additional Paid-In Capital,754.77,252.94,231.49,211.73,192.5,80.33,39.34,17.49,12.36,12.35,10.52
Retained Earnings,-268.72,-236.37,-198.36,-153.52,-80.27,-65.25,-51.77,-32.38,-20.28,-17.26,-14.09
Shareholders' Equity,487.22,16.58,33.14,58.22,112.23,15.08,-12.43,-14.88,-7.92,-4.91,-3.56
Total Liabilities & Equity,550.15,109.62,92.16,97.95,117.44,28.51,4.26,2.66,0.72,0.25,0.48
Total Debt,17.97,60.64,35.29,33.9,1.81,8.03,11.19,14.25,6.8,2.95,1.7
Net Cash (Debt),433.66,-30.68,-20.31,-4.13,39,18.03,-9.01,-13.08,-6.32,-2.9,-1.67
Net Cash Growth,-,-,-,-,116.27%,-,-,-,-,-,-
Net Cash Per Share,2.91,-0.44,-0.39,-0.10,1.14,0.88,-0.51,-1.38,-1.17,-2.07,-1.08
Filing Date Shares Outstanding,368.46,105.73,65.56,49.06,40.99,26.64,19.76,16.82,5.6,4.22,4.18
Total Common Shares Outstanding,329.52,93.17,61.94,44.11,40.99,26.54,19.76,16.82,5.6,4.22,4.18
Working Capital,447.57,-3.06,-12.33,13.08,40.03,15.4,-12.76,-15.2,-5.16,-4.95,-2.02
Book Value Per Share,1.48,0.18,0.53,1.32,2.74,0.57,-0.63,-0.88,-1.41,-1.16,-0.85
Tangible Book Value,423.18,-38.35,-25.95,3.75,42.04,14.7,-12.76,-14.94,-7.92,-4.91,-3.56
Tangible Book Value Per Share,1.28,-0.41,-0.42,0.09,1.03,0.55,-0.65,-0.89,-1.41,-1.16,-0.85
Machinery,-,2.49,5.13,1.3,0.7,0.38,0.37,0.36,0.08,0.08,0.11
Construction In Progress,-,-,0.4,0.33,0.63,-,-,-,-,-,-
Leasehold Improvements,-,3.61,2.53,2.09,0.04,0.03,0.06,0.26,0.03,0.03,0.05
