Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,748",234,89,68,274,248,355,303,-,-,-
Market Cap Growth,4614.18%,161.93%,30.84%,-75.09%,10.53%,-30.22%,17.21%,-,-,-,-
Enterprise Value,"2,176",267,102,56,227,258,362,311,-,-,-
Last Close Price,6.25,2.56,1.53,1.59,6.71,9.33,18.00,18.00,-,-,-
PS Ratio,37.70,32.49,5.69,32.08,94.16,114.44,1107.70,1593.35,-,-,-
PB Ratio,4.24,14.09,2.69,1.17,2.44,16.42,-28.55,-20.34,-,-,-
P/TBV Ratio,6.17,-,-,18.17,6.51,16.84,-,-,-,-,-
EV/Sales Ratio,87.93,37.17,6.49,26.57,78.26,119.28,1130.04,1638.69,-,-,-
Debt / Equity Ratio,0.04,3.66,1.07,0.58,0.02,0.53,-0.90,-0.96,-0.86,-0.60,-0.48
Asset Turnover,0.08,0.07,0.17,0.02,0.04,0.13,0.09,0.11,0.57,1.77,0.94
Inventory Turnover,1.54,1.14,4.27,0.61,1.55,1.22,0.13,0.15,0.84,1.37,1.22
Quick Ratio,14.59,0.70,0.54,1.32,9.09,2.09,0.14,0.07,0.09,0.01,0.04
Current Ratio,15.30,0.94,0.66,1.58,9.66,2.23,0.21,0.12,0.12,0.04,0.16
Return on Equity (ROE),-17.01%,-152.89%,-98.17%,-85.94%,-23.60%,-1015.91%,-,-,-,-,-
Return on Assets (ROA),-8.64%,-21.44%,-25.14%,-29.02%,-15.39%,-43.95%,-277.47%,-312.04%,-310.60%,-440.73%,-117.17%
Return on Capital (ROIC),-9.79%,-29.70%,-29.76%,-30.32%,-16.38%,-65.87%,-,-,-,-,-
Return on Capital Employed (ROCE),-8.40%,-58.60%,-68.00%,-66.50%,-15.90%,-71.90%,130.30%,57.80%,46.50%,52.10%,73.30%
Earnings Yield,-1.83%,-16.27%,-50.27%,-107.41%,-5.49%,-5.44%,-5.46%,-4.00%,-,-,-
FCF Yield,-1.33%,-15.02%,-38.37%,-59.90%,-6.51%,-3.05%,-4.15%,-2.99%,-,-,-
Buyback Yield / Dilution,-130.95%,-32.57%,-24.85%,-23.59%,-67.32%,-16.00%,-85.20%,-76.19%,-285.01%,9.00%,-0.81%
