Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,574","3,985","3,830","2,073","2,408","2,178","2,227","1,523",-,-,-
Market Cap Growth,-17.53%,4.04%,84.79%,-13.92%,10.58%,-2.20%,46.18%,-,-,-,-
Enterprise Value,"4,471","4,846","4,789","3,271","3,283","2,919","2,957","2,460",-,-,-
Last Close Price,22.58,24.18,23.03,13.83,15.43,13.42,13.99,9.76,-,-,-
PE Ratio,70.35,126.72,67.18,22.42,58.10,-,130.39,-,-,-,-
Forward PE,23.43,27.25,26.93,27.74,27.85,77.98,43.25,27.05,-,-,-
PS Ratio,3.84,4.53,4.69,2.80,4.37,5.53,4.96,4.12,-,-,-
PB Ratio,8.94,15.03,9.09,8.97,9.26,6.90,6.56,5.04,-,-,-
P/FCF Ratio,23.61,26.08,25.69,12.18,14.32,96.15,21.39,78.35,-,-,-
P/OCF Ratio,14.06,17.82,18.58,9.49,12.47,46.42,16.64,33.10,-,-,-
PEG Ratio,2.36,2.15,2.26,1.03,1.86,5.99,5.28,-,-,-,-
EV/Sales Ratio,4.74,5.51,5.86,4.41,5.96,7.42,6.59,6.65,-,-,-
EV/EBITDA Ratio,12.36,14.19,15.64,10.76,14.36,19.45,13.81,13.37,-,-,-
EV/EBIT Ratio,17.95,20.79,24.80,19.77,29.35,77.20,28.89,29.56,-,-,-
EV/FCF Ratio,29.30,31.72,32.12,19.22,19.52,128.90,28.40,126.52,-,-,-
Debt / Equity Ratio,2.65,4.02,2.55,5.42,4.94,2.77,2.65,2.88,2.91,0.92,-
Debt / EBITDA Ratio,2.88,3.04,3.40,4.00,5.44,5.62,4.09,4.72,4.67,0.90,-
Debt / FCF Ratio,6.99,6.98,7.21,7.36,7.64,38.55,8.64,44.72,16.93,2.39,-
Asset Turnover,0.52,0.52,0.46,0.41,0.34,0.28,0.33,0.37,0.54,-,-
Inventory Turnover,18.76,20.44,16.79,17.43,32.53,-,-,-,-,-,-
Quick Ratio,2.14,1.69,1.79,1.62,1.70,4.79,2.37,2.42,2.20,2.53,-
Current Ratio,2.45,1.97,2.05,1.94,1.99,5.12,2.60,2.69,2.73,3.04,-
Return on Equity (ROE),11.49%,9.16%,17.47%,37.66%,14.40%,-1.40%,5.32%,-25.99%,17.49%,-,-
Return on Assets (ROA),8.58%,8.56%,6.81%,5.75%,4.36%,1.70%,4.65%,5.17%,7.09%,-,-
Return on Capital (ROIC),10.29%,10.30%,8.10%,6.83%,5.12%,1.95%,5.31%,5.95%,8.40%,-,-
Return on Capital Employed (ROCE),16.10%,16.50%,12.30%,10.50%,6.70%,2.90%,7.90%,6.50%,7.70%,29.60%,-
Earnings Yield,1.42%,0.79%,1.49%,4.46%,1.72%,-0.21%,0.77%,-3.83%,-,-,-
FCF Yield,4.24%,3.83%,3.89%,8.21%,6.98%,1.04%,4.68%,1.28%,-,-,-
Payout Ratio,-,-,-,-,-,-,-,-,-,162.46%,-
Buyback Yield / Dilution,3.30%,-4.81%,-0.62%,2.90%,-1.33%,-0.97%,-83.33%,-44.37%,30.98%,-,-
