Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Revenue,"3,654","3,807","4,365","5,235","3,700","2,765","2,510","2,533","1,953","1,746"
Revenue Growth (YoY),23.49%,-12.78%,-16.62%,41.51%,33.83%,10.14%,-0.91%,29.73%,11.86%,-
Cost of Revenue,919.03,"1,060","1,343","1,909","1,296",745.37,547.58,501.15,362.63,383.57
Gross Profit,"2,735","2,747","3,023","3,326","2,403","2,019","1,962","2,032","1,590","1,362"
"Selling, General & Admin","2,108","2,151","2,481","3,062","2,079","1,880","1,691","1,668","1,526","1,197"
Research & Development,302.65,323.69,334.02,314.5,230.17,184.4,132.25,177.3,148.02,128.76
Amortization of Goodwill & Intangibles,105.17,144.51,295.97,307.72,74.84,94.64,74.22,79.38,39.15,56.1
Operating Expenses,"2,641","2,746","3,260","3,808","2,459","2,228","1,953","1,967","1,754","1,420"
Operating Income,93.94,1.23,-237.75,-482.01,-55.23,-208.64,9.05,64.67,-164.08,-57.8
Interest Expense,-145.2,-155.89,-157.63,-110.17,-34.26,-16.17,-11.9,-13.06,-2.18,-0.02
Interest & Investment Income,72.53,86.5,71.11,24.92,1.35,7.18,15.16,9.13,27.66,31.7
Currency Exchange Gain (Loss),-2.59,-2.59,1.53,-8.5,-3.64,0.67,0.12,-0.1,-6.6,14.4
Other Non Operating Income (Expenses),20.42,16.84,10.43,-66.73,102.48,18.18,-14.11,-3.73,-0.94,1.59
EBT Excluding Unusual Items,39.11,-53.92,-312.31,-642.5,10.7,-198.77,-1.69,56.91,-146.15,-10.13
Merger & Restructuring Charges,0.2,0.2,0.53,-87.04,-78.5,-16.7,-,-,-,-
Impairment of Goodwill,-,-,-9,-112.75,-,-265.15,-3.32,-,-,-275.37
Gain (Loss) on Sale of Investments,-361.2,-667.88,702.32,-816.76,829.91,790.92,39.32,156.27,15.9,-9.9
Gain (Loss) on Sale of Assets,29.2,29.2,-,132.2,-10,-11.45,-,121.23,-,8.2
Asset Writedown,-,-,-25.3,-,-,-32.2,-,-27.7,-,-
Other Unusual Items,-32.6,-,-,0.61,-22.3,-22.5,-,-1.14,-0.55,10.2
Pretax Income,-325.29,-692.4,367.14,"-1,526",729.81,244.16,34.32,305.57,-130.79,-277
Income Tax Expense,-122.45,-159.07,108.82,-331.09,138.99,-45.71,-47.35,13.2,-155.4,-89.53
Earnings From Continuing Operations,-202.84,-533.33,258.32,"-1,195",590.82,289.87,81.67,292.37,24.61,-187.47
Earnings From Discontinued Operations,-22.22,-,-,2.69,-1.83,-21.28,-49.48,-,-,-
Net Income to Company,-225.06,-533.33,258.32,"-1,192",588.99,268.59,32.18,292.37,24.61,-187.47
Minority Interest in Earnings,-1.15,-6.57,7.63,22.29,8.56,1.14,-9.29,-45.6,12.4,4.53
Net Income,-226.21,-539.9,265.94,"-1,170",597.55,269.73,22.9,246.77,37.01,-182.94
Preferred Dividends & Other Adjustments,-,-,9.22,-,20.23,-,-,-,-,-
Net Income to Common,-226.21,-539.9,256.73,"-1,170",577.32,269.73,22.9,246.77,37.01,-182.94
Net Income Growth,-,-,-,-,121.54%,1078.10%,-90.72%,566.84%,-,-
Shares Outstanding (Basic),81,83,84,86,86,85,85,85,-,-
Shares Outstanding (Diluted),81,83,86,86,92,91,85,85,-,-
Shares Change (YoY),-1.94%,-3.86%,0.13%,-5.97%,0.97%,6.83%,-,-,-,-
EPS (Basic),-2.78,-6.49,3.07,-13.55,6.70,3.16,0.27,2.90,-,-
EPS (Diluted),-2.78,-6.49,2.97,-13.55,6.31,2.96,0.27,2.90,-,-
EPS Growth,-,-,-,-,112.89%,1001.36%,-90.72%,-,-,-
Free Cash Flow,65.06,289.01,48.16,-222.54,46.74,93.86,156.7,314.76,94.26,94.58
Free Cash Flow Per Share,0.80,3.48,0.56,-2.58,0.51,1.03,1.84,3.70,-,-
Gross Margin,74.85%,72.15%,69.25%,63.53%,64.96%,73.04%,78.18%,80.22%,81.43%,78.03%
Operating Margin,2.57%,0.03%,-5.45%,-9.21%,-1.49%,-7.55%,0.36%,2.55%,-8.40%,-3.31%
Profit Margin,-6.19%,-14.18%,5.88%,-22.35%,15.60%,9.76%,0.91%,9.74%,1.90%,-10.48%
Free Cash Flow Margin,1.78%,7.59%,1.10%,-4.25%,1.26%,3.40%,6.24%,12.43%,4.83%,5.42%
EBITDA,321.59,270.02,116.32,-50.32,94.62,-45.17,138.74,186.45,-84.12,36.09
EBITDA Margin,8.80%,7.09%,2.67%,-0.96%,2.56%,-1.63%,5.53%,7.36%,-4.31%,2.07%
D&A For EBITDA,227.65,268.8,354.07,431.7,149.85,163.46,129.69,121.77,79.97,93.89
EBIT,93.94,1.23,-237.75,-482.01,-55.23,-208.64,9.05,64.67,-164.08,-57.8
EBIT Margin,2.57%,0.03%,-5.45%,-9.21%,-1.49%,-7.55%,0.36%,2.55%,-8.40%,-3.31%
Effective Tax Rate,-,-,29.64%,-,19.05%,-,-,4.32%,-,-
Advertising Expenses,-,650.5,858.1,"1,000",877,796.7,-,-,-,-
