Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Cash & Equivalents,"1,005","1,798","1,297","1,417","2,119","3,366",839.8,884.98,757.2,-
Short-Term Investments,-,-,149,239.37,19.79,224.98,-,25.37,-,-
Cash & Short-Term Investments,"1,005","1,798","1,446","1,657","2,139","3,591",839.8,910.34,757.2,-
Cash Growth,-42.37%,24.32%,-12.70%,-22.53%,-40.45%,327.62%,-7.75%,20.22%,-,-
Accounts Receivable,397.4,519.69,536.65,607.81,695.51,257.67,181.88,180.14,187.25,-
Other Receivables,-,-,-,-,-,-,-,-,2.21,-
Receivables,397.4,519.69,536.65,607.81,695.51,257.67,237.13,180.14,189.46,-
Inventory,-,-,-,-,-,0.32,-,-,-,-
Prepaid Expenses,-,51.8,91.12,80.04,73.48,46.1,41.93,36.64,33.5,-
Restricted Cash,2.24,-,-,-,-,0.45,0.53,1.44,2.74,-
Other Current Assets,110.31,115.37,166.38,216.52,168.71,223.64,109.87,129.38,72.6,-
Total Current Assets,"1,515","2,485","2,241","2,561","3,076","4,119","1,229","1,258","1,055",-
"Property, Plant & Equipment",299.29,647.94,754.88,938.77,"1,069",445.08,444.02,260.45,253.55,-
Long-Term Investments,"2,653","2,733","3,353","2,543","3,087","2,163",356.47,225.98,53.84,-
Goodwill,"1,993","2,877","3,024","3,030","3,227","1,660","1,617","1,484","1,314",-
Other Intangible Assets,484.12,722.14,874.71,"1,170","1,415",394.99,350.15,393.78,433.39,-
Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,0.19,-
Long-Term Deferred Charges,-,3.61,6.06,5.67,6.09,4.4,6.2,-,-,-
Other Long-Term Assets,242.6,78.82,117.98,145.15,423.35,374.74,94.44,109.92,61.88,-
Total Assets,"7,188","9,547","10,371","10,394","12,303","9,162","4,097","3,732","3,172",-
Accounts Payable,42.68,71.99,105.51,133.11,203.17,88.85,72.45,64.08,61.3,-
Accrued Expenses,462.13,262.1,236.44,247.83,346.4,163.57,165.23,163.83,144.75,-
Current Portion of Long-Term Debt,22.75,35,30,30,30,-,13.75,13.75,13.75,-
Current Portion of Leases,-,62.06,68.13,67.19,63.52,27.14,23.19,-,-,-
Current Unearned Revenue,64.12,98.57,143.45,157.12,165.45,137.66,178.65,150.08,144.39,-
Other Current Liabilities,-,356.48,366.96,444.74,572.95,333.69,132.06,135.73,109.39,-
Total Current Liabilities,591.67,886.19,950.49,"1,080","1,382",750.9,585.32,527.47,473.57,-
Long-Term Debt,"1,407","1,932","1,994","2,020","2,046",712.28,231.95,247.47,258.31,-
Long-Term Leases,-,344.65,401.12,518.85,578.27,205.36,168.32,-,-,-
Long-Term Unearned Revenue,0.1,0.1,0.1,0.2,0.4,0.7,1.3,1.7,-,-
Long-Term Deferred Tax Liabilities,106.58,13.87,164.61,76.28,385.89,78.79,44.46,137.64,107.55,-
Other Long-Term Liabilities,238.77,66.11,72.42,98.79,142.59,30.76,17.1,67.81,39.29,-
Total Liabilities,"2,344","3,243","3,583","3,794","4,535","1,779","1,048",982.09,878.73,-
Common Stock,0.01,0.01,0.01,0.01,0.01,0.09,"2,547","2,297","2,007",-
Additional Paid-In Capital,"5,923","6,381","6,340","6,295","6,266","5,910",-,-,-,-
Retained Earnings,-566.21,-538.97,0.92,-265.02,905.15,694.04,-,-,-,-
Treasury Stock,-554.85,-252.44,-252.44,-85.32,-,-,-,-,-,-
Comprehensive Income & Other,-11.88,-11.4,-10.94,-13.13,4.4,-6.17,-12.23,-12.54,-7.5,-
Total Common Equity,"4,790","5,578","6,078","5,932","7,175","6,598","2,535","2,284","2,000",-
Minority Interest,53.21,726.49,710.52,668.16,592.48,785.35,513.94,466.05,293.19,-
Shareholders' Equity,"4,844","6,304","6,788","6,600","7,768","7,383","3,049","2,750","2,293",-
Total Liabilities & Equity,"7,188","9,547","10,371","10,394","12,303","9,162","4,097","3,732","3,172",-
Total Debt,"1,430","2,374","2,493","2,636","2,718",944.78,437.21,261.22,272.06,-
Net Cash (Debt),-424.09,-575.39,"-1,047",-979.04,-579.51,"2,646",402.59,649.12,485.14,-
Net Cash Growth,-,-,-,-,-,557.33%,-37.98%,33.80%,-,-
Net Cash Per Share,-5.21,-6.92,-12.11,-11.34,-6.31,29.10,4.73,7.62,-,-
Filing Date Shares Outstanding,77.43,83.28,85.97,88.87,89.76,88.77,85.03,85.13,-,-
Total Common Shares Outstanding,77.42,86.27,85.9,88.87,89.71,88.77,85.03,85.13,-,-
Working Capital,923.77,"1,599","1,290","1,481","1,695","3,368",643.93,730.47,581.93,-
Book Value Per Share,61.87,64.66,70.75,66.74,79.98,74.33,29.81,-,-,-
Tangible Book Value,"2,313","1,979","2,179","1,731","2,534","4,542",568.01,406.14,253.03,-
Tangible Book Value Per Share,29.88,22.94,25.36,19.48,28.24,51.17,6.68,-,-,-
Land,-,86.05,86.03,20.23,33.92,-,11.59,11.59,14.39,-
Buildings,-,165.7,160.57,305.3,418.25,195.5,242.88,224.5,223.65,-
Machinery,-,136.88,160.99,137.57,181.61,83.5,84.64,79.3,165.49,-
Construction In Progress,-,40.19,13.91,30.38,47.22,53.64,43.58,25.84,12.98,-
Leasehold Improvements,-,92.32,108.27,-,-,-,-,-,-,-
