Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Market Capitalization,"2,533","3,722","4,497","3,945","11,707","16,159",-,-,-,-
Market Cap Growth,-38.67%,-17.24%,13.98%,-66.30%,-27.55%,-,-,-,-,-
Enterprise Value,"2,971","5,138","6,294","5,695","9,738","14,034",-,-,-,-
Last Close Price,32.65,35.54,43.15,36.58,107.69,103.79,-,-,-,-
PE Ratio,-,-,17.52,-,20.28,59.91,-,-,-,-
Forward PE,22.76,24.99,-,-,-,-,-,-,-,-
PS Ratio,0.73,0.98,1.03,0.75,3.16,5.85,-,-,-,-
PB Ratio,0.53,0.59,0.66,0.60,1.51,2.19,-,-,-,-
P/TBV Ratio,1.10,1.88,2.06,2.28,4.62,3.56,-,-,-,-
P/FCF Ratio,39.15,12.88,93.37,-,250.46,172.17,-,-,-,-
P/OCF Ratio,18.89,10.50,23.73,-,85.48,104.53,-,-,-,-
PEG Ratio,0.49,2.82,-,-,-,-,-,-,-,-
EV/Sales Ratio,0.81,1.35,1.44,1.09,2.63,5.08,-,-,-,-
EV/EBITDA Ratio,9.24,19.03,54.11,-,102.92,-,-,-,-,-
EV/EBIT Ratio,31.62,4194.33,-,-,-,-,-,-,-,-
EV/FCF Ratio,45.67,17.78,130.69,-,208.34,149.52,-,-,-,-
Debt / Equity Ratio,0.30,0.38,0.37,0.40,0.35,0.13,0.14,0.10,0.12,-
Debt / EBITDA Ratio,4.45,7.26,13.42,-,19.17,-,2.68,1.40,-,-
Debt / FCF Ratio,21.98,8.21,51.77,-,58.15,10.07,2.79,0.83,2.89,-
Asset Turnover,0.43,0.38,0.42,0.46,0.35,0.42,0.64,0.73,-,-
Quick Ratio,2.37,2.62,2.09,2.10,2.05,5.13,1.75,2.07,2.00,-
Current Ratio,2.56,2.80,2.36,2.37,2.23,5.49,2.10,2.38,2.23,-
Return on Equity (ROE),-3.58%,-8.15%,3.86%,-16.64%,7.80%,5.56%,2.82%,11.59%,-,-
Return on Assets (ROA),0.69%,0.01%,-1.43%,-2.66%,-0.32%,-1.97%,0.14%,1.17%,-,-
Return on Capital (ROIC),0.77%,0.01%,-1.60%,-3.06%,-0.37%,-2.21%,0.17%,1.45%,-,-
Return on Capital Employed (ROCE),1.40%,0.00%,-2.50%,-5.20%,-0.50%,-2.50%,0.30%,2.00%,-6.10%,-
Earnings Yield,-8.88%,-14.51%,5.91%,-29.66%,5.10%,1.67%,-,-,-,-
FCF Yield,2.55%,7.77%,1.07%,-5.64%,0.40%,0.58%,-,-,-,-
Buyback Yield / Dilution,1.94%,3.86%,-0.13%,5.97%,-0.97%,-6.83%,-,-,-,-
