Period Ending,"Nov '25Nov 18, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023","Jan '22Jan 31, 2022","Jan '21Jan 31, 2021","Jan '20Jan 31, 2020","Dec '17Dec 31, 2017"
Market Capitalization,"3,030","4,758","5,396","3,063","4,607",-,-,-
Market Cap Growth,-6.25%,-11.83%,76.21%,-33.53%,-,-,-,-
Enterprise Value,"2,685","4,358","5,020","2,642","4,708",-,-,-
Last Close Price,26.98,45.98,54.05,32.00,50.02,-,-,-
Forward PE,64.63,187.37,-,-,-,-,-,-
PS Ratio,4.31,8.02,11.44,8.62,19.36,-,-,-
PB Ratio,4.97,10.02,12.14,6.86,9.13,-,-,-
P/TBV Ratio,11.25,10.73,13.10,6.89,9.19,-,-,-
P/FCF Ratio,95.83,202.94,-,-,-,-,-,-
P/OCF Ratio,80.62,129.72,787.81,-,-,-,-,-
EV/Sales Ratio,4.10,7.34,10.64,7.44,19.78,-,-,-
EV/FCF Ratio,86.80,185.85,-,-,-,-,-,-
Debt / Equity Ratio,0.14,0.18,0.20,0.12,-,-,-,-
Debt / FCF Ratio,2.73,3.73,-,-,-,-,-,-
Asset Turnover,0.71,0.71,0.62,0.52,0.57,0.93,-,-
Quick Ratio,1.29,1.90,1.98,2.58,3.62,1.20,1.79,2.99
Current Ratio,1.37,1.99,2.08,2.68,3.80,1.33,1.98,3.08
Return on Equity (ROE),-20.63%,-22.64%,-29.27%,-29.58%,-27.29%,-41.17%,-,-
Return on Assets (ROA),-8.23%,-9.08%,-11.93%,-13.50%,-11.67%,-12.39%,-,-
Return on Capital (ROIC),-12.42%,-13.92%,-17.51%,-18.46%,-17.07%,-25.88%,-,-
Return on Capital Employed (ROCE),-18.20%,-22.40%,-27.70%,-30.40%,-15.40%,-45.80%,-37.80%,-
Earnings Yield,-3.67%,-2.18%,-2.39%,-4.54%,-1.67%,-,-,-
FCF Yield,1.04%,0.49%,-0.05%,-1.23%,-0.82%,-,-,-
Buyback Yield / Dilution,-4.29%,-4.17%,-3.73%,-171.00%,-94.17%,-11.01%,-,-
