Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,291","4,109","2,436","2,829","2,167",967,572,312,472,718,-
Market Cap Growth,-20.89%,68.70%,-13.91%,30.57%,124.18%,68.92%,83.14%,-33.83%,-34.22%,-,-
Enterprise Value,"4,388","4,232","2,618","2,943","2,155",935,556,283,422,670,-
Last Close Price,142.50,145.26,90.03,109.18,88.70,41.87,25.86,14.55,22.53,35.34,-
PE Ratio,-,100.62,-,-,-,-,-,-,-,-,-
Forward PE,54.17,56.68,178.28,84.48,-,-,-,-,-,134.89,-
PS Ratio,11.42,11.23,7.92,10.98,11.39,6.96,3.74,2.55,3.77,6.39,-
PB Ratio,22.01,27.42,71.37,181.48,-195.65,8.86,4.57,3.19,3.97,5.79,-
P/TBV Ratio,26.13,34.00,4666.36,241.62,-,9.19,4.72,3.32,4.10,5.98,-
P/FCF Ratio,105.27,36.95,-,-,-,-,251.09,-,-,-,-
P/OCF Ratio,76.30,32.03,-,4414.04,335.19,-,121.55,-,-,-,-
PEG Ratio,-,22.49,22.49,22.49,60.34,-,-,-,-,-,-
EV/Sales Ratio,12.20,11.56,8.51,11.41,11.32,6.73,3.64,2.30,3.37,5.97,-
EV/EBITDA Ratio,295.51,410.22,-,-,-,-,-,-,-,281.46,-
EV/FCF Ratio,107.66,38.06,-,-,-,-,243.96,-,-,-,-
Debt / Equity Ratio,1.48,1.95,8.63,18.89,-27.48,0.67,0.58,0.25,0.10,0.12,1.24
Debt / EBITDA Ratio,14.57,19.42,-,-,-,-,-,-,-,6.34,5.49
Debt / FCF Ratio,7.06,2.63,-,-,-,-,32.10,-,-,-,-
Asset Turnover,0.73,0.86,0.87,0.78,0.73,0.66,0.85,0.83,0.78,1.02,1.81
Inventory Turnover,1.90,1.80,2.17,3.51,3.13,2.09,2.00,1.40,1.61,2.67,3.60
Quick Ratio,1.91,0.67,5.45,5.28,6.44,4.75,7.19,3.24,4.03,4.65,1.32
Current Ratio,2.67,0.99,8.73,6.50,7.21,6.21,9.07,5.26,6.52,5.86,2.06
Return on Equity (ROE),-7.49%,44.39%,-174.43%,-1076.46%,-104.57%,-44.31%,-20.61%,-32.50%,-14.26%,-2.39%,6.09%
Return on Assets (ROA),0.04%,-0.48%,-7.09%,-3.68%,-8.49%,-12.34%,-7.52%,-13.09%,-6.66%,-0.28%,2.31%
Return on Capital (ROIC),0.05%,-0.53%,-7.87%,-4.06%,-9.33%,-13.69%,-8.45%,-15.41%,-7.90%,-0.35%,3.40%
Return on Capital Employed (ROCE),0.10%,-,-,-,-,-,-,-,-,-,4.50%
Earnings Yield,-0.29%,0.99%,-1.78%,-0.86%,-2.37%,-5.37%,-4.02%,-11.28%,-3.67%,-0.23%,-
FCF Yield,0.95%,2.71%,-2.79%,-0.40%,-0.45%,-2.06%,0.40%,-5.81%,-8.99%,-1.81%,-
Buyback Yield / Dilution,6.08%,-10.16%,-4.75%,-5.64%,-5.95%,-4.45%,-2.40%,-3.16%,-91.87%,-176.86%,-16.63%
