Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,51.73,46.05,94.79,19.6,123.9,23.64,66.9,17.53,19.29,33.64,10.12
Short-Term Investments,138.36,118.66,18.44,154.15,69.44,82.45,49.6,38.54,38.83,66.91,-
Cash & Short-Term Investments,190.08,164.71,113.23,173.75,193.35,106.09,116.5,56.07,58.12,100.54,10.12
Cash Growth,11.64%,45.47%,-34.83%,-10.14%,82.25%,-8.93%,107.76%,-3.52%,-42.20%,893.39%,45.86%
Receivables,61.19,56.8,54.92,50,35.45,25,23.74,18.46,22.24,17.45,12.89
Inventory,92.64,99.35,97.17,46.4,21.96,36.33,34.15,44.73,47.08,27.73,11.84
Prepaid Expenses,7.87,5.14,3.97,4.63,4.64,3.72,2.39,1.95,2.36,3,1.1
Other Current Assets,-,0.4,0.4,0.4,0.41,0.23,-,-,-,-,-
Total Current Assets,351.78,326.4,269.7,275.17,255.8,171.36,176.77,121.21,129.8,148.73,35.94
"Property, Plant & Equipment",58.04,57.75,54.63,49.52,39.17,30.29,33.94,19.78,18.11,14.93,12.35
Long-Term Investments,75.04,74.87,-,19.2,14.23,-,-,-,-,-,-
Goodwill,20.7,18.72,19.7,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88
Other Intangible Assets,10.03,10.29,13.91,-,-,-,-,-,-,-,0.04
Long-Term Deferred Charges,-,1,1.4,1.8,2.3,1.8,-,-,-,-,0.64
Other Long-Term Assets,0.87,0.05,0.08,0.17,0.16,0.28,0.45,0.2,0.24,-,-
Total Assets,516.46,489.08,359.41,349.74,315.54,207.62,215.05,145.07,152.03,167.54,52.85
Accounts Payable,16.17,17.25,8.66,25.02,11.73,10.14,5.6,4.64,4.67,7.17,3.18
Accrued Expenses,12.87,24.99,17.13,11.97,9.44,7,9.97,10.3,8.89,13.75,6.93
Current Portion of Long-Term Debt,96.61,283.49,-,-,9.63,-,-,5.93,4.09,2.59,5.23
Current Portion of Leases,3.93,3.59,3.37,3.12,4.14,3.64,3.38,0.52,0.94,1.13,1.19
Current Unearned Revenue,2.22,1.85,1.71,2.25,0.56,6.81,0.55,0.65,0.71,0.45,0.68
Other Current Liabilities,-,-,-,-,-,-,-,0.98,0.63,0.31,0.26
Total Current Liabilities,131.8,331.18,30.88,42.37,35.5,27.59,19.5,23.03,19.92,25.38,17.47
Long-Term Debt,183.75,-,281.86,280.24,278.66,54.56,50.88,17.63,5.5,9.68,10.68
Long-Term Leases,3.24,5.72,9.36,11.07,11.93,15.27,18.91,0.26,0.75,1.7,2.53
Long-Term Unearned Revenue,0.54,0.12,0.27,0.35,0.24,0.28,0.21,0.19,0.5,0.97,0.71
Long-Term Deferred Tax Liabilities,2.16,2.2,2.91,0.12,-,-,-,-,-,-,-
Other Long-Term Liabilities,-,-,-,-,0.28,0.81,0.31,6.09,6.42,5.79,5.66
Total Liabilities,321.5,339.22,325.28,334.15,326.61,98.5,89.81,47.19,33.09,43.51,37.06
Common Stock,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0
Additional Paid-In Capital,591.54,541.09,463.9,403.6,351.42,423.76,387.93,337.63,323.48,311.22,100.28
Retained Earnings,-399.02,-389.31,-430.15,-386.79,-362.48,-314.67,-262.74,-239.76,-204.53,-187.2,-185.32
Comprehensive Income & Other,2.42,-1.94,0.36,-1.25,-0.04,0,0.03,-0.01,-0.04,-0.01,-
Total Common Equity,194.96,149.86,34.13,15.59,-11.08,109.12,125.24,97.88,118.94,124.02,-85.04
Shareholders' Equity,194.96,149.86,34.13,15.59,-11.08,109.12,125.24,97.88,118.94,124.02,15.79
Total Liabilities & Equity,516.46,489.08,359.41,349.74,315.54,207.62,215.05,145.07,152.03,167.54,52.85
Total Debt,287.53,292.8,294.59,294.43,304.37,73.46,73.16,24.34,11.27,15.09,19.63
Net Cash (Debt),-97.45,-128.09,-181.36,-120.69,-111.03,32.63,43.33,31.73,46.85,85.45,-9.51
Net Cash Growth,-,-,-,-,-,-24.71%,36.57%,-32.27%,-45.17%,-,-
Net Cash Per Share,-3.38,-4.35,-6.78,-4.73,-4.59,1.43,1.98,1.49,2.27,7.93,-2.44
Filing Date Shares Outstanding,30.11,28.54,27.2,26.16,24.76,23.4,22.28,21.49,21.32,20.56,19.78
Total Common Shares Outstanding,30.11,28.5,27.17,26.1,24.74,23.35,22.22,21.49,20.97,20.34,4.38
Working Capital,219.99,-4.78,238.82,232.8,220.3,143.77,157.27,98.19,109.88,123.35,18.47
Book Value Per Share,6.48,5.26,1.26,0.60,-0.45,4.67,5.64,4.55,5.67,6.10,-19.41
Tangible Book Value,164.23,120.85,0.52,11.71,-14.96,105.24,121.36,94,115.06,120.14,-88.95
Tangible Book Value Per Share,5.45,4.24,0.02,0.45,-0.60,4.51,5.46,4.37,5.49,5.91,-20.30
Machinery,-,77.14,61.86,53.03,36.29,24.67,21.39,20.27,16.55,9.44,7.57
Leasehold Improvements,-,13.69,12.97,10.68,10.51,10.56,10.55,10.55,10.68,9.54,7.59
