Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2015 - 2019
Cash & Equivalents,82.24,110.14,125.15,150.66,142.28,151,Upgrade
Cash & Short-Term Investments,82.24,110.14,125.15,150.66,142.28,151,Upgrade
Cash Growth,-20.04%,-11.99%,-16.94%,5.89%,-5.77%,6.34%,Upgrade
Accounts Receivable,86.93,49.99,62.92,70.23,72.24,-,Upgrade
Other Receivables,-,-,-,-,-,30,Upgrade
Receivables,86.93,49.99,62.92,70.23,72.24,30,Upgrade
Restricted Cash,32.38,2.46,12.57,22.15,87.86,-,Upgrade
Other Current Assets,15.54,16.56,17.38,24.33,78.69,63,Upgrade
Total Current Assets,217.08,179.15,218.02,267.38,381.07,244,Upgrade
"Property, Plant & Equipment",877.55,811.32,769.45,732.47,773.15,799,Upgrade
Long-Term Investments,121.17,108.79,99.21,94.56,112.96,94,Upgrade
Goodwill,175.76,175.76,175.76,175.76,175.76,180,Upgrade
Other Intangible Assets,123.7,123.7,123.7,123.7,123.7,167,Upgrade
Other Long-Term Assets,156.19,125.13,118.18,96.79,99.23,87,Upgrade
Total Assets,"1,671","1,524","1,504","1,491","1,666","1,571",Upgrade
Accounts Payable,65.51,62.24,73.1,54.75,65.29,53,Upgrade
Current Portion of Long-Term Debt,104.83,104.19,42.15,74.81,11.69,59,Upgrade
Current Portion of Leases,6.18,6.93,4.71,5.06,-,-,Upgrade
Current Unearned Revenue,73.19,111.85,111.99,105,82.05,90,Upgrade
Other Current Liabilities,-,1.45,1.73,1.3,16.88,-29,Upgrade
Total Current Liabilities,249.7,286.66,233.67,240.91,175.91,173,Upgrade
Long-Term Debt,655.09,512.93,527.12,467.16,685.02,611,Upgrade
Long-Term Leases,101.88,106.2,105.62,109.26,110.93,-,Upgrade
Long-Term Unearned Revenue,19,17.8,16.4,-,-,-,Upgrade
Pension & Post-Retirement Benefits,2.08,6.56,15.22,15.41,34.85,-,Upgrade
Long-Term Deferred Tax Liabilities,54.56,43.52,50.42,54.1,59.19,52,Upgrade
Other Long-Term Liabilities,16.7,13.96,15.24,304.32,293.76,444,Upgrade
Total Liabilities,"1,099",987.62,963.69,"1,191","1,360","1,280",Upgrade
Common Stock,0.63,0.62,0.62,732.35,720.02,291,Upgrade
Additional Paid-In Capital,"1,131","1,113","1,090",-,-,-,Upgrade
Retained Earnings,-567.56,-585.64,-554.38,-429.08,-394.89,-,Upgrade
Comprehensive Income & Other,-3.34,-3.35,-7.27,-3.76,-18.91,-,Upgrade
Total Common Equity,560.29,524.18,528.6,299.51,306.22,291,Upgrade
Minority Interest,12.17,12.05,12.05,-,-,-,Upgrade
Shareholders' Equity,572.46,536.22,540.64,299.51,306.22,291,Upgrade
Total Liabilities & Equity,"1,671","1,524","1,504","1,491","1,666","1,571",Upgrade
Total Debt,867.98,730.26,679.6,656.28,807.63,670,Upgrade
Net Cash (Debt),-785.75,-620.11,-554.45,-505.62,-665.35,-519,Upgrade
Net Cash Per Share,-12.56,-9.86,-8.98,-8.14,-12.80,-8.65,Upgrade
Filing Date Shares Outstanding,62.92,62.57,61.87,53.06,52.79,52.25,Upgrade
Total Common Shares Outstanding,62.9,62.57,61.87,53.05,52.79,52.25,Upgrade
Working Capital,-32.62,-107.51,-15.65,26.47,205.16,71,Upgrade
Book Value Per Share,8.91,8.38,8.54,5.65,5.80,5.57,Upgrade
Tangible Book Value,260.82,224.71,229.13,0.04,6.76,-56,Upgrade
Tangible Book Value Per Share,4.15,3.59,3.70,0.00,0.13,-1.07,Upgrade
Land,66.83,41.47,41.47,41.47,-,-,Upgrade
Buildings,809.93,762.7,636.75,637.27,-,-,Upgrade
Machinery,214.01,193.82,188.35,184.29,-,-,Upgrade
Construction In Progress,7.69,10.66,84.55,10.41,-,-,Upgrade
Leasehold Improvements,171.09,153.16,140.83,134.33,-,-,Upgrade
