Period Ending,"Aug '25Aug 31, 2025","Aug '24Aug 31, 2024","Aug '23Aug 31, 2023","Aug '22Aug 31, 2022","Aug '21Aug 31, 2021","Aug '20Aug 31, 2020","Aug '19Aug 31, 2019","Aug '18Aug 31, 2018","Aug '17Aug 31, 2017","Aug '16Aug 31, 2016"
Cash & Equivalents,241.02,125.36,239.98,237.71,202.06,299.48,102.65,93.46,162.43,199.52
Short-Term Investments,73.19,100.17,91.08,11.16,50.23,46.51,17.05,32.3,-,-
Trading Asset Securities,-,4.03,-,2.76,-,-,2.74,-,-,-
Cash & Short-Term Investments,314.21,229.56,331.07,251.63,252.29,345.99,122.43,125.76,162.43,199.52
Cash Growth,36.88%,-30.66%,31.57%,-0.26%,-27.08%,182.59%,-2.65%,-22.57%,-18.59%,27.03%
Accounts Receivable,17.4,18.85,17.9,13.39,12.36,13.15,9.87,8.86,6.46,7.46
Other Receivables,32.56,23.41,20.52,15.97,14.66,12.69,10.65,12.27,13.05,8.04
Receivables,49.96,42.26,38.43,29.36,27.02,25.85,20.52,21.12,19.51,15.5
Inventory,560.73,528.68,471.41,464.41,389.71,309.51,331.27,321.03,310.95,282.91
Prepaid Expenses,38.5,30.02,33.34,25.17,24.53,17.47,17.62,19.54,17.02,14.07
Restricted Cash,11.06,1.38,2.87,3.01,3.65,0.19,0.05,0.41,0.46,0.52
Other Current Assets,-,0.45,-,-,-,-,-,-,-,0.03
Total Current Assets,974.46,832.35,877.11,773.58,697.2,699,491.9,487.85,510.37,512.55
"Property, Plant & Equipment","1,110","1,033",964.53,869.05,853.86,811.81,671.15,594.4,557.83,473.05
Long-Term Investments,7.59,8.36,18.3,22.42,13.01,11.47,10.7,15.12,13.31,13.99
Goodwill,43.24,43.2,43.11,43.3,45.1,45.21,46.1,46.33,35.64,35.64
Other Intangible Assets,-,-,-,-,7.76,10.17,12.58,14.98,-,-
Long-Term Deferred Tax Assets,41.23,36.62,32.04,28.36,24.23,21.67,15.47,10.17,15.41,12.26
