Period Ending,"Aug '25Aug 31, 2025","Aug '24Aug 31, 2024","Aug '23Aug 31, 2023","Aug '22Aug 31, 2022","Aug '21Aug 31, 2021","Aug '20Aug 31, 2020","Aug '19Aug 31, 2019","Aug '18Aug 31, 2018","Aug '17Aug 31, 2017","Aug '16Aug 31, 2016"
Operating Revenue,"5,252","4,898","4,398","4,051","3,563","3,281","3,175","3,145","2,992","2,900"
Other Revenue,18.17,16.1,13.35,15.17,56.88,48.55,49.14,21.55,4.58,4.84
Revenue,"5,270","4,914","4,412","4,066","3,620","3,329","3,224","3,167","2,997","2,905"
Revenue Growth (YoY),7.25%,11.38%,8.50%,12.33%,8.73%,3.26%,1.81%,5.68%,3.15%,3.66%
Cost of Revenue,"4,356","4,067","3,653","3,385","2,975","2,775","2,696","2,657","2,520","2,450"
Gross Profit,914.37,846.92,759.33,681.15,644.53,554.41,528.23,510.18,476.88,455.55
"Selling, General & Admin",675.57,622.84,552.06,511.6,484.87,430.15,409.41,380.08,338.73,316.47
Operating Expenses,676.7,623.81,553.49,513.07,485.72,431.69,412.14,380.99,338.78,317.67
Operating Income,237.68,223.11,205.84,168.07,158.82,122.72,116.09,129.19,138.1,137.89
Interest Expense,-11.52,-12.96,-11.02,-9.61,-7.21,-7.63,-3.94,-5.07,-6.78,-5.89
Interest & Investment Income,10.14,11.05,9.87,2.2,1.98,2.03,1.49,1.42,1.81,1.31
Earnings From Equity Investments,0.01,0.07,-0.06,-0.01,-0.06,-0.1,-0.06,-0.01,-0,0.33
Currency Exchange Gain (Loss),-24.09,-17.88,-15.4,-7.41,-5.4,-1.37,-1.48,0.19,1.24,-0.9
Other Non Operating Income (Expenses),-0.55,0.27,1.24,1.7,0.02,0.73,0.02,0.13,0.33,-
EBT Excluding Unusual Items,211.67,203.66,190.48,154.94,148.16,116.39,112.13,125.85,134.7,132.73
Gain (Loss) on Sale of Assets,-2.47,-2.17,-0.74,1.47,-1.03,-0.44,-1.08,-1.34,-1.96,-1.16
Asset Writedown,-,-,-5.66,-,-,-,-,-1.93,-,-
Other Unusual Items,-2.7,-,-14.93,-,-,-,-,-,-,-
Pretax Income,206.5,201.49,169.16,156.41,147.13,115.95,111.05,122.58,132.74,131.57
Income Tax Expense,58.62,62.62,59.95,51.86,48.97,37.76,37.56,48.18,42.02,42.85
Earnings From Continuing Operations,147.89,138.88,109.21,104.55,98.16,78.18,73.49,74.4,90.72,88.72
Minority Interest in Earnings,-,-,-,-0.02,-0.2,-0.07,-0.3,-0.08,-,-
Net Income,147.89,138.88,109.21,104.53,97.96,78.11,73.19,74.33,90.72,88.72
Preferred Dividends & Other Adjustments,2.99,1.76,1.31,1.25,1.28,0.84,0.72,0.9,1.32,1.43
Net Income to Common,144.9,137.12,107.89,103.29,96.68,77.27,72.47,73.43,89.4,87.29
Net Income Growth,6.49%,27.17%,4.47%,6.71%,25.42%,6.72%,-1.53%,-18.07%,2.25%,-0.45%
Shares Outstanding (Basic),30,30,31,31,30,30,30,30,30,30
Shares Outstanding (Diluted),30,30,31,31,30,30,30,30,30,30
Shares Change (YoY),0.10%,-2.45%,0.61%,0.65%,0.48%,0.21%,0.27%,0.31%,0.30%,0.26%
EPS (Basic),4.82,4.57,3.51,3.38,3.18,2.55,2.40,2.44,2.98,2.92
EPS (Diluted),4.82,4.57,3.50,3.38,3.18,2.55,2.40,2.44,2.98,2.92
EPS Growth,5.57%,30.45%,3.66%,6.18%,24.70%,6.25%,-1.57%,-18.12%,2.10%,-1.05%
Free Cash Flow,103.17,39.04,114.82,1.17,13.99,158.95,30.27,21.35,-12.27,64.44
Free Cash Flow Per Share,3.43,1.30,3.73,0.04,0.46,5.25,1.00,0.71,-0.41,2.15
Dividend Per Share,1.260,1.160,0.920,0.860,0.700,0.700,0.700,0.700,0.700,0.700
Dividend Growth,8.62%,26.09%,6.98%,22.86%,-,-,-,-,-,-
Gross Margin,17.35%,17.23%,17.21%,16.75%,17.80%,16.65%,16.38%,16.11%,15.91%,15.68%
Operating Margin,4.51%,4.54%,4.67%,4.13%,4.39%,3.69%,3.60%,4.08%,4.61%,4.75%
Profit Margin,2.75%,2.79%,2.45%,2.54%,2.67%,2.32%,2.25%,2.32%,2.98%,3.00%
Free Cash Flow Margin,1.96%,0.80%,2.60%,0.03%,0.39%,4.77%,0.94%,0.67%,-0.41%,2.22%
EBITDA,325.84,305.72,278.54,235.94,223.8,183.94,171.05,181.83,184.39,177.68
EBITDA Margin,6.18%,6.22%,6.31%,5.80%,6.18%,5.53%,5.31%,5.74%,6.15%,6.12%
D&A For EBITDA,88.16,82.61,72.7,67.87,64.98,61.23,54.96,52.64,46.29,39.79
EBIT,237.68,223.11,205.84,168.07,158.82,122.72,116.09,129.19,138.1,137.89
EBIT Margin,4.51%,4.54%,4.67%,4.13%,4.39%,3.69%,3.60%,4.08%,4.61%,4.75%
Effective Tax Rate,28.38%,31.08%,35.44%,33.16%,33.28%,32.57%,33.82%,39.30%,31.65%,32.57%
Revenue as Reported,"5,270","4,914","4,412","4,066","3,620","3,329","3,224","3,167","2,997","2,905"
