Period Ending,"Nov '25Nov 18, 2025","Aug '25Aug 31, 2025","Aug '24Aug 31, 2024","Aug '23Aug 31, 2023","Aug '22Aug 31, 2022","Aug '21Aug 31, 2021","Aug '20Aug 31, 2020","Aug '19Aug 31, 2019","Aug '18Aug 31, 2018","Aug '17Aug 31, 2017","Aug '16Aug 31, 2016"
Market Capitalization,"3,498","3,216","2,714","2,438","1,933","2,569","1,991","1,822","2,640","2,426","2,539"
Market Cap Growth,27.64%,18.51%,11.32%,26.10%,-24.76%,29.03%,9.29%,-31.00%,8.82%,-4.43%,0.16%
Enterprise Value,"3,508","3,206","2,750","2,380","1,992","2,578","2,041","1,795","2,607","2,360","2,436"
Last Close Price,115.85,107.26,88.46,76.39,60.07,79.30,61.16,55.60,78.98,73.25,74.69
PE Ratio,24.09,22.20,19.79,22.60,18.72,26.58,25.77,25.14,35.96,27.14,29.08
Forward PE,22.86,19.16,18.41,18.83,18.34,24.40,24.26,24.57,29.05,26.09,25.98
PS Ratio,0.66,0.61,0.55,0.55,0.48,0.71,0.60,0.56,0.83,0.81,0.87
PB Ratio,2.78,2.58,2.42,2.20,1.95,2.80,2.39,2.28,3.48,3.42,3.98
P/TBV Ratio,2.90,2.67,2.51,2.29,2.04,2.98,2.57,2.47,3.79,3.61,4.21
P/FCF Ratio,33.80,31.17,69.51,21.23,1653.79,183.63,12.53,60.19,123.70,-,39.40
P/OCF Ratio,13.35,12.31,13.07,9.47,15.87,20.20,7.68,10.70,22.10,19.72,17.86
PEG Ratio,2.28,1.60,1.51,2.35,2.29,3.05,3.03,3.07,4.15,2.09,2.08
EV/Sales Ratio,0.67,0.61,0.56,0.54,0.49,0.71,0.61,0.56,0.82,0.79,0.84
EV/EBITDA Ratio,10.77,9.84,9.00,8.54,8.44,11.52,11.10,10.50,14.34,12.80,13.71
EV/EBIT Ratio,14.76,13.49,12.33,11.56,11.85,16.23,16.64,15.46,20.18,17.09,17.66
EV/FCF Ratio,34.00,31.07,70.44,20.73,1704.27,184.22,12.84,59.31,122.12,-,37.80
Debt / Equity Ratio,0.27,0.27,0.23,0.25,0.28,0.30,0.40,0.13,0.14,0.15,0.17
Debt / EBITDA Ratio,0.96,0.96,0.77,0.94,1.07,1.10,1.64,0.58,0.57,0.58,0.60
Debt / FCF Ratio,3.25,3.25,6.48,2.45,234.27,19.32,2.11,3.31,4.83,-,1.65
Asset Turnover,2.46,2.46,2.44,2.31,2.31,2.15,2.26,2.57,2.65,2.64,2.78
Inventory Turnover,8.00,8.00,8.13,7.81,7.93,8.51,8.66,8.27,8.41,8.49,8.91
Quick Ratio,0.50,0.50,0.40,0.58,0.49,0.52,0.65,0.35,0.42,0.50,0.58
Current Ratio,1.34,1.34,1.22,1.38,1.34,1.31,1.23,1.21,1.40,1.40,1.39
Return on Equity (ROE),12.48%,12.48%,12.46%,10.41%,10.96%,11.22%,9.59%,9.44%,10.14%,13.47%,14.73%
Return on Assets (ROA),6.92%,6.92%,6.92%,6.75%,5.98%,5.90%,5.19%,5.78%,6.75%,7.59%,8.25%
Return on Capital (ROIC),10.04%,10.04%,10.09%,9.70%,8.57%,8.43%,7.43%,8.24%,9.63%,11.07%,12.23%
Return on Capital Employed (ROCE),15.40%,15.40%,16.60%,15.00%,13.70%,13.50%,11.30%,13.10%,14.90%,17.00%,18.90%
Earnings Yield,4.16%,4.60%,5.12%,4.48%,5.41%,3.81%,3.92%,4.02%,2.81%,3.74%,3.50%
FCF Yield,2.96%,3.21%,1.44%,4.71%,0.06%,0.55%,7.98%,1.66%,0.81%,-0.51%,2.54%
Dividend Yield,2.17%,1.18%,1.31%,1.20%,1.43%,0.88%,1.15%,1.26%,0.89%,0.96%,0.94%
Payout Ratio,26.14%,26.19%,25.59%,26.13%,25.41%,21.98%,27.43%,29.16%,28.58%,23.46%,23.98%
Buyback Yield / Dilution,-0.10%,-0.10%,2.45%,-0.61%,-0.65%,-0.48%,-0.21%,-0.27%,-0.31%,-0.30%,-0.26%
Total Shareholder Return,2.07%,1.07%,3.76%,0.60%,0.78%,0.41%,0.93%,0.99%,0.58%,0.66%,0.68%
