Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,427","3,089","3,544","2,444","2,967","1,750","2,039","1,969","1,758","1,602","1,005"
Market Cap Growth,4.36%,-12.85%,45.01%,-17.62%,69.56%,-14.20%,3.57%,11.98%,9.74%,59.40%,-11.79%
Enterprise Value,"4,100","3,820","4,230","3,195","3,828","2,538","2,760","2,574","2,352","2,186","1,590"
Last Close Price,81.96,71.95,81.03,54.71,64.84,37.51,43.65,41.09,35.72,31.77,19.93
PE Ratio,12.33,10.24,12.05,8.60,16.78,18.26,23.48,23.91,24.27,25.71,16.94
Forward PE,13.44,11.67,17.15,14.95,20.56,18.11,22.28,22.88,23.50,24.43,15.69
PS Ratio,2.64,2.32,2.63,1.67,2.48,1.97,2.22,2.15,2.07,1.99,1.29
PB Ratio,1.88,1.85,2.46,2.01,2.99,2.01,2.61,2.70,2.52,2.39,1.66
P/TBV Ratio,1.92,1.92,2.56,2.10,3.14,2.13,2.78,2.90,2.72,2.59,1.83
P/FCF Ratio,32.21,32.83,30.20,11.20,49.93,-,-,51.78,43.24,753.28,-
P/OCF Ratio,8.20,6.82,8.76,6.28,12.83,8.26,11.02,13.73,10.13,9.81,8.55
PEG Ratio,1.64,1.95,2.45,2.23,3.51,2.70,3.20,3.27,3.85,6.33,2.98
EV/Sales Ratio,3.16,2.87,3.14,2.19,3.20,2.85,3.00,2.81,2.77,2.72,2.04
EV/EBITDA Ratio,8.86,7.73,8.72,6.62,11.31,11.21,13.23,12.96,11.81,11.82,9.38
EV/EBIT Ratio,11.72,9.80,10.89,8.16,15.45,17.57,21.14,20.78,18.57,19.60,14.56
EV/FCF Ratio,38.43,40.60,36.05,14.64,64.43,-,-,67.69,57.83,1027.57,-
Debt / Equity Ratio,0.57,0.62,0.64,0.70,0.88,0.99,0.92,0.84,0.87,0.87,0.95
Debt / EBITDA Ratio,2.20,2.06,1.86,1.73,2.53,3.70,3.44,3.07,3.03,3.14,3.40
Debt / FCF Ratio,9.78,11.07,7.86,3.90,14.72,-,-,16.01,14.83,273.35,-
Asset Turnover,0.35,0.39,0.44,0.52,0.45,0.37,0.43,0.45,0.43,0.43,0.44
Inventory Turnover,4.80,5.01,5.30,6.04,6.42,6.19,6.27,6.64,6.85,6.63,6.53
Quick Ratio,2.65,1.42,1.25,1.11,0.46,0.26,0.68,0.66,0.45,0.44,0.35
Current Ratio,3.57,2.03,1.84,1.91,0.95,0.54,1.34,1.42,0.93,0.97,0.76
Return on Equity (ROE),16.10%,19.39%,22.12%,25.74%,18.99%,11.60%,11.50%,11.55%,10.60%,9.78%,9.95%
Return on Assets (ROA),5.90%,7.07%,7.90%,8.65%,5.80%,3.72%,3.77%,3.82%,4.04%,3.74%,3.84%
Return on Capital (ROIC),7.92%,9.60%,10.95%,12.44%,8.60%,5.58%,5.75%,5.87%,6.21%,5.73%,6.03%
Return on Capital Employed (ROCE),9.60%,11.70%,13.20%,14.70%,10.50%,6.70%,6.30%,6.60%,7.20%,6.60%,7.10%
Earnings Yield,8.12%,9.77%,8.30%,11.63%,5.96%,5.48%,4.26%,4.18%,4.12%,3.89%,5.90%
FCF Yield,3.10%,3.05%,3.31%,8.93%,2.00%,-9.12%,-1.09%,1.93%,2.31%,0.13%,-4.23%
Dividend Yield,2.57%,2.60%,2.16%,3.02%,2.41%,3.94%,3.21%,3.26%,3.58%,3.94%,6.17%
Payout Ratio,31.72%,25.95%,24.83%,24.19%,36.69%,62.92%,64.16%,64.60%,69.90%,77.41%,77.89%
Buyback Yield / Dilution,-0.07%,-0.08%,-0.26%,-0.27%,-2.23%,-2.38%,-0.15%,-0.36%,-2.63%,-2.82%,-2.49%
Total Shareholder Return,2.49%,2.52%,1.90%,2.75%,0.17%,1.57%,3.05%,2.90%,0.96%,1.11%,3.68%
