Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Cash & Equivalents,20.85,22.23,53.42,65.66,86.26,59.87,40.12
Short-Term Investments,203.67,217.6,215.35,253.77,30.47,-,10.86
Cash & Short-Term Investments,224.52,239.84,268.78,319.43,116.73,59.87,50.98
Cash Growth,-4.07%,-10.77%,-15.86%,173.66%,94.95%,17.44%,-
Receivables,98.89,73.96,70.1,49.28,32.43,14.57,12.41
Inventory,4.24,3.92,2.89,1.57,2.03,2.29,1.31
Prepaid Expenses,5.9,4.95,5.57,7.59,6.66,0.91,0.71
Other Current Assets,7.55,4.87,8.9,9.37,5.58,-,-
Total Current Assets,341.11,327.54,356.23,387.24,163.43,77.66,65.41
"Property, Plant & Equipment",59.88,53.29,47.89,45,37.78,8.04,7.08
Long-Term Investments,4.21,4.07,4.11,4.07,4.2,-,-
Goodwill,263.77,262.69,262.92,258.04,254.67,0.83,2.19
Other Intangible Assets,29.46,32.14,35.77,39.35,41.74,1.65,2.43
Other Long-Term Assets,0.46,0.41,0.47,0.41,0.77,0.79,0.31
Total Assets,698.88,680.13,707.39,734.11,502.59,88.96,77.41
Accounts Payable,46.24,35.02,43.88,12.44,12.72,5.64,7.94
Accrued Expenses,33.31,24.4,22.68,33.43,30.91,13.61,5.01
Current Portion of Long-Term Debt,-,-,-,-,-,15.75,-
Current Portion of Leases,2.55,6.44,6.8,5.47,5.55,1.03,1.09
Current Income Taxes Payable,0.73,0.98,2.48,3.96,-,-,-
Current Unearned Revenue,11.32,7.95,7.36,8.73,7.86,2.36,1.82
Total Current Liabilities,94.15,74.79,83.2,64.03,57.04,38.38,15.86
Long-Term Debt,326.94,283.63,281.77,279.91,-,-,11.43
Long-Term Leases,3.97,5.07,10.95,16.94,16.92,1.12,2.06
Long-Term Deferred Tax Liabilities,0.19,0.23,0.28,0.43,0.02,-,-
Other Long-Term Liabilities,0.55,0.82,0.78,1.01,3.13,-,-
Total Liabilities,425.79,364.53,376.97,362.32,77.1,39.5,29.35
Additional Paid-In Capital,698.97,685.05,648.32,623.08,597.64,0.5,4.51
Retained Earnings,-423.38,-370.27,-319.87,-252.4,-173.34,-111.96,-77.61
Comprehensive Income & Other,4.45,-0.33,0.86,0.03,0.15,0.21,-
Total Common Equity,271.96,314.45,329.3,370.71,424.45,-111.25,-73.1
Minority Interest,1.13,1.14,1.12,1.09,1.03,-,-
Shareholders' Equity,273.09,315.6,330.42,371.8,425.48,49.46,48.06
Total Liabilities & Equity,698.88,680.13,707.39,734.11,502.59,88.96,77.41
Total Debt,333.46,295.14,299.52,302.32,22.47,17.9,14.59
Net Cash (Debt),-108.94,-55.3,-30.74,17.11,94.26,41.98,36.4
Net Cash Growth,-,-,-,-81.84%,124.55%,15.33%,-
Net Cash Per Share,-2.16,-1.13,-0.64,0.36,3.58,5.60,5.74
Filing Date Shares Outstanding,51.25,50.3,48.58,47.75,46.84,7.76,6.35
Total Common Shares Outstanding,51.03,49.76,48.17,47.5,46.67,7.76,6.35
Working Capital,246.96,252.75,273.04,323.22,106.39,39.27,49.55
Book Value Per Share,5.33,6.32,6.84,7.80,9.09,-14.34,-11.52
Tangible Book Value,-21.26,19.63,30.62,73.32,128.04,-113.73,-77.71
Tangible Book Value Per Share,-0.42,0.39,0.64,1.54,2.74,-14.66,-12.25
Machinery,14.14,13.01,11.47,7.52,6.32,4.73,4.25
Leasehold Improvements,1.73,1.76,1.37,1.35,1.22,0.72,0.63
