Period Ending,"Nov '25Nov 18, 2025","Jan '25Jan 3, 2025","Dec '23Dec 29, 2023","Dec '22Dec 30, 2022","Dec '21Dec 31, 2021","Jan '21Jan 1, 2021","Jan '20Jan 3, 2020","Dec '18Dec 28, 2018","Dec '17Dec 29, 2017","Dec '16Dec 30, 2016","Jan '16Jan 1, 2016"
Market Capitalization,"3,435","4,513","4,457","5,018","6,083","4,648","3,652","2,596","1,835","1,543","1,286"
Market Cap Growth,-28.25%,1.27%,-11.18%,-17.51%,30.87%,27.28%,40.65%,41.48%,18.92%,20.00%,23.26%
Enterprise Value,"3,302","4,375","4,347","4,888","5,845","4,461","3,467","2,394","1,670","1,393","1,135"
Last Close Price,68.89,87.88,85.98,95.69,111.60,85.40,66.19,46.41,32.69,27.36,22.36
PE Ratio,33.51,41.41,44.42,49.04,60.11,56.31,44.29,35.94,44.43,32.50,29.50
Forward PE,31.00,43.05,41.40,49.18,62.76,58.56,45.25,36.23,34.47,36.02,31.29
PS Ratio,6.63,8.71,8.96,10.82,13.99,12.28,9.33,7.32,5.57,5.16,4.35
PB Ratio,8.54,10.72,12.52,15.64,14.59,12.86,10.43,8.27,6.35,5.65,4.89
P/TBV Ratio,8.69,10.94,12.83,16.08,14.89,13.17,10.69,8.51,6.54,5.83,5.06
P/FCF Ratio,27.89,32.80,40.15,61.37,51.66,47.27,42.95,34.67,29.08,29.37,23.34
P/OCF Ratio,25.92,31.23,35.00,53.49,48.83,44.99,33.80,28.47,27.05,23.05,21.26
PEG Ratio,-,3.46,3.46,3.46,3.46,3.90,3.02,3.52,2.30,2.67,2.32
EV/Sales Ratio,6.22,8.44,8.74,10.54,13.44,11.79,8.86,6.75,5.06,4.66,3.84
EV/EBITDA Ratio,25.81,33.85,36.16,33.04,50.64,49.50,37.71,24.49,21.31,20.47,15.25
EV/EBIT Ratio,28.01,36.59,39.05,34.71,53.66,53.59,40.73,26.18,23.17,22.50,16.46
EV/FCF Ratio,26.87,31.79,39.17,59.78,49.64,45.37,40.77,31.97,26.45,26.50,20.59
Debt / Equity Ratio,0.21,0.19,0.08,0.06,0.04,0.06,0.07,-,-,-,-
Debt / EBITDA Ratio,0.58,0.57,0.22,0.12,0.12,0.21,0.24,-,-,-,-
Debt / FCF Ratio,0.67,0.59,0.26,0.23,0.13,0.21,0.28,-,-,-,-
Asset Turnover,0.71,0.73,0.81,0.73,0.69,0.66,0.76,0.78,0.78,0.76,0.79
Quick Ratio,2.52,2.58,2.19,2.09,2.86,3.02,2.84,3.20,3.29,3.26,3.23
Current Ratio,2.69,2.74,2.34,2.20,2.96,3.13,2.94,3.32,3.39,3.42,3.39
Return on Equity (ROE),25.79%,28.05%,29.65%,27.74%,26.00%,23.20%,24.83%,23.96%,14.69%,17.71%,17.20%
Return on Assets (ROA),9.79%,10.49%,11.28%,13.86%,10.77%,9.10%,10.31%,12.58%,10.68%,9.78%,11.45%
Return on Capital (ROIC),15.09%,16.85%,19.23%,22.82%,16.73%,13.76%,15.46%,18.96%,16.01%,14.43%,16.99%
Return on Capital Employed (ROCE),19.40%,19.50%,23.00%,32.90%,20.50%,18.00%,19.40%,24.70%,20.80%,19.10%,22.50%
Earnings Yield,3.06%,2.42%,2.25%,2.04%,1.66%,1.78%,2.26%,2.78%,2.25%,3.08%,3.39%
FCF Yield,3.59%,3.05%,2.49%,1.63%,1.94%,2.11%,2.33%,2.88%,3.44%,3.40%,4.29%
Dividend Yield,1.76%,1.27%,1.21%,1.00%,0.72%,0.89%,0.97%,1.12%,1.29%,1.32%,1.34%
Payout Ratio,59.11%,53.41%,53.86%,48.12%,42.69%,48.18%,40.63%,37.67%,52.86%,39.56%,35.89%
Buyback Yield / Dilution,0.01%,0.13%,1.23%,1.97%,-0.01%,1.04%,0.52%,-0.36%,0.66%,0.48%,1.33%
Total Shareholder Return,1.75%,1.40%,2.44%,2.97%,0.70%,1.93%,1.49%,0.76%,1.95%,1.80%,2.67%
