Period Ending,"Oct '25Oct 3, 2025","Jan '25Jan 3, 2025","Dec '23Dec 29, 2023","Dec '22Dec 30, 2022","Dec '21Dec 31, 2021","Jan '21Jan 1, 2021","Jan '20Jan 3, 2020","Dec '18Dec 28, 2018","Dec '17Dec 29, 2017","Dec '16Dec 30, 2016","Jan '16Jan 1, 2016"
Cash & Equivalents,207.38,258.9,187.15,161.46,297.69,197.53,176.44,127.06,124.79,114.97,125.75
Short-Term Investments,-,-,-,-,-,45,55.17,81.5,71.6,58.76,45.84
Cash & Short-Term Investments,207.38,258.9,187.15,161.46,297.69,242.53,231.6,208.55,196.4,173.72,171.59
Cash Growth,-5.61%,38.34%,15.91%,-45.76%,22.74%,4.72%,11.05%,6.19%,13.05%,1.24%,11.13%
Receivables,182,161.41,167.36,170.11,139.86,111.57,120.14,105.81,110.1,87.41,88.58
Prepaid Expenses,8.16,9,11,6.29,5.83,7.73,4.77,6.75,4.34,12.91,12.62
Other Current Assets,19.25,17.58,14.02,11.29,9.38,5.02,7.53,5.49,4.67,-,-
Total Current Assets,416.79,446.88,379.53,349.16,452.76,366.83,364.04,326.61,315.51,274.04,272.79
"Property, Plant & Equipment",145.56,148.26,99.92,83.55,74.34,79.15,84.59,46.1,35.01,36.71,28.49
Goodwill,8.61,8.61,8.61,8.61,8.61,8.61,8.61,8.61,8.61,8.61,8.61
Long-Term Deferred Tax Assets,63.09,57.13,53.82,53.91,46.55,40.54,36.82,34.09,30.44,42.17,39.46
Other Long-Term Assets,127.41,116.4,104.9,91.44,101.48,84.97,69.35,53.52,50.02,42.22,38.17
Total Assets,761.45,777.27,646.78,586.66,683.74,580.1,563.41,468.94,439.59,403.74,387.51
Accounts Payable,26.45,5.27,4.49,8.64,3.19,3.28,4.64,2.55,2.78,3.19,3.62
Accrued Expenses,108.92,136.15,129.41,126.3,124.86,96.24,100.66,86.59,82.02,69.42,69.05
Current Portion of Leases,6.49,5.39,6.3,5.26,5.16,5.99,5.94,-,-,-,-
Current Unearned Revenue,12.9,16.37,21.71,18.83,19.76,11.8,12.71,9.17,8.3,7.62,7.8
Total Current Liabilities,154.77,163.18,161.91,159.03,152.98,117.31,123.96,98.3,93.11,80.24,80.47
Long-Term Leases,76.11,76.08,21.96,13.34,9.81,14.34,18.16,-,-,-,-
Other Long-Term Liabilities,127.71,116.94,106.82,93.54,103.89,86.95,71.04,56.72,57.39,50.16,44.23
Total Liabilities,358.59,356.2,290.69,265.91,266.67,218.6,213.16,155.03,150.5,130.4,124.7
Common Stock,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.03,0.03
Additional Paid-In Capital,367.01,345.69,321.45,301,281.42,265.33,244.94,227.28,210.23,194.63,179.82
Retained Earnings,658.79,624.15,574.08,528.81,478.37,421.81,384.67,342.02,303.99,291.24,269.26
Treasury Stock,-620.6,-545.05,-536.53,-505.54,-340.81,-323.77,-277.66,-252.61,-223.17,-209.44,-184.5
Comprehensive Income & Other,-2.4,-3.79,-2.98,-3.59,-1.98,-1.93,-1.76,-2.85,-2.03,-3.13,-1.81
Shareholders' Equity,402.86,421.07,356.09,320.75,417.07,361.5,350.25,313.91,289.09,273.35,262.8
Total Liabilities & Equity,761.45,777.27,646.78,586.66,683.74,580.1,563.41,468.94,439.59,403.74,387.51
Total Debt,82.6,81.48,28.26,18.6,14.97,20.33,24.1,-,-,-,-
Net Cash (Debt),124.78,177.42,158.89,142.86,282.72,222.2,207.5,208.55,196.4,173.72,171.59
Net Cash Growth,-10.13%,11.67%,11.22%,-49.47%,27.24%,7.08%,-0.51%,6.19%,13.05%,1.24%,11.13%
Net Cash Per Share,2.42,3.44,3.08,2.73,5.30,4.17,3.85,3.85,3.64,3.20,3.14
Filing Date Shares Outstanding,49.89,50.82,50.56,50.64,52.12,51.8,51.82,51.5,51.54,51.19,51.44
Total Common Shares Outstanding,49.95,50.81,50.57,50.64,52.12,51.8,51.76,51.5,51.54,51.19,51.44
Working Capital,262.02,283.7,217.62,190.13,299.78,249.52,240.08,228.31,222.4,193.81,192.31
Book Value Per Share,8.07,8.29,7.04,6.33,8.00,6.98,6.77,6.10,5.61,5.34,5.11
Tangible Book Value,394.25,412.46,347.48,312.15,408.46,352.89,341.64,305.3,280.48,264.74,254.2
Tangible Book Value Per Share,7.89,8.12,6.87,6.16,7.84,6.81,6.60,5.93,5.44,5.17,4.94
Land,-,18.34,18.34,18.34,18.34,18.34,18.34,17.1,11.89,11.89,4.45
Buildings,-,70.42,69.7,69.6,64.85,62.32,60.44,38.95,38.11,37.88,35.82
Machinery,-,70.79,66.42,65.11,60.96,59.23,58.13,56.84,52.71,50.11,45.34
Construction In Progress,-,0.22,1.11,1.38,0.53,0.65,1.13,6.51,0.63,0.07,1.46
Leasehold Improvements,-,25.45,23.76,14.15,13.69,13.2,13.65,15.62,15.18,14.46,13.58
