Period Ending,"Oct '25Oct 3, 2025","Jan '25Jan 3, 2025","Dec '23Dec 29, 2023","Dec '22Dec 30, 2022","Dec '21Dec 31, 2021","Jan '21Jan 1, 2021","Jan '20Jan 3, 2020","Dec '18Dec 28, 2018","Dec '17Dec 29, 2017","Dec '16Dec 30, 2016","Jan '16Jan 1, 2016"
Revenue,531.14,518.49,497.19,463.82,434.85,378.41,391.39,354.64,329.66,299.2,295.71
Revenue Growth (YoY),4.43%,4.28%,7.19%,6.66%,14.91%,-3.32%,10.36%,7.58%,10.18%,1.18%,2.25%
Cost of Revenue,339.37,330.01,319.89,264.24,278.05,250.04,252.2,215.05,210.29,193.4,184.5
Gross Profit,191.78,188.48,177.3,199.59,156.8,128.37,139.19,139.59,119.38,105.8,111.2
"Selling, General & Admin",39.96,36.56,34.98,32.62,23.9,21.59,29.8,17.53,17.78,21.97,23.29
Other Operating Expenses,33.92,32.37,31,26.12,23.98,23.53,24.28,30.6,29.54,21.92,18.98
Operating Expenses,73.88,68.92,65.98,58.74,47.88,45.12,54.08,48.13,47.32,43.89,42.27
Operating Income,117.9,119.56,111.32,140.84,108.93,83.25,85.11,91.46,72.05,61.91,68.93
Interest & Investment Income,9.96,10,7.15,2.1,0.07,1.71,3.91,2.75,1.29,0.68,0.21
Currency Exchange Gain (Loss),-0.01,-0.01,-0.26,0.52,-0.52,0.59,-0.24,0.17,-0.02,0.22,0.26
Other Non Operating Income (Expenses),16.68,17.83,17.68,-11.23,17.36,11.39,16.01,-1.06,9.18,6.3,1.74
EBT Excluding Unusual Items,144.52,147.37,135.9,132.23,125.84,96.94,104.79,93.32,82.51,69.12,71.13
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-0.6,-,-,-,-
Pretax Income,144.52,147.37,135.9,132.23,125.84,96.94,104.19,93.32,82.51,69.12,71.13
Income Tax Expense,39.68,38.37,35.56,29.9,24.64,14.38,21.73,21.06,41.2,21.64,27.53
Net Income,104.84,109,100.34,102.33,101.2,82.55,82.46,72.25,41.31,47.48,43.6
Net Income to Common,104.84,109,100.34,102.33,101.2,82.55,82.46,72.25,41.31,47.48,43.6
Net Income Growth,-1.42%,8.63%,-1.95%,1.11%,22.59%,0.11%,14.12%,74.93%,-13.00%,8.90%,7.12%
Shares Outstanding (Basic),51,51,51,52,53,52,53,53,53,53,53
Shares Outstanding (Diluted),52,52,52,52,53,53,54,54,54,54,55
Shares Change (YoY),-0.01%,-0.13%,-1.23%,-1.97%,0.01%,-1.04%,-0.52%,0.36%,-0.66%,-0.48%,-1.33%
EPS (Basic),2.05,2.13,1.96,1.98,1.92,1.58,1.56,1.37,0.78,0.90,0.82
EPS (Diluted),2.03,2.11,1.94,1.96,1.90,1.55,1.53,1.33,0.77,0.87,0.80
EPS Growth,-1.45%,8.76%,-1.02%,3.16%,22.58%,1.31%,15.04%,72.73%,-11.49%,8.75%,8.84%
Free Cash Flow,122.9,137.6,111,81.76,117.74,98.33,85.02,74.89,63.11,52.55,55.11
Free Cash Flow Per Share,2.39,2.67,2.15,1.56,2.21,1.84,1.58,1.38,1.17,0.97,1.01
Dividend Per Share,1.180,1.120,1.040,0.960,0.800,0.760,0.640,0.520,0.420,0.360,0.300
Dividend Growth,7.27%,7.69%,8.33%,20.00%,5.26%,18.75%,23.08%,23.81%,16.67%,20.00%,20.00%
Gross Margin,36.11%,36.35%,35.66%,43.03%,36.06%,33.92%,35.56%,39.36%,36.21%,35.36%,37.61%
Operating Margin,22.20%,23.06%,22.39%,30.37%,25.05%,22.00%,21.75%,25.79%,21.86%,20.69%,23.31%
Profit Margin,19.74%,21.02%,20.18%,22.06%,23.27%,21.82%,21.07%,20.37%,12.53%,15.87%,14.74%
Free Cash Flow Margin,23.14%,26.54%,22.32%,17.63%,27.08%,25.98%,21.72%,21.12%,19.14%,17.57%,18.64%
EBITDA,127.93,129.25,120.24,147.92,115.41,90.12,91.92,97.75,78.34,68.04,74.41
EBITDA Margin,24.09%,24.93%,24.18%,31.89%,26.54%,23.82%,23.48%,27.56%,23.76%,22.74%,25.16%
D&A For EBITDA,10.03,9.69,8.92,7.08,6.49,6.87,6.81,6.29,6.29,6.13,5.48
EBIT,117.9,119.56,111.32,140.84,108.93,83.25,85.11,91.46,72.05,61.91,68.93
EBIT Margin,22.20%,23.06%,22.39%,30.37%,25.05%,22.00%,21.75%,25.79%,21.86%,20.69%,23.31%
Effective Tax Rate,27.46%,26.04%,26.16%,22.61%,19.58%,14.84%,20.86%,22.57%,49.94%,31.31%,38.71%
Revenue as Reported,571.36,558.51,536.77,513.29,466.27,399.9,417.2,379.52,347.8,315.08,312.83
