Period Ending,"Jun '25Jun 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016","Sep '15Sep 30, 2015"
Revenue,572.98,3.55,240.74,243.23,138.29,87.99,168.8,16.14,31.41,0.16,0.38
Revenue Growth (YoY),2816.20%,-98.52%,-1.03%,75.89%,57.16%,-47.87%,945.67%,-48.60%,19736.49%,-58.55%,118.29%
Gross Profit,572.98,3.55,240.74,243.23,138.29,87.99,168.8,16.14,31.41,0.16,0.38
"Selling, General & Admin",139.77,124.54,108.82,132.44,85.44,54,26.56,19.11,19.8,24.91,25.01
Research & Development,541.17,480.09,336.92,289.3,201.88,127.15,81.05,52.97,48.6,60.8,46.74
Operating Expenses,680.94,604.63,445.74,421.74,287.32,181.15,107.61,72.08,68.4,85.71,84.32
Operating Income,-107.96,-601.08,-205,-178.51,-149.04,-93.16,61.19,-55.94,-37,-85.55,-83.94
Interest Expense,-82.31,-32.35,-18.33,-,-,-,-,-,-,-,-
Interest & Investment Income,35.41,22.72,15.3,5.03,6.12,9.19,6.96,1.05,0.42,0.27,0.73
Other Non Operating Income (Expenses),-2.52,-1.75,1.54,0.77,2.07,-0.6,-,0.44,2.2,-0.24,3.29
EBT Excluding Unusual Items,-157.39,-612.46,-206.49,-172.71,-140.85,-84.57,68.15,-54.45,-34.38,-85.53,-79.92
Gain (Loss) on Sale of Investments,-,-,-,-,-,0.02,-,-,-,-,-
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,0.02
Asset Writedown,-,-,-,-,-,-,-,-,-,-2.05,-
Other Unusual Items,-,-,-,-,-,-,-,-,-,5.86,-1.89
Pretax Income,-157.39,-612.46,-206.49,-172.71,-140.85,-84.55,68.15,-54.45,-34.38,-81.72,-91.94
Income Tax Expense,1.97,-2.77,2.78,3.79,0,0,0.17,0,0,0,0
Earnings From Continuing Operations,-159.35,-609.69,-209.28,-176.49,-140.85,-84.55,67.98,-54.45,-34.38,-81.72,-91.94
Minority Interest in Earnings,10.93,10.2,4,0.43,-,-,-,-,-,-,-
Net Income,-148.42,-599.49,-205.28,-176.06,-140.85,-84.55,67.98,-54.45,-34.38,-81.72,-91.94
Net Income to Common,-148.42,-599.49,-205.28,-176.06,-140.85,-84.55,67.98,-54.45,-34.38,-81.72,-91.94
Shares Outstanding (Basic),130,120,107,105,104,101,94,84,74,61,57
Shares Outstanding (Diluted),130,120,107,105,104,101,99,84,74,61,57
Shares Change (YoY),12.88%,12.21%,1.26%,1.62%,3.00%,2.14%,17.90%,13.18%,21.04%,6.44%,22.21%
EPS (Basic),-1.14,-5.00,-1.92,-1.67,-1.36,-0.84,0.72,-0.65,-0.47,-1.34,-1.60
EPS (Diluted),-1.14,-5.00,-1.92,-1.67,-1.36,-0.84,0.69,-0.65,-0.47,-1.34,-1.60
Free Cash Flow,-17.62,-604.32,-330.63,-188.91,147.75,-107.75,161.03,-48.64,-31.86,-68.29,-67.68
Free Cash Flow Per Share,-0.14,-5.04,-3.10,-1.79,1.42,-1.07,1.63,-0.58,-0.43,-1.12,-1.18
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,-18.84%,-16927.06%,-85.16%,-73.39%,-107.77%,-105.87%,36.25%,-346.52%,-117.79%,-54034.46%,-21973.73%
Profit Margin,-25.90%,-16882.37%,-85.27%,-72.39%,-101.85%,-96.09%,40.27%,-337.31%,-109.46%,-51614.64%,-24068.29%
Free Cash Flow Margin,-3.08%,-17018.31%,-137.34%,-77.67%,106.84%,-122.46%,95.40%,-301.35%,-101.43%,-43129.18%,-17716.81%
EBITDA,-85.4,-582.49,-192.51,-168.09,-140.77,-87.22,65.63,-51.24,-32.31,-82.29,-81.6
EBITDA Margin,-14.90%,-,-79.97%,-69.11%,-101.79%,-99.12%,38.88%,-,-102.86%,-,-
D&A For EBITDA,22.57,18.6,12.49,10.42,8.27,5.94,4.44,4.7,4.69,3.26,2.34
EBIT,-107.96,-601.08,-205,-178.51,-149.04,-93.16,61.19,-55.94,-37,-85.55,-83.94
EBIT Margin,-18.84%,-,-85.16%,-73.39%,-107.77%,-105.87%,36.25%,-,-117.79%,-,-
Effective Tax Rate,-,-,-,-,-,-,0.26%,-,-,-,-
