Period Ending,"Jun '25Jun 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016","Sep '15Sep 30, 2015"
Cash & Equivalents,127.59,99.19,102.99,100.71,184.43,143.58,221.8,30.13,24.84,85.37,81.21
Short-Term Investments,770.58,578.28,292.74,268.39,183.36,171.91,36.9,46.4,40.77,-,17.54
Cash & Short-Term Investments,898.17,677.46,395.73,369.1,367.79,315.49,258.7,76.53,65.61,85.37,98.75
Cash Growth,106.73%,71.19%,7.22%,0.36%,16.58%,21.95%,238.03%,16.65%,-23.14%,-13.56%,-35.94%
Receivables,9.7,-,-,1.41,10.26,0.85,0.66,0.33,0.07,0.08,-
Prepaid Expenses,23.69,9.54,8.81,7.29,4.36,4.25,3.32,1.27,0.87,1.29,3.29
Restricted Cash,2.2,3.5,7.9,7.3,-,-,-,-,-,-,-
Other Current Assets,13.16,4.97,4.03,20.2,2.19,1.78,2.56,0.64,1.36,3.77,0.82
Total Current Assets,946.92,695.47,416.47,405.3,384.6,322.37,265.25,78.77,67.9,90.5,102.87
"Property, Plant & Equipment",425.05,431.29,335.56,168.59,66.02,47.02,23.21,13.94,15.51,15.39,4.53
Long-Term Investments,-,-,-,105.87,245.6,137.49,44.18,-,-,-,-
Other Intangible Assets,7.29,8.56,10.26,11.96,13.66,15.36,17.06,18.76,20.46,22.16,24.82
Other Long-Term Assets,1.35,4.48,3.26,0.22,0.27,0.26,0.14,0.14,0.14,0.12,0.05
Total Assets,"1,381","1,140",765.55,691.94,710.15,522.5,349.85,111.61,104.02,128.18,132.27
Accounts Payable,33.05,11.39,35.87,2.87,9.46,6.83,7.65,2.81,4.08,12.23,5.03
Accrued Expenses,83.77,80.8,43.68,59.11,23.77,13.45,11.46,8.98,7.96,8.56,9.2
Current Portion of Long-Term Debt,40,-,-,-,-,-,-,0.22,0.21,0.19,-
Current Portion of Leases,7.01,6.34,10.56,2.78,2.25,1.1,-,-,-,-,0.22
Current Unearned Revenue,22.98,-,0.87,74.1,111.06,19.29,77.77,0,5.27,2.57,0.1
Other Current Liabilities,7.72,4.64,14.48,-,-,0.02,0.19,0.35,1.18,2.09,1.35
Total Current Liabilities,194.53,103.17,105.46,138.85,146.54,40.68,97.07,12.36,18.7,25.64,15.9
Long-Term Debt,560.59,734.54,268.33,-,-,-,-,2.1,2.33,2.53,-
Long-Term Leases,105.69,111.03,104.61,78.8,23.3,20.04,-,-,-,-,0.54
Long-Term Unearned Revenue,-,-,-,55.95,131.5,-,5.04,-,-,2.5,-
Other Long-Term Liabilities,-,-,-,-,-,-,3.7,1.9,2.13,2.47,6.2
Total Liabilities,860.81,948.74,478.39,273.6,301.33,60.73,105.81,16.37,23.16,33.15,22.65
Common Stock,0.23,0.22,0.2,0.2,0.2,0.2,0.19,0.18,0.17,0.16,0.15
Additional Paid-In Capital,"2,120","1,806","1,300","1,219","1,053",965.41,664.09,582.9,514.04,493.84,426.87
Retained Earnings,"-1,603","-1,626","-1,026",-820.76,-644.69,-503.84,-419.29,-487.27,-432.82,-398.44,-316.71
Comprehensive Income & Other,5.36,4.75,-3.22,-0.14,-0.07,0.02,-0.39,-0.02,0.03,0.01,-0.14
Total Common Equity,522.31,185.44,271.34,398.52,408.82,461.78,244.59,95.8,81.42,95.58,110.18
Minority Interest,-2.51,5.62,15.82,19.82,-,-,-0.56,-0.56,-0.56,-0.56,-0.56
Shareholders' Equity,519.81,191.06,287.16,418.34,408.82,461.78,244.04,95.24,80.87,95.02,109.62
Total Liabilities & Equity,"1,381","1,140",765.55,691.94,710.15,522.5,349.85,111.61,104.02,128.18,132.27
Total Debt,713.29,851.91,383.5,81.58,25.55,21.14,-,2.33,2.53,2.73,0.76
Net Cash (Debt),184.89,-174.45,12.23,287.52,342.24,294.36,258.7,74.21,63.07,82.64,98
Net Cash Growth,-,-,-95.75%,-15.99%,16.27%,13.78%,248.62%,17.65%,-23.67%,-15.67%,-36.01%
Net Cash Per Share,1.42,-1.46,0.11,2.73,3.30,2.92,2.62,0.89,0.85,1.35,1.71
Filing Date Shares Outstanding,138.26,124.43,107.43,106.01,104.53,102.76,95.71,92.22,74.83,74.17,59.55
Total Common Shares Outstanding,138.14,124.38,107.31,105.96,104.33,102.38,95.51,88.51,74.79,69.75,59.54
Working Capital,752.39,592.3,311.02,266.45,238.06,281.69,168.18,66.4,49.2,64.86,86.97
Book Value Per Share,3.78,1.49,2.53,3.76,3.92,4.51,2.56,1.08,1.09,1.37,1.85
Tangible Book Value,515.03,176.88,261.08,386.56,395.16,446.42,227.53,77.03,60.96,73.41,85.35
Tangible Book Value Per Share,3.73,1.42,2.43,3.65,3.79,4.36,2.38,0.87,0.82,1.05,1.43
Land,3,3,3,3,-,-,-,-,-,-,-
Buildings,249.25,75.99,-,-,-,-,-,-,-,-,-
Machinery,82.76,71.93,58.75,40.47,29.67,21.32,13.57,11.35,10.26,7.93,6.76
Construction In Progress,15.87,188.73,166.66,56.37,0.35,-,-,-,-,-,-
Leasehold Improvements,104.4,104.41,103.81,42.02,41.52,25.24,21.58,12.24,12.21,11.89,3.12
