Period Ending,"Nov '25Nov 14, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016","Sep '15Sep 30, 2015"
Market Capitalization,"5,705","2,408","2,880","3,498","6,509","4,405","2,686","1,687",324,503,343
Market Cap Growth,132.81%,-16.40%,-17.67%,-46.25%,47.77%,64.01%,59.16%,421.19%,-35.58%,46.65%,-56.14%
Enterprise Value,"5,520","2,436","2,799","3,183","6,017","4,138","2,448","1,629",251,461,232
Last Close Price,41.26,19.37,26.87,33.05,62.43,43.06,28.18,19.17,4.33,7.35,5.76
PE Ratio,-,-,-,-,-,-,39.51,-,-,-,-
PS Ratio,9.39,678.12,11.96,14.38,47.07,50.06,15.91,104.53,10.31,3174.29,897.19
PB Ratio,10.91,12.60,10.03,8.36,15.92,9.54,11.01,17.72,4.00,5.29,3.13
P/TBV Ratio,11.08,13.61,11.03,9.05,16.47,9.87,11.80,21.91,5.31,6.85,4.01
P/FCF Ratio,-,-,-,-,44.06,-,16.68,-,-,-,-
P/OCF Ratio,261.14,-,-,-,37.99,-,15.52,-,-,-,-
EV/Sales Ratio,9.63,686.02,11.63,13.09,43.51,47.03,14.50,100.90,7.98,2909.79,608.50
EV/EBITDA Ratio,-,-,-,-,-,-,37.30,-,-,-,-
EV/EBIT Ratio,-,-,-,-,-,-,40.01,-,-,-,-
EV/FCF Ratio,-,-,-,-,40.72,-,15.20,-,-,-,-
Debt / Equity Ratio,1.37,4.46,1.34,0.20,0.06,0.05,-,0.02,0.03,0.03,0.01
Debt / FCF Ratio,-,-,-,-,0.17,-,-,-,-,-,-
Asset Turnover,0.51,0.00,0.33,0.35,0.22,0.20,0.73,0.15,0.27,0.00,0.00
Quick Ratio,4.67,6.57,3.75,2.67,2.58,7.78,2.67,6.22,3.51,3.33,6.21
Current Ratio,4.87,6.74,3.95,2.92,2.63,7.92,2.73,6.37,3.63,3.53,6.47
Return on Equity (ROE),-37.11%,-254.98%,-59.33%,-42.68%,-32.36%,-23.96%,40.07%,-61.84%,-39.09%,-79.87%,-66.72%
Return on Assets (ROA),-5.96%,-39.43%,-17.58%,-15.91%,-15.11%,-13.35%,16.58%,-32.43%,-19.92%,-41.06%,-33.30%
Return on Capital (ROIC),-6.66%,-43.84%,-21.89%,-23.88%,-20.31%,-16.02%,22.39%,-38.64%,-25.53%,-51.38%,-37.83%
Return on Capital Employed (ROCE),-,-,-,-,-,-,24.20%,-,-,-,-
Earnings Yield,-2.60%,-24.90%,-7.13%,-5.03%,-2.16%,-1.92%,2.53%,-3.23%,-10.62%,-16.26%,-26.83%
FCF Yield,-0.31%,-25.10%,-11.48%,-5.40%,2.27%,-2.45%,6.00%,-2.88%,-9.84%,-13.59%,-19.75%
Buyback Yield / Dilution,-12.88%,-12.21%,-1.26%,-1.62%,-3.00%,-2.14%,-17.90%,-13.18%,-21.04%,-6.44%,-22.21%
