Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,305","5,118","4,296","4,875","7,196","5,107","4,736","3,880","2,961","2,963","1,974"
Market Cap Growth,-17.79%,19.14%,-11.87%,-32.25%,40.89%,7.85%,22.06%,31.03%,-0.07%,50.13%,3.96%
Last Close Price,29.86,35.49,29.19,32.36,47.04,33.07,31.53,25.54,19.65,19.37,12.68
PE Ratio,17.91,22.90,21.59,20.79,31.62,25.28,28.73,25.76,24.60,28.28,19.66
PS Ratio,7.34,9.53,8.93,9.45,14.01,10.86,12.00,10.52,9.22,9.82,7.02
PB Ratio,2.32,3.19,2.87,3.85,4.09,3.04,3.86,3.68,3.21,3.54,2.45
P/FCF Ratio,14.50,17.47,16.06,15.80,21.42,26.30,24.44,23.00,16.81,21.11,21.53
P/OCF Ratio,13.92,16.53,15.08,15.03,20.26,24.24,23.39,20.82,15.56,18.43,18.09
Debt / Equity Ratio,0.04,0.12,0.27,0.51,0.38,0.26,0.31,0.45,0.36,0.53,0.77
Debt / FCF Ratio,0.25,0.67,1.51,2.08,2.00,2.22,1.97,2.78,1.88,3.18,6.72
Return on Equity (ROE),13.89%,14.39%,14.39%,15.50%,13.24%,13.91%,14.45%,15.25%,13.67%,12.75%,13.51%
Return on Assets (ROA),1.71%,1.65%,1.53%,1.80%,1.90%,2.11%,2.06%,2.01%,1.71%,1.55%,1.60%
Earnings Yield,5.64%,4.37%,4.63%,4.81%,3.16%,3.96%,3.48%,3.88%,4.06%,3.54%,5.09%
FCF Yield,6.90%,5.72%,6.23%,6.33%,4.67%,3.80%,4.09%,4.35%,5.95%,4.74%,4.64%
Dividend Yield,2.51%,2.03%,2.43%,2.04%,1.23%,1.54%,1.49%,1.60%,1.93%,1.81%,2.45%
Payout Ratio,44.38%,46.04%,50.24%,38.94%,35.03%,34.80%,37.05%,35.75%,40.67%,42.86%,38.62%
Buyback Yield / Dilution,-0.28%,-0.21%,0.19%,-0.05%,-0.41%,-4.55%,-0.28%,-2.50%,-0.34%,-1.59%,-1.18%
Total Shareholder Return,2.26%,1.82%,2.62%,1.99%,0.82%,-3.00%,1.21%,-0.90%,1.60%,0.22%,1.26%
