Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"5,043","5,204","7,055","3,595","1,945",420,"1,956",-,-,-,-
Market Cap Growth,-12.13%,-26.24%,96.23%,84.86%,362.95%,-78.53%,-,-,-,-,-
Enterprise Value,"5,784","6,111","8,364","5,221","3,520","2,204","11,002",-,-,-,-
Last Close Price,70.97,70.41,95.65,49.79,27.10,5.87,27.33,-,-,-,-
PE Ratio,12.83,10.29,16.92,138.28,-,-,0.54,-,-,-,-
Forward PE,13.35,10.65,15.82,15.07,-,-,-,-,-,-,-
PS Ratio,1.03,0.94,1.37,0.83,0.53,0.11,0.38,-,-,-,-
PB Ratio,3.26,4.06,7.65,6.53,3.92,0.45,0.67,-,-,-,-
P/TBV Ratio,3.95,5.42,12.74,123.98,-,4.33,1.28,-,-,-,-
P/FCF Ratio,13.11,10.56,11.33,16.57,8.21,7.50,-,-,-,-,-
P/OCF Ratio,7.62,6.57,8.48,10.30,6.04,2.00,-,-,-,-,-
EV/Sales Ratio,1.16,1.11,1.63,1.21,0.97,0.60,2.11,-,-,-,-
EV/EBITDA Ratio,5.76,4.77,7.29,6.86,6.33,4.80,31.89,-,-,-,-
EV/EBIT Ratio,7.94,6.52,10.20,12.67,30.34,-,-,-,-,-,-
EV/FCF Ratio,15.14,12.40,13.43,24.06,14.85,39.36,-,-,-,-,-
Debt / Equity Ratio,1.11,1.39,2.23,4.37,5.27,3.05,0.84,-2.18,-13.47,3.67,1.70
Debt / EBITDA Ratio,1.36,1.16,1.49,2.66,3.86,4.83,4.48,11.03,-,-,10.07
Debt / FCF Ratio,4.57,3.63,3.31,11.10,11.03,51.11,-,-,-,-,225.27
Asset Turnover,0.95,1.08,1.05,0.91,0.71,0.58,0.75,0.70,0.51,0.42,0.56
Inventory Turnover,3.79,4.32,4.60,4.44,3.92,3.26,4.18,4.00,3.58,2.61,2.95
Quick Ratio,1.38,1.32,1.20,1.32,1.37,1.43,1.11,0.76,0.77,1.00,0.56
Current Ratio,2.07,2.01,1.79,2.07,2.19,2.33,2.07,1.50,1.74,2.02,1.38
Return on Equity (ROE),30.24%,49.89%,60.96%,9.74%,-59.87%,-98.57%,-,-,-373.15%,-104.87%,-34.23%
Return on Assets (ROA),8.70%,11.46%,10.47%,5.42%,1.42%,-0.43%,-1.22%,1.29%,-6.23%,-4.56%,-1.72%
Return on Capital (ROIC),14.04%,19.37%,17.25%,8.48%,2.10%,-0.60%,-1.75%,1.84%,-8.33%,-5.83%,-2.19%
Return on Capital Employed (ROCE),20.30%,27.10%,25.60%,12.70%,3.40%,-1.10%,-2.40%,3.90%,-14.90%,-9.80%,-4.30%
Earnings Yield,8.09%,9.72%,5.91%,0.72%,-23.14%,-457.27%,185.79%,-,-,-,-
FCF Yield,7.63%,9.47%,8.83%,6.04%,12.19%,13.33%,-48.86%,-,-,-,-
Dividend Yield,1.41%,0.71%,-,-,-,-,-,-,-,-,-
Payout Ratio,18.11%,7.12%,-,-,-,-,-,-,-,-,-
Buyback Yield / Dilution,1.98%,-1.77%,-2.79%,-2.29%,-,-1601.49%,-494.96%,-0.71%,-11.61%,-13.86%,-0.26%
Total Shareholder Return,3.38%,-1.06%,-2.79%,-2.29%,-,-1601.49%,-494.96%,-0.71%,-11.61%,-13.86%,-0.26%
