Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,736","4,038","2,137",835,"1,980","2,023","3,259","2,308","2,753","1,886",965
Market Cap Growth,-2.15%,88.94%,155.84%,-57.81%,-2.12%,-37.93%,41.21%,-16.17%,45.97%,95.37%,42.03%
Enterprise Value,"5,470","5,981","4,480","3,435","4,282","4,574","6,014","4,712","4,770","3,555","2,516"
Last Close Price,92.97,100.13,52.20,16.51,39.30,40.31,64.30,43.88,51.99,35.41,18.34
PE Ratio,8.88,12.50,62.24,11.45,17.69,-,9.58,8.23,6.42,-,8.19
Forward PE,8.56,11.82,11.71,27.18,15.72,-,9.98,8.31,13.88,12.72,9.14
PS Ratio,0.94,1.15,0.73,0.28,0.73,0.95,1.10,0.72,0.88,0.62,0.31
PB Ratio,1.39,1.68,1.01,0.36,0.87,0.95,1.50,1.18,1.57,1.40,0.64
P/TBV Ratio,1.40,1.68,1.01,0.36,0.87,0.95,1.50,1.18,1.57,1.41,0.65
P/FCF Ratio,11.76,11.09,5.09,-,13.16,10.90,517.42,-,-,-,-
P/OCF Ratio,4.19,5.83,2.90,1.74,2.38,3.19,4.52,2.88,4.02,3.72,2.31
PEG Ratio,0.65,2.07,2.07,2.07,2.07,-,1.00,0.52,0.76,1.27,0.91
EV/Sales Ratio,1.37,1.70,1.53,1.14,1.58,2.15,2.02,1.46,1.53,1.16,0.81
EV/EBITDA Ratio,5.52,6.84,9.15,5.48,11.33,19.20,6.67,5.83,7.01,6.15,5.04
EV/EBIT Ratio,8.77,12.19,42.11,14.77,-,-,11.26,9.94,12.29,12.14,10.73
EV/FCF Ratio,17.14,16.42,10.67,-,28.47,24.64,954.87,-,-,-,-
Debt / Equity Ratio,0.92,1.15,1.46,1.51,1.48,1.63,1.54,1.61,1.53,1.88,1.28
Debt / EBITDA Ratio,2.40,3.05,5.52,4.45,7.18,10.79,3.36,3.91,3.95,4.40,3.86
Debt / FCF Ratio,7.74,7.58,7.36,-,22.25,18.81,531.46,-,-,-,-
Asset Turnover,0.56,0.50,0.41,0.41,0.39,0.31,0.46,0.55,0.60,0.63,0.67
Inventory Turnover,18.28,17.70,17.42,18.58,21.30,16.52,15.33,17.30,18.39,17.23,16.44
Quick Ratio,0.58,0.65,0.73,0.99,0.78,0.91,0.66,0.84,0.89,0.82,0.74
Current Ratio,0.71,0.78,0.90,1.17,0.90,1.04,0.82,1.10,1.21,1.23,1.36
Return on Equity (ROE),17.42%,14.28%,1.54%,3.16%,5.08%,-0.40%,16.43%,15.08%,27.63%,-11.31%,8.11%
Return on Assets (ROA),5.50%,4.33%,0.92%,2.00%,-0.56%,-2.18%,5.15%,5.03%,4.63%,3.74%,3.19%
Return on Capital (ROIC),7.61%,5.91%,1.20%,2.53%,-0.69%,-2.65%,6.27%,6.20%,5.82%,5.00%,4.46%
Return on Capital Employed (ROCE),11.00%,8.60%,1.80%,3.70%,-1.00%,-4.00%,9.30%,8.80%,8.30%,6.90%,5.80%
Earnings Yield,11.58%,8.00%,1.61%,8.73%,5.65%,-0.42%,10.44%,12.15%,15.58%,-8.57%,12.21%
FCF Yield,8.50%,9.02%,19.65%,-24.21%,7.60%,9.18%,0.19%,-14.57%,-1.86%,-34.32%,-31.49%
Dividend Yield,-,-,-,-,-,0.35%,0.75%,0.91%,0.62%,0.54%,0.87%
Payout Ratio,-,-,-,-,-,-,6.90%,7.04%,3.50%,-,7.01%
Buyback Yield / Dilution,0.13%,6.84%,11.94%,0.21%,-1.11%,2.30%,2.83%,0.43%,-3.10%,0.62%,-1.15%
Total Shareholder Return,0.13%,6.84%,11.94%,0.21%,-1.11%,2.64%,3.58%,1.34%,-2.48%,1.15%,-0.28%
