Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,286.5,298.26,389.48,211.89,923.03,"1,169",943.77,456.65,239.76,315.52,155.96
Short-Term Investments,"1,629","1,606","1,304","1,603","1,456",521.71,-,-,-,-,-
Cash & Short-Term Investments,"1,916","1,904","1,694","1,815","2,379","1,690",943.77,456.65,239.76,315.52,155.96
Cash Growth,-1.03%,12.41%,-6.70%,-23.70%,40.75%,79.10%,106.67%,90.46%,-24.01%,102.31%,16403.81%
Accounts Receivable,-,25,200,-,0.31,0.14,32.7,0.09,2.63,3.16,0.34
Other Receivables,-,2.1,6.5,11.2,8.4,10.7,4.1,3.4,-,-,-
Receivables,-,27.1,206.5,11.2,8.71,10.84,36.8,3.49,2.63,3.16,0.34
Prepaid Expenses,9.88,6.21,7.89,26.01,29.68,15.44,6.98,6.26,6,1.51,0.54
Restricted Cash,3.5,-,-,0.5,-,-,-,-,-,-,-
Total Current Assets,"1,929","1,937","1,908","1,853","2,418","1,717",987.55,466.4,248.39,320.19,156.84
"Property, Plant & Equipment",255.49,277.55,305.94,320.56,312.04,93.03,72.83,18.5,18.86,21.03,1.33
Long-Term Investments,51.01,-,1.97,53.13,-,-,-,-,-,-,-
Other Intangible Assets,-,-,0.02,0.07,0.13,0.18,0.24,0.29,0.34,0.4,0.45
Other Long-Term Assets,9.71,27.35,13.57,16.28,22.2,18.14,6.14,3.83,3.76,3.35,0.8
Total Assets,"2,245","2,242","2,230","2,243","2,752","1,828","1,067",489.02,271.35,344.96,159.42
Accounts Payable,11.8,14.71,38.15,27.43,14.82,9.09,5.94,5.07,1.64,4.57,1.58
Accrued Expenses,24.9,39.41,40.67,61.33,77.77,54.32,27.46,18.37,10.86,7.87,5.84
Current Portion of Leases,18.26,17.29,15.63,15.84,12.16,11.36,8.49,-,-,-,-
Current Income Taxes Payable,3.43,0.45,0.44,0.14,0.72,10.47,0.58,0.4,0.35,0.02,0.08
Current Unearned Revenue,1.3,3.85,4.11,-,1.01,2.34,0.96,0.1,-,-,-
Other Current Liabilities,59.28,12.08,9.81,16.38,13.4,6.67,13.67,3.81,1.66,9.54,2.65
Total Current Liabilities,118.96,87.78,108.79,121.11,119.88,94.26,57.11,27.75,14.51,22,10.16
Long-Term Debt,-,-,-,-,-,-,-,-,-,-,38.34
Long-Term Leases,192.77,206.41,223.01,228.18,212.87,50.07,44.05,-,-,-,-
Long-Term Unearned Revenue,12.32,12.32,14.01,12.32,12.32,11.78,11.78,57.78,56.93,77.65,75.09
Other Long-Term Liabilities,5.28,3.44,0.96,5.97,7.34,7.63,14.4,11.3,12.08,12.47,0.45
Total Liabilities,329.33,309.95,346.77,367.58,352.42,163.73,127.33,96.82,83.51,112.12,124.03
Common Stock,3.01,2.7,2.5,2.44,2.39,2.28,1.85,1.58,1.24,1.22,0.18
Additional Paid-In Capital,"3,725","3,294","2,878","2,735","2,598","2,236","1,162",682.25,312.02,288.74,4.64
Retained Earnings,"-1,817","-1,366",-999.7,-846.09,-195.92,-573.58,-224.71,-291.57,-125.44,-57.08,-33.91
Treasury Stock,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-,-,-
Comprehensive Income & Other,4.99,1.84,1.91,-15.65,-5.07,-0.08,0.01,-0.01,0.01,-0.03,-0.01
Total Common Equity,"1,916","1,932","1,883","1,875","2,399","1,664",939.43,392.2,187.83,232.85,-29.1
Minority Interest,-,-,-,-,-,-,-,-,-,-,-0.03
Shareholders' Equity,"1,916","1,932","1,883","1,875","2,399","1,664",939.43,392.2,187.83,232.85,35.4
Total Liabilities & Equity,"2,245","2,242","2,230","2,243","2,752","1,828","1,067",489.02,271.35,344.96,159.42
Total Debt,211.02,223.69,238.63,244.02,225.03,61.43,52.54,-,-,-,38.34
Net Cash (Debt),"1,733","1,680","1,457","1,624","2,154","1,629",891.23,456.65,239.76,315.52,117.63
Net Cash Growth,1.46%,15.31%,-10.30%,-24.59%,32.24%,82.77%,95.17%,90.46%,-24.01%,168.24%,12347.09%
Net Cash Per Share,19.82,19.92,18.39,20.89,26.79,24.70,15.65,9.52,5.99,25.74,23.35
Filing Date Shares Outstanding,95.3,85.77,80.28,78.65,77.07,75.43,60.85,52.28,46.98,39.81,5.53
Total Common Shares Outstanding,93.87,85.74,80.04,78.51,76.99,73.91,60.78,51.85,40.59,39.72,5.53
Working Capital,"1,810","1,849","1,799","1,732","2,298","1,622",930.44,438.65,233.87,298.19,146.69
Book Value Per Share,20.41,22.53,23.52,23.89,31.17,22.52,15.46,7.56,4.63,5.86,-5.26
Tangible Book Value,"1,916","1,932","1,883","1,875","2,399","1,664",939.19,391.91,187.49,232.45,-29.55
Tangible Book Value Per Share,20.41,22.53,23.52,23.89,31.16,22.51,15.45,7.56,4.62,5.85,-5.35
Machinery,54.8,54.4,53.26,49.62,36.25,29.5,20.58,11.86,8.99,5.12,1.22
Construction In Progress,5.8,6.12,8.86,6.16,52.4,8.37,1.39,0.24,-,1.07,0.1
Leasehold Improvements,145.85,145.85,143.26,141.68,86.74,25.47,21.4,13.78,13.78,15.78,0.09
