Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,38.34,37.31,371.21,1.2,914.96,0.72,289.59,3.12,41,5.16,0.25
Revenue Growth (YoY),-81.10%,-89.95%,30885.48%,-99.87%,127154.94%,-99.75%,9169.85%,-92.38%,693.90%,1990.69%,-
Cost of Revenue,469,430.9,517.58,571.9,441.75,269.41,179.36,113.77,69.8,42.24,12.57
Gross Profit,-430.67,-393.59,-146.38,-570.7,473.22,-268.69,110.23,-110.65,-28.8,-37.07,-12.33
"Selling, General & Admin",73.27,72.98,76.16,102.46,99.69,85.75,63.49,48.29,35.85,31.06,13.4
Operating Expenses,47.48,72.98,76.16,102.46,99.69,85.75,63.49,48.29,35.85,31.06,13.4
Operating Income,-478.14,-466.57,-222.54,-673.16,373.53,-354.44,46.74,-158.94,-64.65,-68.13,-25.73
Interest Expense,-,-,-,-,-,-,-,-,-,-8.05,-0.11
Interest & Investment Income,89.82,103.9,71.82,22.66,6,-,10.03,0.2,-,-,-
Earnings From Equity Investments,-,-,-,-,-,-,-5.47,-4.28,-1.76,-36.53,-
Other Non Operating Income (Expenses),-,-,-,-,-,6.38,-,-1.41,-0.2,-0.1,0.02
EBT Excluding Unusual Items,-388.32,-362.67,-150.72,-650.5,379.53,-348.06,51.31,-164.43,-66.61,-112.81,-25.82
Other Unusual Items,-,-,-,-,-,-,16,-,-,90.09,-
Pretax Income,-484.58,-362.67,-150.72,-650.5,379.53,-348.06,67.31,-164.43,-66.61,-22.72,-25.82
Income Tax Expense,3.72,3.59,2.89,-0.33,1.87,0.81,0.45,0.55,1.75,0.48,0.01
Earnings From Continuing Operations,-488.3,-366.25,-153.61,-650.18,377.66,-348.87,66.86,-164.98,-68.36,-23.2,-25.83
Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,0.03,0.33
Net Income,-488.3,-366.25,-153.61,-650.18,377.66,-348.87,66.86,-164.98,-68.36,-23.18,-25.5
Net Income to Common,-488.3,-366.25,-153.61,-650.18,377.66,-348.87,66.86,-164.98,-68.36,-23.18,-25.5
Shares Outstanding (Basic),87,84,79,78,76,66,54,48,40,12,5
Shares Outstanding (Diluted),87,84,79,78,80,66,57,48,40,12,5
Shares Change (YoY),5.48%,6.49%,1.90%,-3.29%,21.90%,15.84%,18.70%,19.74%,226.80%,143.33%,41.50%
EPS (Basic),-5.58,-4.34,-1.94,-8.36,4.97,-5.29,1.23,-3.44,-1.71,-1.89,-5.06
EPS (Diluted),-5.58,-4.34,-1.94,-8.36,4.70,-5.29,1.17,-3.44,-1.71,-1.89,-5.06
Free Cash Flow,-303.14,-144.68,-269.85,-532.93,457.27,-256.72,49.99,-99.01,-77.91,-55.88,58.27
Free Cash Flow Per Share,-3.47,-1.72,-3.41,-6.86,5.69,-3.89,0.88,-2.06,-1.95,-4.56,11.57
Gross Margin,-,-,-39.43%,-,51.72%,-,38.06%,-,-70.26%,-,-
Operating Margin,-1247.21%,-1250.38%,-59.95%,-56190.40%,40.82%,-49295.55%,16.14%,-5087.80%,-157.69%,-1319.33%,-10416.60%
Profit Margin,-1273.70%,-981.54%,-41.38%,-54271.70%,41.28%,-48520.86%,23.09%,-5281.08%,-166.74%,-448.82%,-10325.10%
Free Cash Flow Margin,-790.73%,-387.72%,-72.69%,-44484.89%,49.98%,-35705.70%,17.26%,-3169.40%,-190.03%,-1082.03%,23592.71%
EBITDA,-459.48,-447.31,-202.7,-648.99,391.48,-345.25,51.47,-155.42,-61.62,-67.21,-25.6
EBITDA Margin,-,-,-54.61%,-,42.79%,-,17.77%,-,-150.31%,-,-
D&A For EBITDA,18.66,19.26,19.84,24.17,17.95,9.18,4.73,3.52,3.02,0.93,0.13
EBIT,-478.14,-466.57,-222.54,-673.16,373.53,-354.44,46.74,-158.94,-64.65,-68.13,-25.73
EBIT Margin,-,-,-59.95%,-,40.82%,-,16.14%,-,-157.69%,-,-
Effective Tax Rate,-,-,-,-,0.49%,-,0.67%,-,-,-,-
Revenue as Reported,38.34,37.31,371.21,1.2,914.96,0.72,289.59,3.12,-,-,-
