Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023"
Cash & Equivalents,291.17,51.37,122.77
Cash & Short-Term Investments,291.17,51.37,122.77
Cash Growth,137.17%,-58.16%,-
Receivables,27.86,27.09,22.5
Prepaid Expenses,5.37,3.02,2.58
Restricted Cash,-,0.15,-
Other Current Assets,3.39,0.66,0.6
Total Current Assets,327.79,82.29,148.45
"Property, Plant & Equipment",25.09,27.73,30.88
Long-Term Accounts Receivable,-,3.7,0.99
Long-Term Deferred Charges,6.68,0.41,-
Other Long-Term Assets,4.84,4.58,4.73
Total Assets,364.4,118.7,185.05
Accounts Payable,1.96,2.87,2.89
Accrued Expenses,27.31,21.83,19.17
Current Portion of Leases,5.52,5.42,5.14
Current Unearned Revenue,0.52,1.04,2.11
Other Current Liabilities,2.54,2.45,3.51
Total Current Liabilities,37.85,33.61,32.82
Long-Term Debt,-,136.43,134.01
Long-Term Leases,16.27,18.54,21.45
Other Long-Term Liabilities,55.72,21.05,5.77
Total Liabilities,109.83,209.62,194.05
Common Stock,0.08,0.02,0.01
Additional Paid-In Capital,"1,318",112.23,97.46
Retained Earnings,"-1,063",-970.96,-874.53
Comprehensive Income & Other,-0.51,-0.77,-0.5
Total Common Equity,254.57,-859.48,-777.56
Shareholders' Equity,254.57,-90.92,-9
Total Liabilities & Equity,364.4,118.7,185.05
Total Debt,21.79,160.38,160.6
Net Cash (Debt),269.38,-109.02,-37.83
Net Cash Per Share,15.86,-20.33,-7.74
Filing Date Shares Outstanding,85.16,6.12,4.94
Total Common Shares Outstanding,83.47,6.12,4.94
Working Capital,289.94,48.68,115.63
Book Value Per Share,3.05,-140.39,-157.37
Tangible Book Value,254.57,-859.48,-777.56
Tangible Book Value Per Share,3.05,-140.39,-157.37
Machinery,6.08,5.72,9.94
Construction In Progress,0.22,0.03,0.06
Leasehold Improvements,2.15,2.06,2.06
