Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Market Capitalization,"2,068","1,869","3,352","2,076","2,419",-,-,-
Market Cap Growth,-43.00%,-44.23%,61.49%,-14.18%,-,-,-,-
Enterprise Value,"2,682","2,759","3,882","2,676","2,681",-,-,-
Last Close Price,2.03,2.56,5.02,5.07,6.08,-,-,-
PS Ratio,21.04,126.77,5388.88,8648.47,2589.53,-,-,-
PB Ratio,-,-3.83,-5.72,-4.61,-9.92,-,-,-
EV/Sales Ratio,32.48,187.09,6241.20,11149.27,2870.55,-,-,-
Debt / Equity Ratio,-1.65,-1.62,-1.51,-1.61,-2.66,-2.33,-1.76,-2.25
Asset Turnover,0.19,0.03,0.00,0.00,0.00,0.00,0.02,-
Quick Ratio,5.10,2.78,4.63,0.22,0.86,1.44,2.00,0.44
Current Ratio,5.77,3.36,5.05,0.28,0.91,1.64,2.10,0.46
Return on Assets (ROA),-36.89%,-48.48%,-52.11%,-52.73%,-57.48%,-72.72%,-74.79%,-
Return on Capital (ROIC),-53.22%,-71.77%,-78.80%,-64.47%,-70.68%,-106.38%,-124.31%,-
Return on Capital Employed (ROCE),-56.50%,-104.90%,-81.00%,253.20%,-317.70%,-130.90%,-179.60%,133.10%
Earnings Yield,-16.77%,-22.13%,-17.40%,-20.07%,-14.34%,-,-,-
FCF Yield,-15.63%,-21.30%,-11.85%,-20.03%,-12.73%,-,-,-
Buyback Yield / Dilution,-25.58%,-37.71%,-27.19%,-2.74%,-3.23%,-2.93%,-13.36%,-
