Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"1,827","11,614","9,021","11,375","7,841","13,454","9,619","7,695","3,596","1,497","1,747"
Market Cap Growth,-85.00%,28.75%,-20.70%,45.06%,-41.72%,39.87%,25.01%,113.98%,140.16%,-14.27%,192.19%
Enterprise Value,"2,260","11,831","8,677","10,907","7,420","12,422","9,064","7,317","3,010","1,121","1,670"
Last Close Price,17.54,121.59,96.43,129.58,90.05,170.49,129.04,109.13,55.64,27.43,38.58
PE Ratio,-,49.37,-,-,-,-,-,-,-,-,-
Forward PE,69.87,15.47,-,-,-,-,-,-,-,-,-
PS Ratio,0.71,6.11,7.26,12.19,11.17,24.91,25.26,25.56,23.26,276.23,1393.91
PB Ratio,1.39,7.60,10.50,29.55,8.45,17.66,11.76,7.45,4.56,4.45,9.18
P/TBV Ratio,1.43,7.74,10.87,30.14,8.58,17.98,11.94,7.54,4.64,4.56,9.51
P/FCF Ratio,-,-,-,-,-,532.53,-,-,-,-,-
P/OCF Ratio,-,-,-,-,-,125.19,-,-,-,-,-
EV/Sales Ratio,0.94,6.22,6.98,11.69,10.57,23.00,23.80,24.31,19.47,206.77,1332.76
EV/EBITDA Ratio,-,46.25,-,-,-,-,-,-,-,-,-
EV/EBIT Ratio,-,54.25,-,-,-,-,-,-,-,-,-
EV/FCF Ratio,-,-,-,-,-,491.69,-,-,-,-,-
Debt / Equity Ratio,0.96,0.88,1.61,4.20,1.23,1.41,0.89,0.41,0.55,0.05,0.12
Debt / EBITDA Ratio,13.43,3.74,-,-,-,-,-,-,-,-,-
Debt / FCF Ratio,-,-,-,-,-,42.47,-,-,-,-,-
Asset Turnover,0.68,0.53,0.39,0.30,0.23,0.23,0.22,0.20,0.18,0.02,0.00
Inventory Turnover,2.40,2.10,3.90,5.21,4.12,3.90,4.16,4.17,0.15,-,-
Quick Ratio,1.51,2.74,3.23,3.63,5.05,4.99,4.60,7.12,12.56,4.28,3.15
Current Ratio,2.95,4.20,3.95,4.13,5.75,5.97,5.55,8.21,13.91,4.95,3.61
Return on Equity (ROE),-21.37%,19.71%,-86.15%,-107.16%,-49.57%,-70.14%,-77.29%,-39.74%,-9.00%,-101.42%,-100.47%
Return on Assets (ROA),-1.52%,3.77%,-5.24%,-10.68%,-9.04%,-14.67%,-18.84%,-14.56%,-10.29%,-46.90%,-46.33%
Return on Capital (ROIC),-2.06%,5.34%,-7.90%,-16.47%,-14.21%,-20.84%,-21.75%,-16.06%,-11.33%,-57.77%,-56.34%
Return on Capital Employed (ROCE),-3.30%,6.70%,-10.30%,-21.40%,-16.50%,-22.00%,-33.50%,-23.40%,-11.70%,-75.10%,-99.70%
Earnings Yield,-14.67%,2.02%,-5.94%,-6.19%,-5.34%,-4.12%,-7.43%,-4.70%,-1.41%,-17.85%,-12.60%
FCF Yield,-20.59%,-2.95%,-6.40%,-3.13%,-6.14%,0.19%,-5.37%,-5.85%,-6.78%,-16.77%,-8.75%
Buyback Yield / Dilution,2.62%,-16.75%,-5.53%,-7.75%,-4.24%,-5.90%,-11.12%,-12.64%,-20.78%,-15.15%,-5.66%
