Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,613.08,"1,103",428.43,966.78,"2,116","1,503",835.08,370.83,599.69,122.42,80.3
Short-Term Investments,237.92,251.78,"1,248","1,023",-,435.92,289.67,803.08,479.37,195.43,112.19
Cash & Short-Term Investments,850.99,"1,355","1,676","1,989","2,116","1,939","1,125","1,174","1,079",317.85,192.49
Cash Growth,-28.99%,-19.18%,-15.74%,-5.98%,9.15%,72.36%,-4.19%,8.79%,239.49%,65.12%,-8.49%
Accounts Receivable,524.45,636.6,430.11,256.39,171.64,135.52,90.88,49.04,29.47,5.23,3.98
Other Receivables,17.16,13.13,6.86,5.21,0.01,3.06,3.06,13.47,0.71,-,-
Receivables,541.6,649.73,436.98,261.6,171.65,138.58,93.94,62.52,30.18,5.23,3.98
Inventory,"1,077",749.96,322.86,203.97,186.21,231.96,171.38,125.45,83.61,12.81,-
Prepaid Expenses,29.85,30.67,27.64,29.64,30.31,32.65,17.21,15.64,14.1,2.38,3.11
Other Current Assets,222.7,288.32,115.61,73.28,100.06,143.43,61.64,48.67,21.71,35.21,24.97
Total Current Assets,"2,722","3,073","2,579","2,558","2,604","2,485","1,469","1,426","1,229",373.48,224.54
"Property, Plant & Equipment",498.1,488.65,357.11,244.99,236.69,282.19,167.55,97.02,43.16,37.8,37.34
Long-Term Investments,9.21,136.87,6.53,31.32,34.89,38.8,31.94,31.74,9.98,-,-
Other Intangible Assets,29.68,26.89,29.62,7.58,14.24,13.63,12.5,11.57,14.36,8.08,6.64
Other Long-Term Assets,231.86,237.3,291.99,286.62,258.06,164.9,141.92,75.56,11.83,4.75,5.25
Total Assets,"3,493","3,963","3,265","3,128","3,148","2,985","1,823","1,642","1,308",424.1,273.78
Accounts Payable,94.02,214.44,164.92,95.88,76.74,111.09,68.09,33.83,8.47,29.69,20.23
Accrued Expenses,157.68,241.66,197.93,335.67,206.45,147.42,130.1,105.78,58.21,29.53,29.05
Current Portion of Long-Term Debt,-,-,105.48,-,-,-,-,-,6.18,10.11,8.43
Current Portion of Leases,10.17,13.27,-,15.49,-,-,-,-,-,-,-
Current Income Taxes Payable,9.09,17.39,13.77,12.52,0.22,-,-,-,0.94,-,-
Current Unearned Revenue,485.45,130.26,50.42,89.24,89.24,89.24,3.3,-,3.32,3.3,3.3
Other Current Liabilities,165.02,114.66,121.15,70.8,80.08,68.27,63.27,34.08,11.22,2.8,1.28
Total Current Liabilities,921.43,731.68,653.66,619.6,452.73,416.03,264.77,173.69,88.33,75.42,62.29
Long-Term Debt,"1,035","1,137","1,133","1,544","1,097",992.49,681.9,420.55,424.88,6.04,14.97
Long-Term Leases,215.04,192.47,140.97,57.58,41.51,80.37,47.72,-,-,-,-
Long-Term Unearned Revenue,-,325,437,485,574.24,663.49,-,-,-,-,-
Other Long-Term Liabilities,1.7,49.15,41.1,36.94,54.6,70.59,10.25,15.56,5.54,5.95,6.17
Total Liabilities,"2,173","2,435","2,405","2,743","2,220","2,223","1,005",609.8,518.75,87.41,83.44
Common Stock,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Additional Paid-In Capital,"5,987","5,739","5,305","4,297","4,135","3,610","3,112","2,611","2,007","1,503","1,090"
Retained Earnings,"-4,642","-4,211","-4,446","-3,910","-3,207","-2,848","-2,294","-1,579","-1,217","-1,166",-899.06
Comprehensive Income & Other,0.22,-0.22,0.92,-1.66,-0.02,0,0.05,-0.1,-0.38,-0.12,-0.11
Shareholders' Equity,"1,320","1,528",859.34,384.95,928.01,761.76,818.19,"1,032",789.22,336.69,190.35
Total Liabilities & Equity,"3,493","3,963","3,265","3,128","3,148","2,985","1,823","1,642","1,308",424.1,273.78
Total Debt,"1,260","1,343","1,379","1,617","1,138","1,073",729.62,420.55,431.05,16.15,23.4
Net Cash (Debt),-409.36,11.92,297.29,372.02,977.48,865.71,395.13,753.36,648.01,301.7,169.09
Net Cash Growth,-,-95.99%,-20.09%,-61.94%,12.91%,119.10%,-47.55%,16.26%,114.79%,78.42%,-17.12%
Net Cash Per Share,-4.18,0.11,3.22,4.25,12.03,11.11,5.37,11.37,11.02,6.20,4.00
Filing Date Shares Outstanding,104.79,97.03,93.86,87.98,87.15,79.42,77.78,71.29,64.98,54.81,45.67
Total Common Shares Outstanding,104.77,96.9,93.73,87.95,87.13,79.37,75.18,71.07,64.79,54.76,45.63
Working Capital,"1,801","2,342","1,926","1,938","2,151","2,069","1,204","1,252","1,140",298.05,162.25
Book Value Per Share,12.60,15.77,9.17,4.38,10.65,9.60,10.88,14.52,12.18,6.15,4.17
Tangible Book Value,"1,290","1,501",829.72,377.37,913.77,748.13,805.69,"1,021",774.86,328.62,183.71
Tangible Book Value Per Share,12.32,15.49,8.85,4.29,10.49,9.43,10.72,14.36,11.96,6.00,4.03
Land,-,10.17,10.17,5.18,5.18,5.18,5.18,4.16,4.16,4.16,4.16
Buildings,-,51.18,48.06,47.94,47.61,39.4,23.11,22.97,14.54,12.73,12.72
Machinery,-,141.98,118.63,102.31,75.04,57.76,38.3,21.32,12.07,17.18,15.64
Construction In Progress,-,165.9,91.09,23.59,25.16,71.54,25.99,40.01,7.81,4.44,1.56
Leasehold Improvements,-,155.07,99.99,97.33,103.37,55.02,53.95,20.94,13.63,22.87,21.72
