Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"1,761","3,509","4,712","4,102","5,604","4,900","2,910","1,789","2,186","1,977","1,383"
Market Cap Growth,-50.87%,-25.54%,14.86%,-26.80%,14.37%,68.38%,62.71%,-18.17%,10.55%,43.01%,-9.50%
Enterprise Value,"1,528","3,205","4,355","3,739","5,055","4,456","2,675","1,540","1,922","1,751","1,232"
Last Close Price,32.29,60.95,80.17,69.37,89.05,78.03,46.79,28.59,34.17,31.27,22.20
PE Ratio,100.13,108.85,84.54,24.01,34.09,68.85,15.04,25.56,79.17,40.43,35.31
Forward PE,27.52,46.16,85.56,32.23,29.71,46.18,32.07,25.96,22.87,25.25,21.95
PS Ratio,4.09,8.37,10.60,6.30,7.97,10.04,6.92,4.30,5.06,5.07,4.01
PB Ratio,2.66,4.68,6.26,5.43,6.15,6.05,4.02,3.39,3.99,3.93,3.23
P/TBV Ratio,3.11,5.43,7.18,6.25,6.91,6.94,4.73,4.32,5.08,5.21,4.63
P/FCF Ratio,22.23,54.91,105.00,23.29,30.53,89.03,14.52,30.17,44.12,23.07,17.11
P/OCF Ratio,17.70,43.22,71.66,19.05,24.28,39.00,12.96,21.30,26.64,20.20,15.00
PEG Ratio,2.06,-,-,-,1.18,-,3.03,1.30,1.30,0.80,0.73
EV/Sales Ratio,3.43,7.65,9.80,5.74,7.19,9.13,6.36,3.70,4.45,4.49,3.57
EV/EBITDA Ratio,44.04,61.03,60.13,17.17,24.07,45.20,36.91,19.29,23.41,24.20,19.73
EV/EBIT Ratio,286.26,178.75,124.23,20.73,28.88,63.22,55.66,27.68,33.35,35.82,31.66
EV/FCF Ratio,19.19,50.16,97.06,21.23,27.54,80.96,13.35,25.98,38.79,20.43,15.24
Debt / Equity Ratio,-,0.02,0.01,0.01,0.01,0.01,0.01,-,-,-,-
Debt / EBITDA Ratio,-,0.28,0.13,0.04,0.05,0.10,0.12,-,-,-,-
Debt / FCF Ratio,-,0.24,0.22,0.05,0.06,0.18,0.05,-,-,-,-
Asset Turnover,0.56,0.51,0.54,0.70,0.73,0.57,0.60,0.69,0.74,0.75,0.70
Inventory Turnover,1.21,1.18,1.44,2.42,3.39,2.53,2.42,2.92,3.98,3.78,2.96
Quick Ratio,3.87,5.97,6.72,6.44,7.93,7.77,8.65,4.97,5.89,5.87,3.50
Current Ratio,6.42,9.29,10.47,8.99,9.50,9.62,10.73,6.87,7.14,7.24,4.62
Return on Equity (ROE),2.53%,4.29%,7.40%,20.50%,19.09%,9.27%,30.91%,13.02%,5.25%,10.50%,9.11%
Return on Assets (ROA),0.42%,1.36%,2.64%,12.16%,11.41%,5.16%,4.31%,5.75%,6.13%,5.86%,4.96%
Return on Capital (ROIC),0.47%,1.47%,2.87%,13.36%,12.55%,5.67%,4.76%,6.47%,6.86%,6.56%,5.66%
Return on Capital Employed (ROCE),0.80%,2.30%,4.50%,23.10%,18.60%,8.40%,6.40%,10.30%,10.10%,9.60%,8.90%
Earnings Yield,1.01%,0.92%,1.18%,4.17%,2.93%,1.45%,6.65%,3.91%,1.26%,2.47%,2.83%
FCF Yield,4.50%,1.82%,0.95%,4.29%,3.28%,1.12%,6.89%,3.31%,2.27%,4.33%,5.85%
Dividend Yield,2.70%,1.33%,0.96%,1.04%,0.61%,0.54%,0.75%,1.12%,0.82%,0.83%,1.08%
Payout Ratio,264.25%,142.82%,78.96%,24.29%,19.83%,35.24%,10.60%,26.90%,60.25%,30.79%,35.54%
Buyback Yield / Dilution,0.75%,0.85%,1.28%,5.04%,-1.02%,-2.03%,1.10%,1.30%,-3.13%,0.26%,3.67%
Total Shareholder Return,3.42%,2.18%,2.24%,6.08%,-0.42%,-1.50%,1.85%,2.42%,-2.31%,1.09%,4.76%
