Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Jan '23Jan 1, 2023","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"7,670","5,882","10,203","7,008","11,126","17,322","21,052","15,933","18,369","12,613","14,046"
Market Cap Growth,33.76%,-42.35%,45.60%,-37.01%,-35.77%,-17.72%,32.13%,-13.26%,45.63%,-10.20%,8.79%
Enterprise Value,"10,721","17,986","24,588","19,882","21,343","26,818","28,957","22,497","24,673","16,585","18,053"
Last Close Price,8.70,7.34,11.40,8.39,11.08,17.82,22.31,17.34,21.27,14.72,14.59
PE Ratio,17.54,36.20,218.13,35.44,51.84,22.89,30.01,23.32,23.08,21.91,24.30
PS Ratio,0.87,0.79,1.40,1.08,1.98,2.65,3.68,3.10,3.54,2.95,3.29
PB Ratio,0.87,0.66,1.23,0.82,1.34,2.11,2.74,2.96,4.21,3.21,3.92
P/FCF Ratio,7.75,8.48,-,-,27.98,17.06,72.56,27.53,25.92,39.32,58.74
P/OCF Ratio,5.78,6.30,42.21,-,16.39,12.75,32.97,18.87,18.17,21.60,17.41
EV/Sales Ratio,1.22,2.41,3.38,3.07,3.80,4.11,5.06,4.38,4.76,3.88,4.22
EV/EBITDA Ratio,5.21,10.80,17.63,17.19,20.35,16.91,18.11,16.07,16.02,13.77,14.33
EV/EBIT Ratio,6.21,13.17,23.15,27.71,33.36,22.48,22.99,19.77,19.26,16.72,17.13
EV/FCF Ratio,10.83,25.94,-,-,53.68,26.41,99.80,38.87,34.81,51.70,75.49
Debt / Equity Ratio,0.14,1.18,1.47,-,1.39,1.03,1.04,1.34,1.66,1.32,1.45
Debt / EBITDA Ratio,0.59,5.99,8.22,-,11.02,5.34,5.00,5.15,4.70,4.30,4.13
Debt / FCF Ratio,1.26,15.12,-,-,29.08,8.34,27.54,12.46,10.22,16.14,21.75
Asset Turnover,0.38,0.34,0.31,0.30,0.29,0.35,0.36,0.38,0.41,0.41,0.44
Inventory Turnover,1.33,1.24,1.20,1.40,1.39,1.42,1.29,1.36,1.32,1.39,1.53
Quick Ratio,0.89,0.87,0.63,0.67,0.92,0.82,2.15,1.12,1.29,1.33,1.54
Current Ratio,2.48,2.66,2.64,2.32,1.59,2.37,3.92,2.77,3.01,2.91,2.93
Return on Equity (ROE),5.89%,2.64%,2.11%,3.24%,3.78%,10.45%,11.24%,14.27%,17.97%,15.49%,17.82%
Return on Assets (ROA),4.58%,3.89%,2.84%,2.07%,2.04%,3.96%,5.01%,5.31%,6.34%,5.95%,6.72%
Return on Capital (ROIC),6.95%,4.43%,4.53%,3.30%,2.26%,4.42%,5.62%,6.02%,7.29%,7.02%,8.06%
Return on Capital Employed (ROCE),8.30%,6.90%,5.10%,3.50%,3.60%,7.00%,7.90%,8.90%,10.70%,10.40%,11.40%
Earnings Yield,5.70%,2.76%,0.46%,2.82%,1.93%,4.37%,3.33%,4.29%,4.33%,4.57%,4.12%
FCF Yield,12.91%,11.79%,-0.06%,-4.35%,3.57%,5.86%,1.38%,3.63%,3.86%,2.54%,1.70%
Dividend Yield,1.64%,-,-,-,-,2.47%,1.82%,2.28%,2.15%,2.26%,2.27%
Payout Ratio,22.19%,0.61%,-,0.32%,133.76%,18.31%,38.19%,46.73%,32.93%,39.63%,41.68%
Buyback Yield / Dilution,-,-0.02%,0.01%,0.26%,0.58%,-0.06%,-0.06%,-0.07%,-0.00%,-0.04%,0.21%
Total Shareholder Return,1.64%,-0.02%,0.01%,0.26%,0.58%,2.41%,1.76%,2.21%,2.14%,2.23%,2.48%
