Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Jan '23Jan 1, 2023","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"7,518","7,212","6,592","6,064","4,933","5,340","5,099","4,487","4,318","4,050","3,935"
Revenue Growth (YoY),7.31%,9.41%,8.71%,22.92%,-7.62%,4.73%,13.64%,3.91%,6.62%,2.93%,17.26%
Cost of Revenue,"4,523","4,365","4,042","3,850","2,971","3,085","2,757","2,437","2,166","2,138","2,004"
Gross Profit,"2,995","2,848","2,550","2,214","1,963","2,255","2,341","2,050","2,152","1,912","1,931"
"Selling, General & Admin","1,139","1,165","1,205","1,196","1,062",985.62,942.82,814.78,860.35,775.27,736.44
Research & Development,385.68,362.92,386.52,361.14,354.88,294.22,276.02,240.66,224.65,197.62,224.19
Other Operating Expenses,-0.43,-,-3.04,-14.68,-16.3,-,-,-,-,-,-
Operating Expenses,"1,524","1,528","1,589","1,542","1,400","1,280","1,219","1,055","1,085",972.88,960.63
Operating Income,"1,471","1,320",961.07,671.4,562.51,975.33,"1,122",994.12,"1,067",939.41,970.37
Interest Expense,-569.78,-602.37,-516.06,-444.54,-233.81,-222.92,-324.38,-274.16,-249.53,-228.8,-224.61
Interest & Investment Income,46.48,46.48,62.43,33.86,11.55,8.02,114.2,14,9.68,9.93,5.84
Earnings From Equity Investments,-13.86,36.8,62.82,102,65.74,80.97,-30.57,-11.04,-19.89,6.93,-8.28
Currency Exchange Gain (Loss),-59.76,-59.76,-16.39,7.73,-11.6,8.25,-9.62,-8.25,-11.47,8.92,-12.14
Other Non Operating Income (Expenses),-132.38,-132.38,-104.36,-39.98,-33.64,28.99,-17.26,-19.11,-17.56,-23.64,-40.93
EBT Excluding Unusual Items,742.06,608.3,449.51,330.46,360.75,878.63,854.77,695.56,778.24,712.75,690.25
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-37.67,30.28,-18.84,-,-
Gain (Loss) on Sale of Assets,-,-,-,7.56,-10.29,-,-,-,-,-,-
Asset Writedown,-,-,-,-,-,-,-,-,-63.68,-,-
Other Unusual Items,-27.61,-164.31,-242.49,-,-,-,-,-,-,-,-
Pretax Income,714.45,444,207.02,338.01,350.45,878.63,817.1,725.84,695.72,712.75,690.25
Income Tax Expense,256.43,231.19,43.35,90.11,85.13,169.64,168.46,131.44,34.41,168.21,158.81
Earnings From Continuing Operations,458.02,212.81,163.67,247.9,265.33,708.99,648.64,594.41,661.31,544.54,531.44
Minority Interest in Earnings,-85.3,-55.89,-121.35,-62.87,-76.6,-90.44,-23.5,2.24,1.39,0.91,0.7
Net Income,372.72,156.92,42.32,185.04,188.73,618.55,625.15,596.64,662.7,545.46,532.15
Net Income to Common,372.72,156.92,42.32,185.04,188.73,618.55,625.15,596.64,662.7,545.46,532.15
Net Income Growth,130.80%,270.81%,-77.13%,-1.96%,-69.49%,-1.06%,4.78%,-9.97%,21.50%,2.50%,13.16%
Shares Outstanding (Basic),681,680,680,680,682,686,685,685,684,683,684
Shares Outstanding (Diluted),681,680,680,680,682,686,685,685,684,684,684
Shares Change (YoY),-,0.02%,-0.01%,-0.26%,-0.58%,0.06%,0.06%,0.07%,0.00%,0.04%,-0.21%
EPS (Basic),0.55,0.23,0.06,0.27,0.28,0.90,0.91,0.87,0.97,0.80,0.78
EPS (Diluted),0.55,0.23,0.06,0.27,0.28,0.90,0.91,0.87,0.97,0.80,0.78
EPS Growth,-,283.33%,-77.78%,-2.49%,-69.23%,-1.10%,4.60%,-10.18%,21.32%,2.55%,13.46%
Free Cash Flow,851.19,669.63,-5.75,-285.23,349.6,830.18,258.55,505.45,590.24,303.86,220.19
Free Cash Flow Per Share,1.25,0.98,-0.01,-0.42,0.51,1.21,0.38,0.74,0.86,0.44,0.32
Dividend Per Share,-,-,-,-,-,0.360,0.362,0.345,0.380,0.316,0.305
Dividend Growth,-,-,-,-,-,-0.55%,4.88%,-9.17%,20.40%,3.48%,10.91%
Gross Margin,39.84%,39.48%,38.68%,36.51%,39.78%,42.23%,45.92%,45.68%,49.84%,47.22%,49.08%
Operating Margin,19.57%,18.30%,14.58%,11.07%,11.40%,18.27%,22.01%,22.16%,24.71%,23.20%,24.66%
Profit Margin,4.96%,2.18%,0.64%,3.05%,3.83%,11.58%,12.26%,13.30%,15.35%,13.47%,13.53%
Free Cash Flow Margin,11.32%,9.28%,-0.09%,-4.70%,7.09%,15.55%,5.07%,11.27%,13.67%,7.50%,5.60%
EBITDA,"1,754","1,608","1,262","1,082",922.28,"1,297","1,425","1,223","1,283","1,141","1,160"
EBITDA Margin,23.33%,22.30%,19.14%,17.85%,18.70%,24.29%,27.94%,27.25%,29.70%,28.18%,29.48%
D&A For EBITDA,282.61,288.74,300.82,410.98,359.77,321.53,302.46,228.61,215.49,201.87,189.76
EBIT,"1,471","1,320",961.07,671.4,562.51,975.33,"1,122",994.12,"1,067",939.41,970.37
EBIT Margin,19.57%,18.30%,14.58%,11.07%,11.40%,18.27%,22.01%,22.16%,24.71%,23.20%,24.66%
Effective Tax Rate,35.89%,52.07%,20.94%,26.66%,24.29%,19.31%,20.62%,18.11%,4.95%,23.60%,23.01%
Advertising Expenses,-,83.9,80.22,91.89,71.28,55.07,59.06,44.66,49.89,51.23,47.86
