Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Jan '23Jan 1, 2023","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,620.96,979.78,529.58,549.21,655.49,579.65,741.98,"1,034",886.52,895.01,"1,143"
Short-Term Investments,204.52,24.18,116.47,31.03,"2,026",11.02,11.4,0.82,0.7,0.96,0.51
Trading Asset Securities,-,-,-,-,3.24,-,"1,717",-,-,-,-
Cash & Short-Term Investments,825.48,"1,004",646.05,580.24,"2,685",590.67,"2,470","1,035",887.22,895.97,"1,143"
Cash Growth,2.32%,55.40%,11.34%,-78.39%,354.60%,-76.09%,138.75%,16.61%,-0.98%,-21.61%,5.87%
Accounts Receivable,"1,097",741.43,692.86,644.24,434.14,383.23,369.8,269.17,286.2,413.66,362.41
Other Receivables,-,124.56,118,129.96,61.3,120.87,99.91,99.2,89.03,113.24,114.61
Receivables,"1,097","1,079",810.98,774.2,495.48,504.2,470.5,401.57,385.27,528.52,477.8
Inventory,"3,348","3,560","3,482","3,236","2,259","2,002","2,343","1,949","1,629","1,643","1,431"
Other Current Assets,78.39,84.17,"1,192",100.28,70.29,67.8,78.98,97.7,43.54,55.1,37.27
Total Current Assets,"5,349","5,728","6,131","4,691","5,510","3,165","5,362","3,483","2,945","3,123","3,089"
"Property, Plant & Equipment","3,109","4,310","4,192","4,284","3,343","3,003","2,863","1,952","1,760","1,810","1,644"
Long-Term Investments,496.7,528.97,451.9,"1,995","2,265","1,980",143.98,228.82,259.06,272.62,78.14
Goodwill,-,"7,403","6,802","7,012","6,229","5,332","5,507","5,209","4,590","3,644","3,532"
Other Intangible Assets,"10,513","1,190","1,208","1,327","1,004",982.14,"1,102","1,098","1,037","1,125","1,116"
Long-Term Accounts Receivable,-,0.06,-,-,-,-,-,-,-,-,-
Long-Term Deferred Tax Assets,-,341.67,300.33,174.92,152.51,149.92,123.02,112.54,66.16,67.22,66.79
Long-Term Deferred Charges,-,"1,737","1,625","1,623",633.24,575.52,331.81,287.21,232.35,70.62,45.14
Other Long-Term Assets,385.35,147.74,145.55,124.19,7.76,6.27,5.43,5.57,13.16,18.27,3.98
Total Assets,"19,854","21,405","20,992","21,230","19,234","15,275","15,543","12,477","10,920","10,130","9,602"
Accounts Payable,-,852.31,822.95,787.96,628.99,601.62,581.88,561.88,423.1,461.07,409.99
Accrued Expenses,-,450.83,370.28,-,327.54,263.06,340.71,295.59,247.16,251.95,207.91
Current Portion of Long-Term Debt,-,559.55,916.51,-,"2,350",278.72,275.14,257.77,129.12,200.09,188.07
Current Portion of Leases,111,116.53,107.1,-,48.57,42.64,44.41,3.35,3.95,3.86,5.66
Current Income Taxes Payable,-,60.54,14.52,15.69,4.52,3.48,5.97,1.92,6.71,7.96,16.2
Current Unearned Revenue,-,36.5,28.87,-,32.97,22.93,9.79,-,4.28,0.44,3.84
Other Current Liabilities,"2,044",79.89,65.2,"1,216",81.95,122.68,108.66,136.81,163.68,146.4,221.35
Total Current Liabilities,"2,155","2,156","2,325","2,019","3,474","1,335","1,367","1,257",977.99,"1,072","1,053"
Long-Term Debt,-,"8,421","8,989",-,"6,942","5,911","6,105","6,028","5,893","4,696","4,588"
Long-Term Leases,966,"1,025","1,004",-,825.16,690.86,696.29,9.54,5.42,6.09,5.85
Long-Term Unearned Revenue,-,13.94,13.81,15.12,15.04,17.01,11.38,11.85,11.82,12.2,13.12
Pension & Post-Retirement Benefits,-,102.13,100.16,-,6.72,6.77,5.99,5.3,4.74,4.2,3.48
Long-Term Deferred Tax Liabilities,-,"1,012",988.63,"1,035",633.98,556.81,463.83,404.4,388.91,600.65,631.57
Other Long-Term Liabilities,"9,185",68.34,57.6,"10,184",19.6,36.9,48.22,64.52,4.35,11.36,4.87
Total Liabilities,"12,306","12,798","13,478","13,253","11,917","8,555","8,697","7,780","7,286","6,402","6,300"
Common Stock,119.6,119.6,119.6,119.6,119.6,119.6,119.6,119.6,119.6,119.6,119.6
Additional Paid-In Capital,910.73,910.73,910.73,910.73,910.73,910.73,910.73,910.73,910.73,910.73,910.73
Retained Earnings,201.67,205.68,79.36,-,248,688.57,528.09,522.8,606.84,499.28,481.31
Treasury Stock,-130.67,-134.45,-152.75,-162.22,-164.19,-43.73,-49.58,-55.44,-62.42,-68.71,-58.58
Comprehensive Income & Other,"4,078","4,782","4,411","4,780","4,409","3,433","3,313","2,728","2,054","2,261","1,843"
Total Common Equity,"5,179","5,884","5,368","5,649","5,524","5,108","4,822","4,226","3,629","3,721","3,296"
Minority Interest,"2,369","2,723","2,145","2,328","1,793","1,612","2,024",471.05,4.89,6.5,5.19
Shareholders' Equity,"7,548","8,607","7,514","7,976","7,317","6,720","6,846","4,697","3,634","3,728","3,301"
Total Liabilities & Equity,"19,854","21,405","20,992","21,230","19,234","15,275","15,543","12,477","10,920","10,130","9,602"
Total Debt,"1,077","10,122","11,016",-,"10,165","6,923","7,120","6,298","6,032","4,906","4,788"
Net Cash (Debt),-251.52,"-9,118","-10,370",580.24,"-7,480","-6,333","-4,650","-5,264","-5,144","-4,010","-3,645"
Net Cash Per Share,-0.37,-13.41,-15.26,0.85,-10.98,-9.24,-6.79,-7.69,-7.52,-5.86,-5.33
Filing Date Shares Outstanding,680.51,680.41,679.09,678.41,678.54,684.54,684.14,683.74,683.26,682.82,683.52
Total Common Shares Outstanding,680.51,680.41,679.09,678.41,678.54,684.54,684.14,683.74,683.26,682.82,683.52
Working Capital,"3,194","3,571","3,806","2,671","2,036","1,830","3,996","2,226","1,967","2,051","2,036"
Book Value Per Share,7.61,8.65,7.91,8.33,8.14,7.46,7.05,6.18,5.31,5.45,4.82
Tangible Book Value,"-5,335","-2,709","-2,641","-2,690","-1,709","-1,206","-1,787","-2,082","-1,998","-1,047","-1,353"
Tangible Book Value Per Share,-7.84,-3.98,-3.89,-3.96,-2.52,-1.76,-2.61,-3.05,-2.92,-1.53,-1.98
Land,-,"1,231","1,132","1,155",860.45,780.18,807.2,724.02,670.99,685.64,611.39
Machinery,-,"3,554","3,175","3,103","2,528","2,200","2,142","1,969","1,690","1,643","1,397"
Construction In Progress,-,802.31,910.67,879.54,763.79,704.58,497.16,345.39,262.12,275,263.61
