Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Revenue,960.19,745.97,650.35,418.93,244.12,104.14,55.29
Revenue Growth (YoY),31.62%,14.70%,55.24%,71.61%,134.41%,88.36%,-
Cost of Revenue,589.53,451.3,373.49,216.76,113.68,44.07,19.41
Gross Profit,370.66,294.67,276.86,202.17,130.44,60.08,35.88
"Selling, General & Admin",132.45,122.85,87.69,61.68,45.87,24.88,16.16
Research & Development,29.81,25.63,12.65,6.35,3.39,2.01,1.35
Other Operating Expenses,6.61,5.26,-,0.7,-0.47,2.9,-
Operating Expenses,171.2,154.17,97.2,74.26,48.81,28.98,18.31
Operating Income,199.47,140.5,179.66,127.91,81.63,31.1,17.56
Interest Expense,-,-0.5,-0.58,-0.18,-0.14,-0.02,-0.03
Interest & Investment Income,19.07,28.27,49.59,18.11,2.56,0.44,0.22
Currency Exchange Gain (Loss),-19.46,-19.46,-28.01,-18.76,-,-,-
Other Non Operating Income (Expenses),-32.79,-36.39,-100.78,-6.77,-0.74,-0.01,0.02
EBT Excluding Unusual Items,166.29,112.41,99.87,120.32,83.31,31.52,17.77
Merger & Restructuring Charges,-,-,-,-,-0.69,-0.16,-
Gain (Loss) on Sale of Investments,38.61,38.61,78.64,-0.04,-0.02,0.01,0.06
Other Unusual Items,-,-,-,-,2.9,0.05,-
Pretax Income,204.89,151.02,178.51,120.28,85.5,31.42,17.82
Income Tax Expense,33.93,30.55,29.43,11.59,7.65,3.23,2.22
Earnings From Continuing Operations,170.97,120.47,149.09,108.7,77.85,28.19,15.6
Minority Interest in Earnings,-0.02,-0.05,-0.12,-0.01,0.02,-0,-
Net Income,170.95,120.42,148.96,108.68,77.88,28.18,15.6
Net Income to Common,170.95,120.42,148.96,108.68,77.88,28.18,15.6
Net Income Growth,43.35%,-19.16%,37.06%,39.56%,176.31%,80.64%,-
Shares Outstanding (Basic),287,290,292,296,287,269,266
Shares Outstanding (Diluted),304,305,303,313,309,285,275
Shares Change (YoY),0.71%,0.72%,-3.25%,1.36%,8.46%,3.41%,-
EPS (Basic),0.60,0.42,0.51,0.37,0.27,0.10,0.06
EPS (Diluted),0.56,0.39,0.49,0.35,0.25,0.10,0.05
EPS Growth,40.13%,-20.41%,40.00%,40.00%,150.00%,100.00%,-
Free Cash Flow,171.81,-34.49,292.49,153.46,106.54,87.61,30.57
Free Cash Flow Per Share,0.57,-0.11,0.96,0.49,0.34,0.31,0.11
Gross Margin,38.60%,39.50%,42.57%,48.26%,53.43%,57.69%,64.89%
Operating Margin,20.77%,18.83%,27.63%,30.53%,33.44%,29.87%,31.77%
Profit Margin,17.80%,16.14%,22.91%,25.94%,31.90%,27.06%,28.22%
Free Cash Flow Margin,17.89%,-4.62%,44.97%,36.63%,43.64%,84.13%,55.29%
EBITDA,208.26,144.06,182.55,135.54,85.92,31.26,17.62
EBITDA Margin,21.69%,19.31%,28.07%,32.35%,35.20%,30.01%,31.86%
D&A For EBITDA,8.79,3.56,2.89,7.63,4.29,0.16,0.05
EBIT,199.47,140.5,179.66,127.91,81.63,31.1,17.56
EBIT Margin,20.77%,18.83%,27.63%,30.53%,33.44%,29.87%,31.77%
Effective Tax Rate,16.56%,20.23%,16.48%,9.63%,8.94%,10.28%,12.46%
