Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Market Capitalization,"3,711","3,211","5,122","4,608","10,530",-,-
Market Cap Growth,48.89%,-37.31%,11.15%,-56.23%,-,-,-
Enterprise Value,"3,090","2,558","4,524","4,084","10,239",-,-
Last Close Price,12.72,10.75,16.89,14.86,34.07,-,-
PE Ratio,22.56,26.67,34.39,42.40,135.21,-,-
Forward PE,15.97,21.33,24.62,27.29,95.63,-,-
PS Ratio,3.80,4.31,7.88,11.00,43.13,-,-
PB Ratio,7.26,6.57,11.25,11.53,37.57,-,-
P/TBV Ratio,8.60,7.55,12.90,13.24,45.12,-,-
P/FCF Ratio,21.67,-,17.51,30.03,98.84,-,-
P/OCF Ratio,21.40,-,17.45,29.84,97.06,-,-
PEG Ratio,-,2.91,0.79,0.36,2.35,-,-
EV/Sales Ratio,3.22,3.43,6.96,9.75,41.95,-,-
EV/EBITDA Ratio,14.84,17.75,24.79,30.13,119.17,-,-
EV/EBIT Ratio,15.49,18.20,25.18,31.93,125.44,-,-
EV/FCF Ratio,17.98,-,15.47,26.61,96.11,-,-
Debt / Equity Ratio,0.13,0.11,0.01,0.01,0.03,0.01,0.02
Debt / EBITDA Ratio,0.32,0.38,0.02,0.03,0.10,0.01,0.02
Debt / FCF Ratio,0.39,-,0.01,0.03,0.08,0.00,0.01
Asset Turnover,0.74,0.66,0.68,0.60,0.62,0.74,-
Quick Ratio,1.42,1.51,1.53,1.63,1.73,1.21,1.36
Current Ratio,1.46,1.58,1.63,1.82,1.77,1.26,1.41
Return on Equity (ROE),35.56%,25.52%,34.88%,31.97%,47.86%,81.02%,-
Return on Assets (ROA),9.66%,7.79%,11.75%,11.34%,13.02%,13.88%,-
Return on Capital (ROIC),23.76%,17.52%,26.03%,23.07%,30.50%,55.39%,-
Return on Capital Employed (ROCE),39.00%,28.50%,39.10%,31.70%,28.70%,68.60%,71.00%
Earnings Yield,4.59%,3.75%,2.91%,2.36%,0.74%,-,-
FCF Yield,4.62%,-1.07%,5.71%,3.33%,1.01%,-,-
Payout Ratio,91.49%,-,-,-,-,53.22%,64.09%
Buyback Yield / Dilution,-0.71%,-0.72%,3.25%,-1.36%,-8.46%,-3.41%,-
