Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,439.02,455.76,448.3,389.19,356.59,377.4,397.63,293.28,214.13,192.99,185.66
Interest Income on Investments,146.26,174.36,158.04,125.48,64.04,52.94,60.22,68.58,73.1,72.06,75.85
Total Interest Income,585.28,630.11,606.33,514.67,420.63,430.34,457.85,361.86,287.23,265.05,261.51
Interest Paid on Deposits,104.56,105.48,51.54,6.83,5.35,12.6,17.12,9.83,6.04,5.96,5.27
Interest Paid on Borrowings,32.31,77.28,66.81,2.33,0.73,1.68,4.96,2.99,2.25,2.02,3.31
Total Interest Expense,136.88,182.77,118.34,9.16,6.08,14.28,22.08,12.82,8.3,7.98,8.57
Net Interest Income,448.41,447.35,487.99,505.51,414.55,416.05,435.77,349.05,278.93,257.07,252.94
Net Interest Income Growth (YoY),-1.65%,-8.33%,-3.47%,21.94%,-0.36%,-4.52%,24.85%,25.14%,8.50%,1.63%,6.95%
Trust Income,14.51,13.73,12.56,11.52,11.57,9.98,9.53,8.77,9.85,9.6,8.64
Gain (Loss) on Sale of Assets,-,-,-,2.72,0.19,1.68,4.78,-,1.45,-2.29,-
Gain (Loss) on Sale of Investments,-24.92,-28.32,-,-,-,-,0.01,-,0.4,0.55,-0.02
Other Non-Interest Income,45.48,48.69,25.62,10.77,13.4,18.46,18.41,14.09,10.94,8.99,8.56
Total Non-Interest Income,57.08,54.47,58.4,46.39,43.49,47.07,52.86,43.48,38.45,32.99,33.48
Non-Interest Income Growth (YoY),-4.23%,-6.71%,25.88%,6.68%,-7.62%,-10.95%,21.56%,13.09%,16.53%,-1.46%,-8.04%
Revenues Before Loan Losses,505.49,501.82,546.39,551.9,458.04,463.12,488.63,392.53,317.38,290.07,286.43
Provision for Loan Losses,-4,-3,2,10.6,-25.5,23.5,5,1.5,-8.5,-6.4,-5.6
Revenue,509.49,504.82,544.39,541.3,483.54,439.62,483.63,391.03,325.88,296.47,292.03
Revenue Growth (YoY),-1.55%,-7.27%,0.57%,11.95%,9.99%,-9.10%,23.68%,19.99%,9.92%,1.52%,1.04%
Salaries and Employee Benefits,133.43,134.24,129.75,123.7,112.69,114.23,113.93,97.09,84.11,79.83,75.89
Occupancy Expenses,2.78,4.43,3.62,3.91,2.99,3.95,3.89,3.77,3.57,3.5,3.75
Amortization of Goodwill & Intangibles,4.48,5.32,6.45,7.57,8.24,9.35,10.8,5.25,1.33,1.11,-
"Selling, General & Administrative",64.4,62.3,57.82,55.89,46.12,47.46,46.41,41.02,33.31,30.49,30.01
Other Non-Interest Expense,29.03,27.29,32.25,19.48,18.78,17.92,17.26,16.38,16.19,15.86,16.66
Total Non-Interest Expense,234.12,233.58,229.89,210.54,188.83,192.9,192.29,163.51,138.5,130.79,126.31
EBT Excluding Unusual Items,275.37,271.24,314.5,330.76,294.71,246.72,291.33,227.52,187.38,165.68,165.71
Legal Settlements,-,-,-,-,-,-,5.69,-,2.89,-1.5,-
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-13.87
Pretax Income,275.37,271.24,315.43,328.35,297.65,249.52,291.07,211.12,188.8,162.29,151.37
Income Tax Expense,70.26,70.52,94,92.92,85.13,72.36,83.25,59.11,84.38,60.86,52.22
Net Income,205.11,200.72,221.44,235.43,212.52,177.16,207.83,152,104.41,101.43,99.15
Preferred Dividends & Other Adjustments,1.39,1.45,1.55,1.51,0.97,0.57,0.49,0.43,0.38,0.42,0.52
Net Income to Common,203.72,199.27,219.89,233.92,211.55,176.59,207.34,151.57,104.03,101.01,98.63
Net Income Growth,3.40%,-9.36%,-5.94%,10.78%,19.96%,-14.76%,36.73%,45.58%,2.94%,2.30%,-4.69%
Basic Shares Outstanding,138,138,138,140,135,136,140,122,109,107,106
Diluted Shares Outstanding,138,139,138,140,135,136,140,122,110,108,106
Shares Change (YoY),-0.50%,0.08%,-1.11%,3.42%,-0.60%,-2.66%,14.74%,11.06%,1.97%,1.41%,0.41%
EPS (Basic),1.48,1.44,1.59,1.67,1.57,1.30,1.48,1.25,0.95,0.94,0.93
EPS (Diluted),1.48,1.44,1.59,1.67,1.56,1.30,1.48,1.24,0.95,0.94,0.93
EPS Growth,4.23%,-9.43%,-4.82%,7.05%,20.17%,-12.29%,19.36%,30.53%,1.06%,1.07%,-5.10%
Dividend Per Share,0.800,0.800,0.800,0.770,0.720,0.720,0.720,0.560,0.540,0.480,0.480
Dividend Growth,-,-,3.90%,6.94%,-,-,28.57%,3.70%,12.50%,-,20.00%
Effective Tax Rate,25.52%,26.00%,29.80%,28.30%,28.60%,29.00%,28.60%,28.00%,44.70%,37.50%,34.50%
