Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,783.92,204.7,281.29,203.46,"1,733","1,958",185.52,163.95,144.38,121.63,106.1
Investment Securities,"1,038","1,151","1,136","1,122",909.22,420.31,414.58,477.45,509.37,617.16,824.42
Trading Asset Securities,0.22,8.09,1.24,0.08,14.16,30.18,11.5,1.94,3.21,5.78,9.34
Mortgage-Backed Securities,"3,853","3,884","4,363","4,763","4,291","2,659","2,061","2,058","2,426","2,620","2,430"
Total Investments,"4,891","5,044","5,500","5,885","5,215","3,110","2,487","2,537","2,939","3,243","3,264"
Gross Loans,"8,471","8,536","8,905","9,079","7,888","8,349","7,568","7,769","4,839","4,404","4,029"
Allowance for Loan Losses,-79.34,-80.12,-86.84,-85.12,-65.02,-93.69,-68.66,-63.61,-59.59,-61.54,-59.16
Other Adjustments to Gross Loans,-,-,-,-,-,-,-3.74,-4.83,-8.32,-8.46,-12.16
Net Loans,"8,392","8,456","8,818","8,994","7,823","8,255","7,496","7,701","4,771","4,334","3,958"
"Property, Plant & Equipment",70.76,74.66,66.36,69.39,68.37,70.26,72.5,58.19,46.17,42.09,31.38
Goodwill,765.82,765.82,765.82,765.82,663.71,663.71,663.71,666.54,116.56,89.53,74.24
Other Intangible Assets,6.65,9.97,15.29,21.74,25.39,33.63,42.99,53.78,6.84,5.01,2.27
Accrued Interest Receivable,42.79,45.72,48.99,46.69,34.2,31.31,28.12,30.65,22.7,22.26,22.73
Other Receivables,162.57,4.17,3.18,2.4,7.6,8.02,9.35,19.1,14.66,4.94,10.4
Other Current Assets,-,13.07,9.48,8.71,7.96,6.93,6.57,6.39,4.54,7.75,4.1
Long-Term Deferred Tax Assets,-,167.01,175.78,184.29,25,21.52,26.24,43.07,25.39,40.49,36.85
Other Real Estate Owned & Foreclosed,0.66,19.3,-,-,-,3.39,4.89,0.42,4.53,4.53,6.99
Other Long-Term Assets,532.76,331.29,318.58,267.16,263.72,239.66,241.83,231.21,157.28,141.28,136.79
Total Assets,"15,666","15,154","16,021","16,477","15,884","14,419","11,282","11,529","8,271","8,074","7,671"
Accounts Payable,-,-,-,-,50.34,60.11,-,-,-,23.78,1.7
Interest Bearing Deposits,"4,879","4,810","4,021","4,595","4,792","4,181","3,352","3,497","2,592","2,531","2,249"
Institutional Deposits,-,101.5,206.4,77.2,79.9,100.3,107.9,125.4,108.5,104.7,418
Non-Interest Bearing Deposits,"7,245","7,037","7,206","8,164","8,104","7,455","5,246","5,205","3,846","3,674","3,250"
Total Deposits,"12,124","11,948","11,434","12,836","12,976","11,737","8,705","8,827","6,547","6,310","5,917"
Short-Term Borrowings,465.08,262.43,"2,349","1,561",658.83,474.59,440.16,724.19,556.98,661.81,746.05
Current Portion of Leases,2.53,10.11,-,-,-,-,-,-,-,-,-
Accrued Interest Payable,4.64,5.05,23.27,0.43,-,-,-,-,-,-,-
"Federal Home Loan Bank Debt, Long-Term",500,500,-,-,-,-,-,-,-,-,-
Long-Term Leases,44.39,39.5,24.06,24.46,20.86,21.16,21.39,-,-,-,-
Trust Preferred Securities,-,-,-,-,-,25.77,25.77,25.77,25.77,25.77,25.77
Other Long-Term Liabilities,243.27,201.86,113.36,106.37,95.72,93.19,96.1,100.51,71.71,61.8,57.02
Total Liabilities,"13,384","12,967","13,943","14,528","13,802","12,411","9,288","9,678","7,201","7,083","6,748"
Common Stock,"1,257","1,297","1,289","1,300","1,210","1,212","1,299","1,294",573.45,531.19,502.57
Retained Earnings,"1,273","1,201","1,113","1,003",875.57,760.86,682.69,575.81,494.36,449.5,399.92
Comprehensive Income & Other,-247.78,-312.06,-323.57,-354.8,-3.97,35.35,12.61,-18.28,1.45,10.17,20.91
Shareholders' Equity,"2,282","2,186","2,078","1,949","2,082","2,008","1,994","1,851","1,069",990.86,923.4
Total Liabilities & Equity,"15,666","15,154","16,021","16,477","15,884","14,419","11,282","11,529","8,271","8,074","7,671"
Total Debt,"1,012",812.05,"2,373","1,585",679.7,521.53,487.33,749.97,582.76,687.59,771.82
Net Cash (Debt),-214.69,-598.79,"-2,082","-1,372","1,093","1,510",-287.38,-576.41,-417.22,-512.32,-623.69
Net Cash Growth,-,-,-,-,-27.63%,-,-,-,-,-,-
Net Cash Per Share,-1.56,-4.32,-15.04,-9.80,8.07,11.09,-2.05,-4.73,-3.80,-4.76,-5.87
Filing Date Shares Outstanding,136.81,139.62,139.37,139.51,141.92,135.87,140.11,139.97,110.16,108.42,106.37
Total Common Shares Outstanding,137.51,139.69,139.34,139.82,135.53,135.6,140.1,140,110.18,108.25,106.38
Book Value Per Share,16.60,15.65,14.91,13.94,15.36,14.81,14.23,13.22,9.70,9.15,8.68
Tangible Book Value,"1,510","1,411","1,297","1,161","1,392","1,311","1,287","1,131",945.86,896.32,846.89
Tangible Book Value Per Share,10.98,10.10,9.31,8.30,10.27,9.67,9.19,8.08,8.58,8.28,7.96
