Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,524","2,990","2,813","3,600","2,902","2,642","3,024","2,839","2,595","2,480","1,800"
Market Cap Growth,-7.00%,6.30%,-21.86%,24.07%,9.81%,-12.61%,6.50%,9.39%,4.66%,37.78%,6.16%
Last Close Price,18.45,20.75,18.54,22.74,18.33,16.14,17.04,15.46,17.56,16.71,12.07
PE Ratio,12.47,15.01,12.79,15.39,13.72,14.96,14.58,18.73,24.95,24.55,18.25
PS Ratio,4.98,5.92,5.17,6.65,6.00,6.01,6.25,7.26,7.96,8.36,6.16
PB Ratio,1.11,1.37,1.35,1.85,1.39,1.32,1.52,1.53,2.43,2.50,1.95
P/FCF Ratio,10.22,12.23,9.66,13.41,15.23,14.65,14.92,17.66,19.44,22.16,17.34
P/OCF Ratio,10.05,11.97,9.52,13.15,14.86,14.28,14.52,17.21,18.75,19.91,17.04
Debt / Equity Ratio,0.44,0.37,1.14,0.81,0.33,0.26,0.24,0.41,0.55,0.69,0.84
Debt / FCF Ratio,4.10,3.32,8.15,5.91,3.57,2.89,2.40,4.67,4.37,6.14,7.44
Return on Equity (ROE),9.16%,9.41%,11.00%,11.68%,10.39%,8.85%,10.81%,10.41%,10.14%,10.60%,11.01%
Return on Assets (ROA),1.32%,1.29%,1.36%,1.46%,1.40%,1.38%,1.82%,1.54%,1.28%,1.29%,1.32%
Earnings Yield,8.07%,6.71%,7.87%,6.54%,7.32%,6.71%,6.87%,5.35%,4.02%,4.09%,5.51%
FCF Yield,9.78%,8.18%,10.35%,7.46%,6.57%,6.83%,6.70%,5.66%,5.15%,4.51%,5.77%
Dividend Yield,4.40%,3.85%,4.32%,3.39%,3.93%,4.46%,4.23%,3.62%,3.07%,2.87%,3.98%
Payout Ratio,54.05%,55.72%,50.44%,44.36%,45.99%,55.59%,45.88%,43.40%,54.64%,50.90%,49.28%
Buyback Yield / Dilution,0.50%,-0.08%,1.11%,-3.42%,0.60%,2.66%,-14.74%,-11.06%,-1.97%,-1.41%,-0.41%
Total Shareholder Return,4.82%,3.77%,5.42%,-0.03%,4.53%,7.12%,-10.51%,-7.44%,1.11%,1.47%,3.57%
